project,versionId,versionIndex,versionDate,ATDI,ATDI_HOURS,ATDI_WEIGHTED,ATDI_WEIGHTED_HOURS,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,SMELL_EDGES_IDS,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,ThresholdValueUsed,TotalDependenciesCount,TotalNumberOfChanges,smellType,vertexId,vertexLabel
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,116.54320467160743,21.21086325023255,108.30597493537284,19.711687438237856,0.0,UNIT,CONCRETE_CLASS,"[net.chrisrichardson.ftgo.orderservice.domain.DeliveryInformation, net.chrisrichardson.ftgo.common.Money, net.chrisrichardson.ftgo.orderservice.domain.OrderLineItems, net.chrisrichardson.ftgo.orderservice.grpc.OrderServiceGrpIntegrationTest, net.chrisrichardson.ftgo.orderservice.domain.Order, net.chrisrichardson.ftgo.orderservice.domain.LineItemQuantityChange, net.chrisrichardson.ftgo.orderservice.domain.OrderServiceIntegrationTest, net.chrisrichardson.ftgo.common.UnsupportedStateTransitionException, net.chrisrichardson.ftgo.orderservice.api.events.OrderCancelled, net.chrisrichardson.ftgo.orderservice.api.events.OrderState, net.chrisrichardson.ftgo.orderservice.api.events.OrderDomainEvent, net.chrisrichardson.ftgo.orderservice.domain.OrderRepository, net.chrisrichardson.ftgo.orderservice.OrderServiceOutOfProcessComponentV0Test, net.chrisrichardson.ftgo.orderservice.domain.RevisedOrder, net.chrisrichardson.ftgo.orderservice.web.OrderControllerTest, net.chrisrichardson.ftgo.orderservice.api.events.OrderCreatedEvent, net.chrisrichardson.ftgo.orderservice.web.OrderController, net.chrisrichardson.ftgo.orderservice.api.events.OrderLineItem, net.chrisrichardson.ftgo.orderservice.api.events.OrderAuthorized, net.chrisrichardson.ftgo.orderservice.domain.OrderDomainEventPublisher, net.chrisrichardson.ftgo.common.RevisedOrderLineItem, net.chrisrichardson.ftgo.orderservice.domain.OrderServiceTest, net.chrisrichardson.ftgo.orderservice.api.events.OrderDetails, net.chrisrichardson.ftgo.orderservice.domain.OrderRevisionProposed, net.chrisrichardson.ftgo.orderservice.contract.HttpBase, net.chrisrichardson.ftgo.orderservice.domain.OrderRevision, net.chrisrichardson.ftgo.orderservice.domain.OrderMinimumNotMetException, net.chrisrichardson.ftgo.orderservice.domain.OrderTest, net.chrisrichardson.ftgo.orderservice.cucumber.OrderServiceComponentTestStepDefinitions, net.chrisrichardson.ftgo.orderservice.domain.OrderJpaTest, net.chrisrichardson.ftgo.orderservice.domain.OrderRevised, net.chrisrichardson.ftgo.orderservice.grpc.OrderServiceServer, net.chrisrichardson.ftgo.orderservice.domain.PaymentInformation, net.chrisrichardson.ftgo.orderservice.api.events.OrderRejected, net.chrisrichardson.ftgo.orderservice.domain.Restaurant, net.chrisrichardson.ftgo.orderservice.domain.OrderService]",0.0,net.chrisrichardson.ftgo.orderservice.domain.Order,0.0,0.0,0.0,5.111111111111111,1.9285714285714286,35,1.6987592154331305E-5,1,"[15901, 15902, 15903, 15904, 15905, 15906, 15907, 15908, 15909, 15910, 15911, 15912, 15913, 15914, 15915, 15916, 15917, 15918, 15919, 15920, 15921, 15922, 15923, 15924, 15925, 15926, 15927, 15928, 15929, 15930, 15931, 15932, 15933, 15934, 15935]",6.891344159061424,,36,286,247,0.5665577237325317,0.5067570631855419,0.0,13,35,0,hubLikeDep,15897,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,29.73799795911427,5.412315628558797,29.73799795911427,5.412315628558797,0.0,UNIT,INTERFACE,"[net.chrisrichardson.ftgo.cqrs.orderhistory.OrderHistoryDao, net.chrisrichardson.ftgo.cqrs.orderhistory.OrderHistory, net.chrisrichardson.ftgo.cqrs.orderhistory.dynamodb.Order, net.chrisrichardson.ftgo.cqrs.orderhistory.dynamodb.OrderHistoryDaoDynamoDbTest, net.chrisrichardson.ftgo.cqrs.orderhistory.web.OrderHistoryController, net.chrisrichardson.ftgo.cqrs.orderhistory.messaging.OrderHistoryEventHandlers, net.chrisrichardson.ftgo.cqrs.orderhistory.web.OrderHistoryControllerTest, net.chrisrichardson.ftgo.cqrs.orderhistory.dynamodb.OrderHistoryDynamoDBConfiguration, net.chrisrichardson.ftgo.orderservice.api.events.OrderState, net.chrisrichardson.ftgo.cqrs.orderhistory.dynamodb.SourceEvent, net.chrisrichardson.ftgo.cqrs.orderhistory.OrderHistoryFilter, net.chrisrichardson.ftgo.orderhistory.contracts.OrderHistoryEventHandlersTest, net.chrisrichardson.ftgo.cqrs.orderhistory.messaging.OrderHistoryServiceMessagingConfiguration, net.chrisrichardson.ftgo.cqrs.orderhistory.Location, net.chrisrichardson.ftgo.cqrs.orderhistory.dynamodb.OrderHistoryDaoDynamoDb]",0.0,net.chrisrichardson.ftgo.cqrs.orderhistory.OrderHistoryDao,0.0,0.0,0.0,5.666666666666667,1.8761904761904762,14,1.0703590502680416E-5,1,"[15943, 15944, 15945, 15946, 15947, 15948, 15949, 15950, 15951, 15952, 15953, 15954, 15955, 15956]",5.522207587726203,,15,29,29,0.4714045207910317,1.6428502415313981,0.0,13,14,0,hubLikeDep,15939,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,91.00356572176571,16.562648961361358,81.96612809981873,14.917835314167009,0.0,UNIT,CONCRETE_CLASS,"[net.chrisrichardson.ftgo.orderservice.domain.DeliveryInformation, net.chrisrichardson.ftgo.orderservice.sagas.createorder.CreateOrderSagaState, net.chrisrichardson.ftgo.orderservice.sagas.cancelorder.CancelOrderSagaData, net.chrisrichardson.ftgo.orderservice.grpc.OrderServiceGrpIntegrationTest, net.chrisrichardson.ftgo.orderservice.messaging.OrderEventConsumerTest, net.chrisrichardson.ftgo.orderservice.domain.RestaurantRepository, net.chrisrichardson.ftgo.orderservice.domain.Order, net.chrisrichardson.ftgo.orderservice.domain.LineItemQuantityChange, net.chrisrichardson.ftgo.orderservice.domain.OrderServiceIntegrationTest, net.chrisrichardson.ftgo.orderservice.domain.MenuItem, net.chrisrichardson.ftgo.orderservice.api.events.OrderDomainEvent, net.chrisrichardson.ftgo.orderservice.domain.OrderRepository, net.chrisrichardson.ftgo.orderservice.OrderServiceOutOfProcessComponentV0Test, net.chrisrichardson.ftgo.orderservice.domain.RevisedOrder, net.chrisrichardson.ftgo.orderservice.web.OrderControllerTest, net.chrisrichardson.ftgo.orderservice.messaging.OrderServiceMessagingConfiguration, net.chrisrichardson.ftgo.orderservice.grpc.OrderServiceGrpIntegrationTestConfiguration, net.chrisrichardson.ftgo.orderservice.web.OrderController, net.chrisrichardson.ftgo.orderservice.api.events.OrderLineItem, net.chrisrichardson.ftgo.orderservice.domain.OrderNotFoundException, net.chrisrichardson.ftgo.orderservice.domain.OrderDomainEventPublisher, net.chrisrichardson.ftgo.orderservice.service.OrderCommandHandlers, net.chrisrichardson.ftgo.orderservice.messaging.OrderEventConsumer, net.chrisrichardson.ftgo.orderservice.grpc.GrpcConfiguration, net.chrisrichardson.ftgo.orderservice.sagas.cancelorder.CancelOrderSaga, net.chrisrichardson.ftgo.orderservice.domain.OrderServiceTest, net.chrisrichardson.ftgo.orderservice.api.events.OrderDetails, net.chrisrichardson.ftgo.orderservice.web.MenuItemIdAndQuantity, net.chrisrichardson.ftgo.orderservice.contract.HttpBase, net.chrisrichardson.ftgo.orderservice.domain.OrderRevision, net.chrisrichardson.ftgo.orderservice.grpc.OrderServiceServer, net.chrisrichardson.ftgo.orderservice.domain.OrderServiceConfiguration, net.chrisrichardson.ftgo.orderservice.sagas.reviseorder.ReviseOrderSaga, net.chrisrichardson.ftgo.orderservice.domain.RestaurantNotFoundException, net.chrisrichardson.ftgo.orderservice.domain.Restaurant, net.chrisrichardson.ftgo.orderservice.domain.InvalidMenuItemIdException, net.chrisrichardson.ftgo.orderservice.sagas.reviseorder.ReviseOrderSagaData, net.chrisrichardson.ftgo.orderservice.domain.OrderService, net.chrisrichardson.ftgo.orderservice.sagas.createorder.CreateOrderSaga]",0.0,net.chrisrichardson.ftgo.orderservice.domain.OrderService,0.0,0.0,0.0,5.205128205128205,1.9892037786774628,38,1.0146206899779687E-5,1,"[15964, 15965, 15966, 15967, 15968, 15969, 15970, 15971, 15972, 15973, 15974, 15975, 15976, 15977, 15978, 15979, 15980, 15981, 15982, 15983, 15984, 15985, 15986, 15987, 15988, 15989, 15990, 15991, 15992, 15993, 15994, 15995, 15996, 15997, 15998, 15999, 16000, 16001]",5.767116648208105,,39,249,202,0.4629607714171228,0.2746943589936178,0.0,13,38,0,hubLikeDep,15960,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,29.710675778181248,5.407342991628988,29.710675778181248,5.407342991628988,0.0,UNIT,CONCRETE_CLASS,"[net.chrisrichardson.ftgo.accountingservice.domain.AccountCommand, net.chrisrichardson.ftgo.accountingservice.domain.Account, net.chrisrichardson.ftgo.accountingservice.domain.CreateAccountCommand, net.chrisrichardson.ftgo.accountingservice.web.AccountsController, net.chrisrichardson.ftgo.accountingservice.domain.ReviseAuthorizationCommandInternal, net.chrisrichardson.ftgo.accountingservice.domain.AccountServiceConfiguration, net.chrisrichardson.ftgo.accountingservice.messaging.AccountingServiceCommandHandler, net.chrisrichardson.ftgo.accountingservice.domain.AccountCreatedEvent, net.chrisrichardson.ftgo.accountingservice.domain.AccountAuthorizedEvent, net.chrisrichardson.ftgo.accountingservice.domain.AccountingService, net.chrisrichardson.ftgo.accountingservice.domain.ReverseAuthorizationCommandInternal, net.chrisrichardson.ftgo.accountingservice.messaging.AccountingServiceCommandHandlerTest, net.chrisrichardson.ftgo.accountingservice.messaging.AccountingMessagingConfiguration, net.chrisrichardson.ftgo.accountingservice.domain.AuthorizeCommandInternal]",0.0,net.chrisrichardson.ftgo.accountingservice.domain.Account,0.0,0.0,0.0,5.0,1.89010989010989,13,8.795298073648258E-6,1,"[16009, 16010, 16011, 16012, 16013, 16014, 16015, 16016, 16017, 16018, 16019, 16020, 16021]",5.6147899566241435,,14,28,28,0.0,0.3127527356210485,0.0,13,13,0,hubLikeDep,16005,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,179.79691469377238,32.72303847426657,70.23425190497935,12.78263384670624,0.8611111111111112,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.orderservice.domain, net.chrisrichardson.ftgo.orderservice.contract, net.chrisrichardson.ftgo.orderservice.sagas.createorder, net.chrisrichardson.ftgo.restaurantservice.events, net.chrisrichardson.ftgo.orderservice, net.chrisrichardson.ftgo.orderservice.sagas.cancelorder, net.chrisrichardson.ftgo.kitchenservice.api, net.chrisrichardson.ftgo.common, net.chrisrichardson.ftgo.orderservice.sagaparticipants, net.chrisrichardson.ftgo.orderservice.api, net.chrisrichardson.ftgo.testutil, net.chrisrichardson.ftgo.orderservice.messaging, net.chrisrichardson.ftgo.orderservice.web, net.chrisrichardson.ftgo.orderservice.service, net.chrisrichardson.ftgo.orderservice.cucumber, net.chrisrichardson.ftgo.orderservice.sagas.reviseorder, net.chrisrichardson.ftgo.orderservice.grpc, net.chrisrichardson.ftgo.consumerservice.api, net.chrisrichardson.ftgo.orderservice.api.events]",0.3333333333333333,net.chrisrichardson.ftgo.orderservice.domain,0.5277777777777778,0.0,0.0,5.052631578947368,2.2923976608187133,24,2.6240560046183266E-4,1,"[16029, 16030, 16031, 16032, 16033, 16034, 16035, 16036, 16037, 16038, 16039, 16040, 16041, 16042, 16043, 16044, 16045, 16046, 16047, 16048, 16049, 16050, 16051, 16052]",6.9203864731942435,,19,675,103,0.6046908048987398,0.714839028046119,0.0,24,24,0,hubLikeDep,16025,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,329.7683616579763,60.01784182175168,128.72667981372786,23.42825572609847,0.625,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.orderservice.domain, net.chrisrichardson.ftgo.orderservice.contract, net.chrisrichardson.ftgo.orderservice.sagas.createorder, net.chrisrichardson.ftgo.restaurantservice.events, net.chrisrichardson.ftgo.orderservice, net.chrisrichardson.eventstore.examples.customersandorders, net.chrisrichardson.ftgo.kitchenservice.api, net.chrisrichardson.ftgo.deliveryservice, net.chrisrichardson.ftgo.cqrs, net.chrisrichardson.ftgo.accountservice, net.chrisrichardson.ftgo.common, net.chrisrichardson.ftgo.orderservice.sagaparticipants, net.chrisrichardson.ftgo.orderservice.messaging, net.chrisrichardson.ftgo.consumerservice, net.chrisrichardson.ftgo.orderservice.api.web, net.chrisrichardson.ftgo.orderservice.web, net.chrisrichardson.ftgo.orderservice.service, net.chrisrichardson.ftgo.orderservice.cucumber, net.chrisrichardson.ftgo.restaurantservice, net.chrisrichardson.ftgo.kitchenservice, net.chrisrichardson.ftgo.orderservice.grpc, net.chrisrichardson.ftgo.accountservice.api, net.chrisrichardson.ftgo.consumerservice.api]",0.25,net.chrisrichardson.ftgo.orderservice,0.375,0.0,0.0,4.739130434782608,2.4268774703557314,26,2.2597457946717386E-4,1,"[16060, 16061, 16062, 16063, 16064, 16065, 16066, 16067, 16068, 16069, 16070, 16071, 16072, 16073, 16074, 16075, 16076, 16077, 16078, 16079, 16080, 16081, 16082, 16083, 16084, 16085]",6.793934312496972,,23,2356,359,0.6055820990080052,0.9490940827293477,0.0,24,26,0,hubLikeDep,16056,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,87.92665876293613,16.002651894854374,35.56808474689437,6.473391423934776,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.consumerservice, net.chrisrichardson.ftgo.orderservice, net.chrisrichardson.eventstore.examples.customersandorders, net.chrisrichardson.ftgo.orderservice.service, net.chrisrichardson.ftgo.kitchenservice, net.chrisrichardson.ftgo.accountservice]",0.0,net.chrisrichardson.ftgo.orderservice,0.0,0.40950764006791185,0.0,4.333333333333333,2.4,5,1.5356581337173686E-4,1,"[16093, 16094, 16095, 16096, 16097]",6.8450811010596295,,6,165,27,0.4714045207910317,1.3564659966250536,0.3125,,,0,unstableDep,16089,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,12.335281061750056,2.2450211532385103,12.335281061750056,2.2450211532385103,0.0,UNIT,ABSTRACTION,"[net.chrisrichardson.ftgo.kitchenservice.domain.TicketCreatedEvent, net.chrisrichardson.ftgo.kitchenservice.api.events.TicketAcceptedEvent, net.chrisrichardson.ftgo.kitchenservice.domain.TicketRevised, net.chrisrichardson.ftgo.kitchenservice.domain.TicketPreparationCompletedEvent, net.chrisrichardson.ftgo.kitchenservice.domain.TicketPreparationStartedEvent, net.chrisrichardson.ftgo.kitchenservice.api.events.TicketDomainEvent, net.chrisrichardson.ftgo.kitchenservice.api.events.TicketCancelled, net.chrisrichardson.ftgo.kitchenservice.domain.TicketPickedUpEvent]",0.0,net.chrisrichardson.ftgo.kitchenservice.api.events.TicketDomainEvent,0.0,0.0,0.0,5.375,2.142857142857143,7,1.0567357184639117E-5,1,"[2559, 2574, 2411, 2424, 2992, 3001, 2483]",4.66229800592506,,7,7,7,0.4841229182759271,1.9948914348241344,0.0,5,,0,wideHierarchy,16101,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,10.398256748500318,1.8924827282270578,10.398256748500318,1.8924827282270578,0.0,UNIT,IMPLEMENTATION,"[net.chrisrichardson.ftgo.orderservice.sagaparticipants.RejectOrderCommand, net.chrisrichardson.ftgo.orderservice.sagaparticipants.ConfirmReviseOrderCommand, net.chrisrichardson.ftgo.orderservice.sagaparticipants.ConfirmCancelOrderCommand, net.chrisrichardson.ftgo.orderservice.sagaparticipants.BeginReviseOrderCommand, net.chrisrichardson.ftgo.orderservice.sagaparticipants.OrderCommand, net.chrisrichardson.ftgo.orderservice.sagaparticipants.BeginCancelCommand, net.chrisrichardson.ftgo.orderservice.sagaparticipants.ApproveOrderCommand, net.chrisrichardson.ftgo.orderservice.sagaparticipants.UndoBeginCancelCommand, net.chrisrichardson.ftgo.orderservice.sagaparticipants.UndoBeginReviseOrderCommand]",0.0,net.chrisrichardson.ftgo.orderservice.sagaparticipants.OrderCommand,0.0,0.0,0.0,5.0,2.0,8,1.0217288545451691E-5,1,"[1663, 1498, 1514, 1526, 1622, 1477, 1634, 1465]",3.6763389296916773,,8,8,8,0.0,0.0,0.0,5,,0,wideHierarchy,16116,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,10.961099235900067,1.994920060933812,10.961099235900067,1.994920060933812,0.0,UNIT,ABSTRACTION,"[net.chrisrichardson.ftgo.orderservice.api.events.OrderCreatedEvent, net.chrisrichardson.ftgo.orderservice.domain.OrderRevised, net.chrisrichardson.ftgo.orderservice.api.events.OrderAuthorized, net.chrisrichardson.ftgo.orderservice.api.events.OrderCancelled, net.chrisrichardson.ftgo.orderservice.api.events.OrderDomainEvent, net.chrisrichardson.ftgo.orderservice.domain.OrderRevisionProposed, net.chrisrichardson.ftgo.orderservice.api.events.OrderRejected]",0.0,net.chrisrichardson.ftgo.orderservice.api.events.OrderDomainEvent,0.0,0.0,0.0,5.714285714285714,1.0476190476190477,6,1.1086875472726474E-5,1,"[1044, 4008, 4002, 3980, 3996, 1018]",4.474850024660958,,6,6,6,0.45175395145262565,0.9988655696858586,0.0,5,,0,wideHierarchy,16132,smell
