project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentAtdIndex,ComponentAtdIndexHours,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.00875071415170564,0,PACKAGE,.,.,de.codecentric,codecentric,0,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,1.0,false,0.0,0.0,PACKAGE,1,1,0.5,false,33,0,0.01279031081208322,0,PACKAGE,.,.,com.apssouza.clients,clients,771,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.00875071415170564,0,PACKAGE,.,.,de.codecentric.boot,boot,6,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.25,false,14.613288133059946,2.65961844021691,PACKAGE,4,3,0.3,false,37,0,0.022526718261315595,0,PACKAGE,.,.,com.apssouza.events,events,266,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.2,false,0.0,0.0,PACKAGE,2,2,0.6,false,67,0,0.025860863800601146,0,PACKAGE,.,.,com.apssouza.eventsourcing.events,events,15,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,0,0.0,false,15,0,0.00875071415170564,0,PACKAGE,.,.,com.apssouza.auth,auth,783,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,19.194571123611922,3.4934119444973697,PACKAGE,3,4,0.5833333333333334,false,49,0,0.036051918083010684,0,PACKAGE,.,.,com.apssouza.monitors,monitors,791,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.5,false,18.524340719591173,3.3714300109655935,PACKAGE,2,5,0.6363636363636364,false,86,0,0.02374339555213296,0,PACKAGE,.,.,com.apssouza.services,services,799,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.6666666666666666,false,0.0,0.0,PACKAGE,1,0,0.0,false,20,0,0.032331084796185836,0,PACKAGE,.,.,com.apssouza.validation,validation,807,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,30,0,0.00875071415170564,0,PACKAGE,.,.,com.apssouza.listeners,listeners,815,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,4,1.0,false,46,0,0.00875071415170564,0,PACKAGE,.,.,com.apssouza.mailservice.controllers,controllers,1588,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,6,1.0,false,255,0,0.00875071415170564,0,PACKAGE,.,.,com.apssouza.controllers,controllers,823,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,0,0.0,false,7,0,0.00875071415170564,0,PACKAGE,.,.,com.apssouza.discovery,discovery,831,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,26.255057120071097,4.778420395852939,PACKAGE,1,1,0.0,false,10,0,0.07906302754093998,0,PACKAGE,.,.,com.apssouza.mailservice,mailservice,839,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,1.0,false,0.0,0.0,PACKAGE,2,0,0.0,false,10,0,0.017525463464386496,0,PACKAGE,.,.,com.apssouza.annotations,annotations,847,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,0,0,0.00875071415170564,0,PACKAGE,.,.,com.apssouza.mailservice.integration,integration,608,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,4,1.0,false,70,0,0.00875071415170564,0,PACKAGE,.,.,com.apssouza.mailservice.integration.reminder,reminder,614,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,1,0,0.0,false,7,0,0.016192380725355338,0,PACKAGE,.,.,com.apssouza.config,config,623,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,25.83098478612115,4.70123923107405,PACKAGE,1,2,0.6666666666666666,false,184,0,0.032331084796185836,0,PACKAGE,.,.,com.apssouza.configuration,configuration,373,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,0,0.0,false,4,0,0.00875071415170564,0,PACKAGE,.,.,com.apssouza.mailservice.configurations,configurations,118,container
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.00875071415170564,0,PACKAGE,.,.,com,com,1144,container
