project,versionId,versionIndex,versionDate,ATDI,ATDI_HOURS,ATDI_WEIGHTED,ATDI_WEIGHTED_HOURS,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,MeasuredWidth,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,SMELL_EDGES_IDS,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,ThresholdValueUsed,TotalNumberOfChanges,smellType,vertexId,vertexLabel
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,13.351309737454589,2.4299383722167347,12.360910913224442,2.2496857862068484,0.0,UNIT,ABSTRACTION,"[com.apssouza.eventsourcing.events.EmailSentEvent, com.apssouza.mailservice.integration.reminder.TodoCreatedEvent, com.apssouza.infra.AbstractDomainEvent, com.apssouza.eventsourcing.events.EmailDeletedEvent, com.apssouza.events.TodoUpdatedEvent, com.apssouza.events.TodoCreatedEvent, com.apssouza.eventsourcing.events.EmailDeliveredEvent]",0.0,com.apssouza.infra.AbstractDomainEvent,0.0,0.0,0.0,0.0,2.0476190476190474,6,6,6.521778065831193E-5,1,"[332, 306, 64, 80, 96, 1540]",5.046320748899987,,6,7,6,0.0,1.1741740958036146,0.0,5,0,wideHierarchy,6271,smell
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,15.209992523496403,2.7682186392763457,7.306644066529973,1.329809220108455,0.0,CONTAINER,PACKAGE,"[com.apssouza.entities, com.apssouza.configuration, com.apssouza.pojos]",0.0,,0.0,0.0,0.0,0.0,2.0,,3,0.0012134632190935518,1,"[1781, 1760, 1766]",4.218492918683862,CIRCLE,3,13,3,0.0,0.0,0.0,,0,cyclicDep,7396,smell
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,27.338958744059862,4.975690491418894,12.655478756051586,2.3032971336013888,0.0,CONTAINER,PACKAGE,"[com.apssouza.entities, com.apssouza.services, com.apssouza.configuration]",0.0,,0.0,0.0,0.0,0.0,2.0,,3,0.0010793078706034835,1,"[1779, 1760, 1777]",4.218492918683862,CIRCLE,3,42,9,0.0,0.0,0.0,,0,cyclicDep,7405,smell
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,13.123174301037412,2.388417722788809,5.8688619635395884,1.0681328773642051,0.0,CONTAINER,PACKAGE,"[com.apssouza.entities, com.apssouza.repositories, com.apssouza.services, com.apssouza.configuration]",0.0,,0.0,0.0,0.0,0.0,2.0,,4,9.054759267834735E-4,1,"[1776, 1779, 1760, 1764]",4.149912092266639,CIRCLE,4,10,2,0.0,0.0,0.0,,0,cyclicDep,7414,smell
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,10.244060191037743,1.8644189547688692,4.5812829905519745,0.8337935042804594,0.0,CONTAINER,PACKAGE,"[com.apssouza.entities, com.apssouza.monitors]",0.0,,0.0,0.0,0.0,0.0,2.0,,2,0.0013861413144481542,1,"[1757, 1774]",4.5812829905519745,TINY,2,5,1,0.0,0.0,0.0,,0,cyclicDep,7424,smell
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,24.597829277591146,4.476804928521588,14.613288133059946,2.65961844021691,0.0,CONTAINER,PACKAGE,"[com.apssouza.entities, com.apssouza.monitors, com.apssouza.events]",0.0,,0.0,0.0,0.0,0.0,2.0,,3,0.0010987199325880378,1,"[1772, 1757, 1761]",4.218492918683862,CIRCLE,3,34,12,0.0,0.0,0.0,,0,cyclicDep,7432,smell
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,26.255057120071097,4.778420395852939,26.255057120071097,4.778420395852939,0.0,CONTAINER,PACKAGE,"[com.apssouza.eventsourcing, com.apssouza.mailservice]",0.0,,0.0,0.0,0.0,0.0,2.0,,2,0.0018940688894139772,1,"[1752, 1759]",5.597596985956628,TINY,2,22,22,0.0,0.0,0.0,,0,cyclicDep,7441,smell
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,31.407693809916697,5.716200273404839,18.325131962207898,3.3351740171218376,0.0,CONTAINER,PACKAGE,"[com.apssouza.eventsourcing.commands, com.apssouza.eventsourcing.aggregates]",0.0,,0.0,0.0,0.0,0.0,2.0,,2,0.001114963096574433,1,"[1741, 1790]",4.5812829905519745,TINY,2,47,16,0.0,0.0,0.0,,0,cyclicDep,7449,smell
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,25.310957512103172,4.6065942672027775,14.613288133059946,2.65961844021691,0.0,CONTAINER,PACKAGE,"[com.apssouza.eventsourcing.commands, com.apssouza.eventsourcing.entities, com.apssouza.eventsourcing.aggregates]",0.0,,0.0,0.0,0.0,0.0,2.0,,3,0.0011799433942205862,1,"[1794, 1741, 1762]",4.218492918683862,CIRCLE,3,36,12,0.0,0.0,0.0,,0,cyclicDep,7457,smell
java-microservice/,9172a9004dd92434fbec4712cb45650a611185c3,0,2022-02-28T14:33:25,24.956940671374486,4.542163202190157,14.613288133059946,2.65961844021691,0.0,CONTAINER,PACKAGE,"[com.apssouza.eventsourcing.commands, com.apssouza.eventsourcing.services, com.apssouza.eventsourcing.aggregates]",0.0,,0.0,0.0,0.0,0.0,2.0,,3,8.468867637278875E-4,1,"[1793, 1741, 1755]",4.218492918683862,CIRCLE,3,35,12,0.0,0.0,0.0,,0,cyclicDep,7466,smell
