project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentAtdIndex,ComponentAtdIndexHours,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,72,0,0.004179608624324683,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.product.service.infrastructure.adapters.web,web,0,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,7,0,0.0,false,32,0,0.015469487602113318,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.payment.service.api.v1,v1,515,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,7,0,0.004179608624324683,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.payment.infrastructure.adapters.mock,mock,1541,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,0,4,1.0,false,31,0,0.004179608624324683,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.payment.infrastructure.adapters.web,web,1549,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,24,0,0.004179608624324683,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.payment.infrastructure.adapters.jobs,jobs,1557,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,2,0,0.0,false,6,0,0.008409459634779584,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.payment.service.api.v1.exceptions,exceptions,539,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,1.0,false,0.0,0.0,PACKAGE,2,1,0.5,false,9,0,0.005279038506113099,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.payment.service.api.v1.operations,operations,547,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,0,2,1.0,false,0,0,0.004179608624324683,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.product.service.infrastructure.adapters,adapters,2601,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,1,2,0.0,false,3,0,0.004327636322661519,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.policy.search,search,3628,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,2,0,0.0,false,3,0,0.004581398091238954,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.product.service,service,558,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,0,0,0.004179608624324683,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.policy.search.queries,queries,1584,container
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,0.0,false,0.0,0.0,PACKAGE,0,4,1.0,false,69,0,0.004179608624324683,0,PACKAGE,.,.,pl.altkom.asc.lab.micronaut.poc.policy.search.queries.findpolicy,findpolicy,1590,container
