project,versionId,versionIndex,versionDate,ATDI,ATDI_HOURS,ATDI_WEIGHTED,ATDI_WEIGHTED_HOURS,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,SMELL_EDGES_IDS,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,ThresholdValueUsed,TotalDependenciesCount,TotalNumberOfChanges,smellType,vertexId,vertexLabel
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,103.96769898005032,18.922121214369156,59.90842642931364,10.903333610135084,0.0,UNIT,CONCRETE_CLASS,"[pl.altkom.asc.lab.micronaut.poc.policy.PolicyBuilder, pl.altkom.asc.lab.micronaut.poc.policy.infrastructure.adapters.mock.MockPolicyRepository, pl.altkom.asc.lab.micronaut.poc.policy.shared.exceptions.BusinessException, pl.altkom.asc.lab.micronaut.poc.policy.domain.Person, pl.altkom.asc.lab.micronaut.poc.policy.domain.PolicyRepository, pl.altkom.asc.lab.micronaut.poc.policy.domain.PolicyVersionCollection, pl.altkom.asc.lab.micronaut.poc.policy.domain.PolicyFactory, pl.altkom.asc.lab.micronaut.poc.policy.commands.TerminatePolicyHandler, pl.altkom.asc.lab.micronaut.poc.policy.commands.CreatePolicyHandler, pl.altkom.asc.lab.micronaut.poc.policy.domain.AgentRef, pl.altkom.asc.lab.micronaut.poc.policy.domain.Offer, pl.altkom.asc.lab.micronaut.poc.policy.domain.PolicyVersion, pl.altkom.asc.lab.micronaut.poc.policy.queries.getpolicydetails.GetPolicyDetailsQueryHandler, pl.altkom.asc.lab.micronaut.poc.policy.queries.getpolicydetails.PolicyDetailsDtoAssembler, pl.altkom.asc.lab.micronaut.poc.policy.domain.Policy, pl.altkom.asc.lab.micronaut.poc.policy.domain.vo.DateRange, pl.altkom.asc.lab.micronaut.poc.policy.domain.PolicyRef]",0.0,pl.altkom.asc.lab.micronaut.poc.policy.domain.Policy,0.0,0.0,0.0,8.294117647058824,1.3088235294117647,18,1.596431335904057E-5,1,"[16298, 16299, 16300, 16301, 16302, 16303, 16304, 16305, 16306, 16307, 16308, 16309, 16310, 16311, 16312, 16313, 16314, 16315]",6.497981186253145,,17,256,85,0.6655122646461624,1.2097320187105183,0.0,13,18,0,hubLikeDep,16294,smell
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,58.74961663668238,10.692430227876194,52.81649932153592,9.612602876519537,0.0,UNIT,CONCRETE_CLASS,"[pl.altkom.asc.lab.micronaut.poc.policy.search.infrastructure.adapters.bus.PolicySearchRegistry, pl.altkom.asc.lab.micronaut.poc.command.bus.CommandProvider, pl.altkom.asc.lab.micronaut.poc.policy.search.infrastructure.adapters.bus.PolicySearchCommandBus, pl.altkom.asc.lab.micronaut.poc.policy.infrastructure.adapters.bus.PolicyRegistry, pl.altkom.asc.lab.micronaut.poc.command.bus.CommandHandler, pl.altkom.asc.lab.micronaut.poc.command.bus.api.Command, pl.altkom.asc.lab.micronaut.poc.command.bus.QueryProvider, pl.altkom.asc.lab.micronaut.poc.command.bus.api.Query, pl.altkom.asc.lab.micronaut.poc.command.bus.QueryHandler, pl.altkom.asc.lab.micronaut.poc.command.bus.MicronautCommandBus, pl.altkom.asc.lab.micronaut.poc.command.bus.Registry, pl.altkom.asc.lab.micronaut.poc.dashboard.infrastructure.adapters.bus.DashboardRegistry, pl.altkom.asc.lab.micronaut.poc.dashboard.infrastructure.adapters.bus.DashboardCommandBus, pl.altkom.asc.lab.micronaut.poc.policy.infrastructure.adapters.bus.PolicyCommandBus]",0.0,pl.altkom.asc.lab.micronaut.poc.command.bus.Registry,0.0,0.0,0.0,9.142857142857142,3.89010989010989,13,1.642665001418782E-5,1,"[16323, 16324, 16325, 16326, 16327, 16328, 16329, 16330, 16331, 16332, 16333, 16334, 16335]",6.876122528490185,,14,73,59,1.124858267715973,2.8495249245473304,0.0,13,13,0,hubLikeDep,16319,smell
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,110.54409994438248,20.119026189877612,74.69637836528933,13.59474086248266,0.0,UNIT,CONCRETE_CLASS,"[pl.altkom.asc.lab.micronaut.poc.policy.PolicyBuilder, pl.altkom.asc.lab.micronaut.poc.policy.infrastructure.adapters.mock.MockPolicyRepository, pl.altkom.asc.lab.micronaut.poc.policy.domain.CoverCollection, pl.altkom.asc.lab.micronaut.poc.policy.domain.PolicyVersion, pl.altkom.asc.lab.micronaut.poc.policy.domain.Person, pl.altkom.asc.lab.micronaut.poc.policy.domain.PolicyVersionRef, pl.altkom.asc.lab.micronaut.poc.policy.queries.getpolicydetails.PolicyDetailsDtoAssembler, pl.altkom.asc.lab.micronaut.poc.policy.domain.Policy, pl.altkom.asc.lab.micronaut.poc.policy.domain.vo.DateRange, pl.altkom.asc.lab.micronaut.poc.policy.domain.PolicyVersionCollection, pl.altkom.asc.lab.micronaut.poc.policy.domain.Cover]",0.0,pl.altkom.asc.lab.micronaut.poc.policy.domain.PolicyVersion,0.0,0.0,0.0,8.272727272727273,0.9090909090909091,13,1.8393391949200128E-5,1,"[16343, 16344, 16345, 16346, 16347, 16348, 16349, 16350, 16351, 16352, 16353, 16354, 16355]",6.2683808256426925,,11,311,142,0.7496555682941201,1.2971679259445068,0.0,13,13,0,hubLikeDep,16339,smell
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,69.1942265965043,12.593349240563782,48.92770684534675,8.904842645853108,0.0,UNIT,CONCRETE_CLASS,"[pl.altkom.asc.lab.micronaut.poc.pricing.domain.BasePremiumCalculationRule, pl.altkom.asc.lab.micronaut.poc.pricing.domain.TariffsFactory, pl.altkom.asc.lab.micronaut.poc.pricing.domain.PercentMarkupRule, pl.altkom.asc.lab.micronaut.poc.pricing.domain.Tariffs, pl.altkom.asc.lab.micronaut.poc.pricing.init.DataLoader, pl.altkom.asc.lab.micronaut.poc.pricing.domain.Cover, pl.altkom.asc.lab.micronaut.poc.pricing.commands.CalculatePriceHandler, pl.altkom.asc.lab.micronaut.poc.pricing.domain.Tariff, pl.altkom.asc.lab.micronaut.poc.pricing.init.DemoTariffsFactory, pl.altkom.asc.lab.micronaut.poc.pricing.domain.DiscountMarkupRuleList, pl.altkom.asc.lab.micronaut.poc.pricing.domain.BasePremiumCalculationRuleList, pl.altkom.asc.lab.micronaut.poc.pricing.domain.DiscountMarkupRule, pl.altkom.asc.lab.micronaut.poc.pricing.domain.Calculation, pl.altkom.asc.lab.micronaut.poc.pricing.domain.TariffTest]",0.0,pl.altkom.asc.lab.micronaut.poc.pricing.domain.Tariff,0.0,0.0,0.0,8.0,0.7912087912087912,15,1.8536347314240864E-5,1,"[16363, 16364, 16365, 16366, 16367, 16368, 16369, 16370, 16371, 16372, 16373, 16374, 16375, 16376, 16377]",6.068735132621182,,14,130,65,0.0,0.977960240056571,0.0,13,15,0,hubLikeDep,16359,smell
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,35.855301953930784,6.525664955615403,35.855301953930784,6.525664955615403,0.0,CONTAINER,PACKAGE,"[pl.altkom.asc.lab.micronaut.poc.policy.service.api, pl.altkom.asc.lab.micronaut.poc.payment.service.api, pl.altkom.asc.lab.micronaut.poc.policy.search.service.api.v1.queries, pl.altkom.asc.lab.micronaut.poc.gateway.client.v1, pl.altkom.asc.lab.micronaut.poc.policy.search.service.api, pl.altkom.asc.lab.micronaut.poc.policy.service.api.v1.queries, pl.altkom.asc.lab.micronaut.poc.policy.service.api.v1.commands, pl.altkom.asc.lab.micronaut.poc.product.service.api]",0.0,pl.altkom.asc.lab.micronaut.poc.gateway.client.v1,0.0,0.2962962962962963,0.0,10.0,5.642857142857143,7,5.051600970140927E-5,1,"[16385, 16386, 16387, 16388, 16389, 16390, 16391]",7.824268346161231,,8,21,21,1.118033988749895,2.021567385440701,0.3684210526315789,,,0,unstableDep,16381,smell
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,15.55231270175287,2.830520911719022,15.55231270175287,2.830520911719022,0.0,UNIT,IMPLEMENTATION,"[pl.altkom.asc.lab.micronaut.poc.dashboard.queries.getagentssales.GetAgentsSalesQueryHandler, pl.altkom.asc.lab.micronaut.poc.policy.queries.getpolicydetails.GetPolicyDetailsQueryHandler, pl.altkom.asc.lab.micronaut.poc.dashboard.queries.gettotalsales.GetTotalSalesQueryHandler, pl.altkom.asc.lab.micronaut.poc.dashboard.queries.getsalestrends.GetSalesTrendsQueryHandler, pl.altkom.asc.lab.micronaut.poc.policy.search.queries.findpolicy.FindPolicyQueryHandler, pl.altkom.asc.lab.micronaut.poc.command.bus.QueryHandler]",0.0,pl.altkom.asc.lab.micronaut.poc.command.bus.QueryHandler,0.0,0.0,0.0,9.0,4.2,5,9.637680852718157E-6,1,"[3893, 3140, 1694, 3473, 3783]",6.955205681690566,,5,5,5,0.5773502691896257,1.4696938456699067,0.0,5,,0,wideHierarchy,16395,smell
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,17.00746154771419,3.095358001683983,17.00746154771419,3.095358001683983,0.0,UNIT,IMPLEMENTATION,"[pl.altkom.asc.lab.micronaut.poc.dashboard.service.api.v1.queries.getagentssalesquery.GetAgentsSalesQuery, pl.altkom.asc.lab.micronaut.poc.policy.service.api.v1.queries.getpolicydetails.GetPolicyDetailsQuery, pl.altkom.asc.lab.micronaut.poc.policy.search.service.api.v1.queries.findpolicy.FindPolicyQuery, pl.altkom.asc.lab.micronaut.poc.dashboard.service.api.v1.queries.gettotalsalesquery.GetTotalSalesQuery, pl.altkom.asc.lab.micronaut.poc.command.bus.api.Query, pl.altkom.asc.lab.micronaut.poc.dashboard.service.api.v1.queries.getsalestrendsquery.GetSalesTrendsQuery]",0.0,pl.altkom.asc.lab.micronaut.poc.command.bus.api.Query,0.0,0.0,0.0,11.666666666666666,8.333333333333334,5,1.6278438028741594E-5,1,"[3702, 2674, 883, 490, 3385]",7.605968029080542,,5,5,5,1.247219128924647,3.6453928305312844,0.0,5,,0,wideHierarchy,16408,smell
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,10.280594660752275,1.871068228256914,6.502018965788648,1.183367451773534,0.0,UNIT,IMPLEMENTATION,"[pl.altkom.asc.lab.micronaut.poc.policy.service.api.v1.commands.createoffer.dto.NumericQuestionAnswer, pl.altkom.asc.lab.micronaut.poc.policy.service.api.v1.commands.createoffer.dto.QuestionAnswer]",0.0,,0.0,0.0,0.0,13.0,0.0,2,6.585533053212311E-5,1,"[1963, 1970]",4.597621702112695,,2,5,2,0.0,0.0,0.0,,,0,cyclicHierarchy,16811,smell
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,10.280594660752275,1.871068228256914,6.502018965788648,1.183367451773534,0.0,UNIT,IMPLEMENTATION,"[pl.altkom.asc.lab.micronaut.poc.policy.service.api.v1.commands.createoffer.dto.QuestionAnswer, pl.altkom.asc.lab.micronaut.poc.policy.service.api.v1.commands.createoffer.dto.TextQuestionAnswer]",0.0,,0.0,0.0,0.0,13.0,0.0,2,6.585533053212311E-5,1,"[1939, 1968]",4.597621702112695,,2,5,2,0.0,0.0,0.0,,,0,cyclicHierarchy,17208,smell
micronaut-microservices-poc/,9871a2e482f6ff8a358b8f3c6caa460374e76c36,0,2021-04-19T05:56:11,10.280594660752275,1.871068228256914,6.502018965788648,1.183367451773534,0.0,UNIT,IMPLEMENTATION,"[pl.altkom.asc.lab.micronaut.poc.policy.service.api.v1.commands.createoffer.dto.QuestionAnswer, pl.altkom.asc.lab.micronaut.poc.policy.service.api.v1.commands.createoffer.dto.ChoiceQuestionAnswer]",0.0,,0.0,0.0,0.0,13.0,0.0,2,6.585533053212311E-5,1,"[1951, 1969]",4.597621702112695,,2,5,2,0.0,0.0,0.0,,,0,cyclicHierarchy,17606,smell
