project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentAtdIndex,ComponentAtdIndexHours,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.0087695704423694,0,PACKAGE,.,.,club.newtech.qbick,qbick,0,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,1.0,false,0.0,0.0,PACKAGE,1,1,0.6666666666666666,false,8,0,0.011256549827016061,0,PACKAGE,.,.,club.newtech.qbike.uc.domain.repository,repository,515,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,0,0,0.0,false,7,0,0.0087695704423694,0,PACKAGE,.,.,club.newtech.qbick.gateway,gateway,6,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,1,4,1.0,false,27,0,0.016230508596309378,0,PACKAGE,.,.,club.newtech.qbike.intention.controller,controller,782,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,0,4,1.0,false,37,0,0.0087695704423694,0,PACKAGE,.,.,club.newtech.qbike.order.controller,controller,15,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,5,0,0.0,false,70,0,0.055399045069569025,0,PACKAGE,.,.,club.newtech.qbike.order.domain.core.vo,vo,274,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,3,1,0.25,false,28,0,0.030632966687505543,0,PACKAGE,.,.,club.newtech.qbike.order.domain.core.root,root,282,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,2,1,0.6,false,57,0,0.013955322268079318,0,PACKAGE,.,.,club.newtech.qbike.intention.infrastructure,infrastructure,1057,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,3,0,0.0,false,2,0,0.047174559751052184,0,PACKAGE,.,.,club.newtech.qbike.trip.domain.core,core,291,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,2,0,0.0,false,2,0,0.028984569886315356,0,PACKAGE,.,.,club.newtech.qbike.uc.domain,domain,554,container
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,0.0,false,0.0,0.0,PACKAGE,2,0,0.0,false,22,0,0.013955322268079318,0,PACKAGE,.,.,club.newtech.qbike.intention.controller.bean,bean,810,container
