project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentAtdIndex,ComponentAtdIndexHours,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.0,false,0.0,0.0,PACKAGE,0,2,0.0,false,22,0,0.001641794915385576,0,PACKAGE,.,.,com.trainticket,trainticket,0,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,1.0,false,0.0,0.0,PACKAGE,1,1,0.3333333333333333,false,18,0,0.0022130889612266545,0,PACKAGE,.,.,order.repository,repository,6149,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.0,false,0.0,0.0,PACKAGE,0,2,0.0,false,22,0,0.001641794915385576,0,PACKAGE,.,.,price,price,2056,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,79,0,0.001641794915385576,0,PACKAGE,.,.,com.trainticket.controller,controller,15,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,1.0,false,0.0,0.0,PACKAGE,1,1,0.3333333333333333,false,12,0,0.0022378016399035236,0,PACKAGE,.,.,security.repository,repository,6160,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.0,false,0.0,0.0,PACKAGE,4,0,0.0,false,20,0,0.005670397424036678,0,PACKAGE,.,.,price.entity,entity,2071,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,42,0,0.001641794915385576,0,PACKAGE,.,.,com.trainticket.init,init,23,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,43,0,0.001641794915385576,0,PACKAGE,.,.,com.trainticket.config,config,31,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,49,0,0.001641794915385576,0,PACKAGE,.,.,price.config,config,2079,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,1.0,false,0.0,0.0,PACKAGE,2,1,0.4,false,13,0,0.0028357433219368625,0,PACKAGE,.,.,com.trainticket.repository,repository,39,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.0,false,0.0,0.0,PACKAGE,0,2,1.0,false,73,0,0.001641794915385576,0,PACKAGE,.,.,price.init,init,2087,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.3333333333333333,false,0.0,0.0,PACKAGE,1,3,0.6,false,151,0,0.002106968165717917,0,PACKAGE,.,.,adminuser.service,service,4140,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.3333333333333333,false,0.0,0.0,PACKAGE,2,3,0.625,false,114,0,0.002572141416050258,0,PACKAGE,.,.,com.trainticket.service,service,47,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.3333333333333333,false,0.0,0.0,PACKAGE,2,3,0.5,false,171,0,0.0028047280412164285,0,PACKAGE,.,.,price.service,service,2095,container
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,0.0,false,0.0,0.0,PACKAGE,4,0,0.0,false,55,0,0.005711298953168219,0,PACKAGE,.,.,com.trainticket.entity,entity,55,container
