project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentAtdIndex,ComponentAtdIndexHours,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.009317089356296774,0,PACKAGE,.,.,com.cloud,cloud,0,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.009317089356296774,0,PACKAGE,.,.,com.cloud.shop,shop,6,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,1.0,false,0.0,0.0,PACKAGE,4,1,0.16666666666666666,false,8,0,0.015004178811793573,0,PACKAGE,.,.,com.cloud.shop.core.servicegovern.servicediscover,servicediscover,526,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,132,0,0.009317089356296774,0,PACKAGE,.,.,hystrix,hystrix,15,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,7,1.0,false,99,0,0.009317089356296774,0,PACKAGE,/Users/josejbocanegra/git/francesca/CloudShop-MicroService-Architecture/cs_gateway/gateway_service/src/main/java/com/cloud/shop/gateway/web/monitor/package-info.java,cs_gateway/gateway_service/src/main/java/com/cloud/shop/gateway/web/monitor/package-info.java,com.cloud.shop.gateway.web.monitor,monitor,796,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,1.0,false,0.0,0.0,PACKAGE,5,0,0.0,false,6,0,0.02138017609673651,0,PACKAGE,.,.,com.cloud.shop.core.servicegovern.annotation,annotation,542,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.009317089356296774,0,PACKAGE,.,.,com,com,551,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,9,1,0.058823529411764705,false,101,0,0.031035412538622745,0,PACKAGE,.,.,com.cloud.shop.common,common,562,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,2,1.0,false,0,0,0.009317089356296774,0,PACKAGE,.,.,com.cloud.shop.product,product,307,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,4,1.0,false,66,0,0.009317089356296774,0,PACKAGE,.,.,com.cloud.shop.product.web,web,313,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,1,6,0.8571428571428571,false,123,0,0.01041336490520958,0,PACKAGE,/Users/josejbocanegra/git/francesca/CloudShop-MicroService-Architecture/cs_core/src/main/java/com/cloud/shop/core/serviceisolation/package-info.java,cs_core/src/main/java/com/cloud/shop/core/serviceisolation/package-info.java,com.cloud.shop.core.serviceisolation,serviceisolation,322,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,3,0,0.0,false,134,0,0.025093181152669747,0,PACKAGE,.,.,com.cloud.shop.core.monitor.webresmonitor.pojo,pojo,582,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.5,false,7.747442888212428,1.410034605654662,PACKAGE,1,3,0.75,false,68,0,0.012024513183422594,0,PACKAGE,.,.,com.cloud.shop.core.servicegovern.serviceregister,serviceregister,338,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,2,1.0,false,27,0,0.009317089356296774,0,PACKAGE,/Users/josejbocanegra/git/francesca/CloudShop-MicroService-Architecture/cs_core/src/main/java/com/cloud/shop/core/test/package-info.java,cs_core/src/main/java/com/cloud/shop/core/test/package-info.java,com.cloud.shop.core.test,test,89,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,0,0,0.009317089356296774,0,PACKAGE,.,.,com.cloud.shop.gateway,gateway,607,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,0,8,1.0,false,190,0,0.009317089356296774,0,PACKAGE,.,.,com.cloud.shop.gateway.web,web,613,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,2,0,0.0,false,27,0,0.018930553000375785,0,PACKAGE,.,.,com.cloud.shop.core.test.pojo,pojo,120,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,7.747442888212428,1.410034605654662,PACKAGE,1,4,0.8,false,46,0,0.012727543415716271,0,PACKAGE,.,.,com.cloud.shop.core.servicegovern.serviceregister.registerimpl,registerimpl,380,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,5,0,0.0,false,13,0,0.023772484825119778,0,PACKAGE,.,.,com.cloud.shop.core,core,636,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,1,2,0.6666666666666666,false,38,0,0.013280561925559719,0,PACKAGE,.,.,com.cloud.shop.core.test.thread,thread,128,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,3,0,0.0,false,30,0,0.020251710523463435,0,PACKAGE,/Users/josejbocanegra/git/francesca/CloudShop-MicroService-Architecture/cs_core/src/main/java/com/cloud/shop/core/initbean/package-info.java,cs_core/src/main/java/com/cloud/shop/core/initbean/package-info.java,com.cloud.shop.core.initbean,initbean,389,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,4,0,1.0,false,0,0,0.021399856020594812,0,PACKAGE,/Users/josejbocanegra/git/francesca/CloudShop-MicroService-Architecture/cs_core/src/main/java/com/cloud/shop/core/monitor/package-info.java,cs_core/src/main/java/com/cloud/shop/core/monitor/package-info.java,com.cloud.shop.core.monitor,monitor,904,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,5,1,0.16666666666666666,false,27,0,0.0466659042073561,0,PACKAGE,.,.,com.cloud.shop.enums,enums,137,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,0.0,false,0.0,0.0,PACKAGE,5,0,0.0,false,16,0,0.057293592429356804,0,PACKAGE,/Users/josejbocanegra/git/francesca/CloudShop-MicroService-Architecture/cs_pojo/src/main/java/com/cloud/shop/dictionary/package-info.java,cs_pojo/src/main/java/com/cloud/shop/dictionary/package-info.java,com.cloud.shop.dictionary,dictionary,652,container
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,1.0,false,0.0,0.0,PACKAGE,3,0,0.0,false,3,0,0.015853494362349917,0,PACKAGE,/Users/josejbocanegra/git/francesca/CloudShop-MicroService-Architecture/cs_core/src/main/java/com/cloud/shop/core/strategy/package-info.java,cs_core/src/main/java/com/cloud/shop/core/strategy/package-info.java,com.cloud.shop.core.strategy,strategy,399,container
