project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentAtdIndex,ComponentAtdIndexHours,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.19047619047619047,false,82.00835825140807,14.92552120175627,PACKAGE,2,4,0.9090909090909091,false,941,0,0.01449996664122854,0,PACKAGE,.,.,tools.descartes.teastore.image.cache,cache,0,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,0,0.0,false,27,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.persistence.domain.converters,converters,2574,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.25,false,0.0,0.0,PACKAGE,9,0,0.0,false,127,0,0.044809133948592234,0,PACKAGE,.,.,tools.descartes.teastore.registryclient.util,util,1043,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.3333333333333333,false,0.0,0.0,PACKAGE,1,1,0.3333333333333333,false,84,0,0.009155668784316744,0,PACKAGE,.,.,tools.descartes.teastore.auth.security,security,1561,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.5,false,0.0,0.0,PACKAGE,1,0,0.0,false,79,0,0.01047759944805962,0,PACKAGE,.,.,tools.descartes.teastore.kieker.probes.records,records,551,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,25.746040613398403,4.685779391638509,PACKAGE,3,1,0.14285714285714285,false,12,0,0.04229814492137673,0,PACKAGE,.,.,tools.descartes.teastore.recommender.algorithm.impl,impl,2599,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,39,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.image.rest,rest,1068,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,25.746040613398403,4.685779391638509,PACKAGE,1,1,0.3333333333333333,false,13,0,0.022868576568607416,0,PACKAGE,.,.,tools.descartes.teastore.recommender.algorithm.impl.pop,pop,2620,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,6,0,0.0,false,43,0,0.01919471010113875,0,PACKAGE,.,.,tools.descartes.teastore.registryclient.tracing,tracing,579,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,25.746040613398403,4.685779391638509,PACKAGE,1,2,0.4,false,60,0,0.022868576568607416,0,PACKAGE,.,.,tools.descartes.teastore.recommender.algorithm.impl.cf,cf,2632,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,21,0,0.0,false,257,0,0.1303060442978557,0,PACKAGE,.,.,tools.descartes.teastore.entities,entities,589,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,0,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.kieker,kieker,1101,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,0,0.0,false,158,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.kieker.rabbitmq,rabbitmq,1107,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,1.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,87,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.kieker.probes,probes,1115,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,1,0,0.0,false,15,0,0.009155668784316744,0,PACKAGE,.,.,tools.descartes.teastore.webui.servlet.elhelper,elhelper,1672,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,5,1,0.11764705882352941,false,27,0,0.022082082339151116,0,PACKAGE,.,.,tools.descartes.teastore.entities.message,message,662,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,4,1.0,false,251,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.persistence,persistence,671,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,25.746040613398403,4.685779391638509,PACKAGE,1,2,0.6,false,15,0,0.022868576568607416,0,PACKAGE,.,.,tools.descartes.teastore.recommender.algorithm.impl.orderbased,orderbased,1192,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,182.0102754782206,33.12587013703615,PACKAGE,7,5,0.21739130434782608,false,580,0,0.05691116393999242,0,PACKAGE,.,.,tools.descartes.teastore.image,image,1234,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.008164220786509586,0,PACKAGE,.,.,tools,tools,1774,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes,descartes,1780,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,7,1.0,false,135,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.auth.rest,rest,1789,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,34.3833676512301,6.257772912523879,PACKAGE,9,2,0.14285714285714285,false,193,0,0.0531005584173257,0,PACKAGE,.,.,tools.descartes.teastore.registryclient.loadbalancers,loadbalancers,1843,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,45.56427794855757,8.292698586637478,PACKAGE,3,2,0.4375,false,646,0,0.015585595996952362,0,PACKAGE,.,.,tools.descartes.teastore.persistence.domain,domain,827,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,0,0.0,false,16,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.persistence.servlet,servlet,835,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,34,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.persistence.daemons,daemons,843,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,104.4699092450659,19.013523482601997,PACKAGE,2,11,0.9333333333333333,false,622,0,0.020154556670858095,0,PACKAGE,.,.,tools.descartes.teastore.image.setup,setup,1358,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.16666666666666666,false,45.56427794855757,8.292698586637478,PACKAGE,4,4,0.4444444444444444,false,427,0,0.02022521688801298,0,PACKAGE,.,.,tools.descartes.teastore.persistence.repository,repository,851,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,2,1.0,false,0,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.webui,webui,1367,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,5,1.0,false,279,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.persistence.rest,rest,859,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,0,0.0,false,9,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.webui.rest,rest,1373,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,4,6,0.4375,false,464,0,0.012977184623444353,0,PACKAGE,.,.,tools.descartes.teastore.registryclient.rest,rest,868,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,15,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.webui.startup,startup,1381,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.06666666666666667,false,0.0,0.0,PACKAGE,0,7,1.0,false,723,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.webui.servlet,servlet,1389,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,0,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.recommender,recommender,1398,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,3,1.0,false,64,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.recommender.rest,rest,1404,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,1,7,0.9090909090909091,false,156,0,0.01047759944805962,0,PACKAGE,.,.,tools.descartes.teastore.recommender.servlet,servlet,1412,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.36363636363636365,false,132.7923709398493,24.16821151105257,PACKAGE,6,5,0.5294117647058824,false,721,0,0.08654384537103257,0,PACKAGE,.,.,tools.descartes.teastore.recommender.algorithm,algorithm,1420,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.2727272727272727,false,27.643533242248402,5.031123050089209,PACKAGE,5,1,0.05,false,171,0,0.03389805456138117,0,PACKAGE,.,.,tools.descartes.teastore.image.cache.entry,entry,403,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore.registry,registry,1429,container
TeaStore/,34b37f7e7be433ce72d5f9455e66922a13116749,0,2025-01-08T11:29:45,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.008164220786509586,0,PACKAGE,.,.,tools.descartes.teastore,teastore,2457,container
