project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentAtdIndex,ComponentAtdIndexHours,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,1.0,false,0.0,0.0,PACKAGE,5,0,0.0,false,10,0,0.011062735398906166,0,PACKAGE,.,.,com.sitewhere.batch.spi.kafka,kafka,0,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,0.0,0.0,PACKAGE,0,2,1.0,false,48,0,0.0016663547366090375,0,PACKAGE,.,.,com.sitewhere.connectors.http,http,6144,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.0016663547366090375,0,PACKAGE,.,.,com.sitewhere.media.spi,spi,4098,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,88,0,0.0016663547366090375,0,PACKAGE,.,.,com.sitewhere.connectors.initialstate,initialstate,6152,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,0.0,0.0,PACKAGE,0,0,1.0,false,0,0,0.0016663547366090375,0,PACKAGE,.,.,com.sitewhere,sitewhere,2062,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,0.0,0.0,PACKAGE,0,0,0.0,false,5,0,0.0016663547366090375,0,PACKAGE,.,.,com.sitewhere.connectors.messages,messages,6160,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,10,0,0.0016663547366090375,0,PACKAGE,.,.,com.sitewhere.devicestate,devicestate,2068,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,0.0,0.0,PACKAGE,0,4,1.0,false,88,0,0.0016663547366090375,0,PACKAGE,.,.,com.sitewhere.connectors.rabbitmq,rabbitmq,6168,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,0.0,0.0,PACKAGE,0,2,1.0,false,40,0,0.0016663547366090375,0,PACKAGE,.,.,com.sitewhere.search,search,2076,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,0.0,0.0,PACKAGE,0,1,1.0,false,60,0,0.0016663547366090375,0,PACKAGE,.,.,com.sitewhere.connectors.azure,azure,6180,container
sitewhere/,a7ca898667ab3c2778d13f8cbc0b9a2fb5656d15,0,2021-03-23T15:20:57,0.0,false,27.615304108159187,5.025985347684972,PACKAGE,2,2,0.6,false,98,0,0.0024785638210271547,0,PACKAGE,.,.,com.sitewhere.device,device,2084,container
