project,versionId,versionIndex,versionDate,ATDI,ATDI_HOURS,ATDI_WEIGHTED,ATDI_WEIGHTED_HOURS,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,SMELL_EDGES_IDS,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,ThresholdValueUsed,TotalDependenciesCount,TotalNumberOfChanges,smellType,vertexId,vertexLabel
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,32.49401206390484,5.913910195630681,32.49401206390484,5.913910195630681,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.Item, org.myproject.ms.monitoring.Chainer, org.myproject.ms.monitoring.instrument.async.LCTRun, org.myproject.ms.monitoring.ChainKeys, org.myproject.ms.monitoring.ItemNamer, org.myproject.ms.monitoring.trace.DChainer, org.myproject.ms.monitoring.ChainRunnable, org.myproject.ms.monitoring.instrument.async.LTExec, org.myproject.ms.monitoring.instrument.async.TEServ, org.myproject.ms.monitoring.instrument.async.TSEServ, org.myproject.ms.monitoring.instrument.async.SCTRun, org.myproject.ms.monitoring.instrument.async.LTTPTExec]",0.0,org.myproject.ms.monitoring.instrument.async.SCTRun,0.0,0.0,0.0,0.0,0.6363636363636364,11,8.321871894442091E-6,1,"[37368, 37369, 37370, 37371, 37372, 37373, 37374, 37375, 37376, 37377, 37378]",5.415668677317473,,12,36,36,0.0,0.6428243465332251,0.0,11,11,0,hubLikeDep,37364,smell
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,31.578503535858665,5.747287643526277,31.578503535858665,5.747287643526277,0.0,UNIT,CONCRETE_CLASS,"[org.myproject.ms.monitoring.instrument.web.TWAsp, org.myproject.ms.monitoring.Item, org.myproject.ms.monitoring.Chainer, org.myproject.ms.monitoring.instrument.async.LCTCall, org.myproject.ms.monitoring.ChainKeys, org.myproject.ms.monitoring.ItemNamer, org.myproject.ms.monitoring.trace.DChainer, org.myproject.ms.monitoring.instrument.async.SCTCall, org.myproject.ms.monitoring.ChainCallable, org.myproject.ms.monitoring.instrument.async.TEServ, org.myproject.ms.monitoring.instrument.async.TSEServ, org.myproject.ms.monitoring.instrument.async.LTTPTExec]",0.0,org.myproject.ms.monitoring.instrument.async.SCTCall,0.0,0.0,0.0,0.0,0.8636363636363636,11,7.922711402211355E-6,1,"[37386, 37387, 37388, 37389, 37390, 37391, 37392, 37393, 37394, 37395, 37396]",5.415668677317473,,12,34,34,0.0,0.7762841489363331,0.0,11,11,0,hubLikeDep,37382,smell
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,48.17392628415837,8.767654583716823,48.17392628415837,8.767654583716823,0.0,CONTAINER,PACKAGE,"[waitorder, edu.fudan.common, edu.fudan.common.security, edu.fudan]",0.0,waitorder,0.0,1.0,0.0,0.0,0.8333333333333334,3,5.67670459813325E-5,1,"[37404, 37405, 37406]",5.454623037612722,,4,78,78,0.0,0.8975274678557507,1.0,,,0,unstableDep,37400,smell
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,12.368448029590835,2.2510575413855323,8.745813474477073,1.5917380523548272,0.0,CONTAINER,PACKAGE,"[auth.service.impl, edu.fudan.common, auth.service, auth.security]",0.0,auth.service,0.0,0.35238095238095246,0.0,0.0,0.8333333333333334,3,3.2384397736060857E-5,1,"[37414, 37415, 37416]",5.049397763771594,,4,6,3,0.0,0.8975274678557507,0.3333333333333333,,,0,unstableDep,37410,smell
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,59.3192026669234,10.79609488538006,59.3192026669234,10.79609488538006,0.0,CONTAINER,PACKAGE,"[edu.fudan.common.security, edu.fudan.common, edu.fudan, user]",0.0,user,0.0,1.0,0.0,0.0,1.1666666666666667,3,5.67670459813325E-5,1,"[37424, 37425, 37426]",5.87347627719896,,4,102,102,0.0,0.8975274678557508,1.0,,,0,unstableDep,37420,smell
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,28.343052711842752,5.158435593555381,28.343052711842752,5.158435593555381,0.0,CONTAINER,PACKAGE,"[auth, edu.fudan.common.security, edu.fudan.common, edu.fudan]",0.0,auth,0.0,1.0,0.0,0.0,0.8333333333333334,3,5.67670459813325E-5,1,"[37434, 37435, 37436]",5.454623037612722,,4,27,27,0.0,0.8975274678557507,1.0,,,0,unstableDep,37430,smell
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,7.375763708690035,1.3423889949815864,5.215452534844363,0.9492123613416741,0.0,CONTAINER,PACKAGE,"[auth.service.impl, auth.service]",0.0,,0.0,0.0,0.0,0.0,0.0,2,6.968788982099445E-6,1,"[11517, 11491]",3.6878818543450174,TINY,2,4,2,0.0,0.0,0.0,,,0,cyclicDep,46145,smell
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,8.47035384379689,1.541604399571034,8.47035384379689,1.541604399571034,0.0,CONTAINER,PACKAGE,"[org.myproject.ms.monitoring.atcfg, org.myproject.ms.monitoring.instrument.async, org.myproject.ms.monitoring.instrument.schedl, org.myproject.ms.monitoring.trace]",0.0,,0.0,0.0,0.0,0.0,2.0,4,1.0385896451052992E-5,1,"[11591, 11525, 11332, 11252]",3.2014928267723732,CIRCLE,4,7,7,0.0,0.0,0.0,,,0,cyclicDep,46153,smell
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,5.215452534844363,0.9492123613416741,5.215452534844363,0.9492123613416741,0.0,CONTAINER,PACKAGE,"[user.service, user.service.impl]",0.0,,0.0,0.0,0.0,0.0,0.0,2,8.762849298620254E-6,1,"[11478, 11384]",3.6878818543450174,TINY,2,2,2,0.0,0.0,0.0,,,0,cyclicDep,46163,smell
train-ticket,313886e99befb94be6cd45f085c98e0019f59829,0,2022-11-01T03:21:39,6.8372153257415365,1.2443731892849597,6.8372153257415365,1.2443731892849597,0.0,CONTAINER,PACKAGE,"[verifycode.service, verifycode.service.impl]",0.0,,0.0,0.0,0.0,0.0,0.0,2,2.1933750655236543E-5,1,"[11251, 11708]",3.947468108824311,TINY,2,3,3,0.0,0.0,0.0,,,0,cyclicDep,46171,smell
