Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Api.Authentication,AuthenticationExtensions,1,1,0,0,1,49,1,0,0,0,3,0,Api.Authentication.AuthenticationService' Api.Authentication.IAuthenticationService' Api.Authentication.TokenModel,
Api.Authentication,AuthenticationService,1,3,0,0,3,34,3,0,1,0,67,3,1,Api.Authentication.IAuthenticationService' Api.Authentication.TokenModel' Api.Models.Customer,Api.Authentication.AuthenticationExtensions
Api.Authentication,IAuthenticationService,0,1,0,0,0,4,1,1,0,-1,1,3,Api.Models.Customer,Api.Authentication.AuthenticationService' Api.Authentication.AuthenticationExtensions' Api.Controllers.TokenController
Api.Authentication,LoginModel,0,0,2,0,0,5,0,0,0,-1,0,1,,Api.Controllers.TokenController
Api.Authentication,TokenModel,0,0,2,0,0,5,0,0,0,-1,0,3,,Api.Authentication.AuthenticationService' Api.Controllers.BaseController' Api.Authentication.AuthenticationExtensions
Api.Commands.Baskets,AddProductToBasket,0,1,2,0,1,12,1,0,1,-1,2,1,Shared.Messages.ICommand' Shared.Messages.MessageNamespaceAttribute,Api.Controllers.BasketController
Api.Commands.Customers,CreateCustomer,0,1,6,0,1,20,1,0,1,-1,2,1,Shared.Messages.ICommand' Shared.Messages.MessageNamespaceAttribute,Api.Controllers.CustomerController
Api.Commands.Orders,CreateOrder,0,1,1,0,1,10,1,0,1,-1,2,1,Shared.Messages.ICommand' Shared.Messages.MessageNamespaceAttribute,Api.Controllers.OrderController
Api.Controllers,BaseController,1,3,1,0,1,34,3,3,0,0,67,4,3,Api.Authentication.TokenModel' Shared.RabbitMq.CorrelationContext' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext,Api.Controllers.OrderController' Api.Controllers.BasketController' Api.Controllers.CustomerController
Api.Controllers,BasketController,0,2,0,0,2,18,2,0,1,-1,3,0,Api.Commands.Baskets.AddProductToBasket' Api.Controllers.BaseController' Shared.RabbitMq.IBusPublisher,
Api.Controllers,CustomerController,0,2,0,0,2,17,2,0,1,-1,3,0,Api.Commands.Customers.CreateCustomer' Api.Controllers.BaseController' Shared.RabbitMq.IBusPublisher,
Api.Controllers,HomeController,0,1,0,0,1,10,1,0,0,-1,0,0,,
Api.Controllers,OrderController,0,2,0,0,2,18,2,0,1,-1,3,0,Api.Commands.Orders.CreateOrder' Api.Controllers.BaseController' Shared.RabbitMq.IBusPublisher,
Api.Controllers,ProductController,1,2,0,0,2,17,2,0,0,0,1,0,Api.HttpServices.IProductHttpService,
Api.Controllers,TokenController,2,2,0,0,2,32,4,0,0,0,3,0,Api.Authentication.IAuthenticationService' Api.Authentication.LoginModel' Api.HttpServices.ICustomerHttpService,
Api.HttpServices,CustomerHttpService,0,2,1,0,2,23,3,0,1,-1,2,1,Api.HttpServices.ICustomerHttpService' Api.Models.Customer,Api.Startup
Api.HttpServices,ICustomerHttpService,0,1,0,0,0,4,1,1,0,-1,1,3,Api.Models.Customer,Api.HttpServices.CustomerHttpService' Api.Startup' Api.Controllers.TokenController
Api.HttpServices,IProductHttpService,0,1,0,0,0,4,1,1,0,-1,0,3,,Api.Controllers.ProductController' Api.HttpServices.ProductHttpService' Api.Startup
Api.HttpServices,ProductHttpService,0,2,1,0,2,23,3,0,1,-1,1,1,Api.HttpServices.IProductHttpService,Api.Startup
Api.Models,Customer,0,0,6,0,0,9,0,0,0,-1,0,4,,Api.Authentication.AuthenticationService' Api.Authentication.IAuthenticationService' Api.HttpServices.ICustomerHttpService' Api.HttpServices.CustomerHttpService
Api,Program,0,2,0,0,2,12,2,0,0,-1,1,0,Api.Startup,
Api,Startup,0,3,1,0,3,42,4,0,0,-1,5,1,Api.HttpServices.CustomerHttpService' Api.HttpServices.ICustomerHttpService' Api.HttpServices.IProductHttpService' Api.HttpServices.ProductHttpService' Shared.Models.HttpServiceOptions,Api.Program
