Namespace,Type,Method,LOC,CC,PC
Api.Authentication,AuthenticationExtensions,AddJwtAuthentication,44,1,1
Api.Authentication,AuthenticationService,AuthenticationService,3,1,1
Api.Authentication,AuthenticationService,GetCurrentUser,0,1,0
Api.Authentication,AuthenticationService,GetToken,19,1,1
Api.Authentication,IAuthenticationService,GetToken,0,1,1
Api.Commands.Baskets,AddProductToBasket,AddProductToBasket,4,1,2
Api.Commands.Customers,CreateCustomer,CreateCustomer,8,1,5
Api.Commands.Orders,CreateOrder,CreateOrder,3,1,0
Api.Controllers,BaseController,BaseController,3,1,1
Api.Controllers,BaseController,GetContext,3,1,0
Api.Controllers,BaseController,GetContext,3,1,1
Api.Controllers,BasketController,BasketController,3,1,1
Api.Controllers,BasketController,Post,5,1,1
Api.Controllers,CustomerController,CustomerController,3,1,1
Api.Controllers,CustomerController,Post,5,1,1
Api.Controllers,HomeController,Get,3,1,0
Api.Controllers,OrderController,OrderController,3,1,1
Api.Controllers,OrderController,Post,5,1,1
Api.Controllers,ProductController,ProductController,3,1,1
Api.Controllers,ProductController,Get,3,1,0
Api.Controllers,TokenController,TokenController,4,1,2
Api.Controllers,TokenController,GenerateToken,14,3,1
Api.HttpServices,CustomerHttpService,CustomerHttpService,3,1,1
Api.HttpServices,CustomerHttpService,GetCustomerByEmail,12,2,1
Api.HttpServices,ICustomerHttpService,GetCustomerByEmail,0,1,1
Api.HttpServices,IProductHttpService,GetList,0,1,0
Api.HttpServices,ProductHttpService,ProductHttpService,3,1,1
Api.HttpServices,ProductHttpService,GetList,12,2,0
Api,Program,Main,3,1,1
Api,Program,CreateWebHostBuilder,0,1,1
Api,Startup,Startup,3,1,1
Api,Startup,ConfigureServices,18,1,1
Api,Startup,Configure,9,2,2
