Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Services.Customers.Commands,AddProductToBasket,0,1,2,0,1,12,1,0,1,-1,1,2,Shared.Messages.ICommand,Services.Customers.Handlers.AddProductToBasketHandler' Services.Customers.Startup
Services.Customers.Commands,CreateCustomer,0,1,6,0,1,19,1,0,1,-1,1,2,Shared.Messages.ICommand,Services.Customers.Startup' Services.Customers.Handlers.CreateCustomerdHandler
Services.Customers.Controllers,BasketController,1,2,0,0,2,17,2,0,0,0,1,0,Services.Customers.Data.CustomerDBContext,
Services.Customers.Controllers,CustomerController,1,2,0,0,2,17,2,0,0,0,1,0,Services.Customers.Data.CustomerDBContext,
Services.Customers.Controllers,HomeController,0,1,0,0,1,10,1,0,0,-1,0,0,,
Services.Customers.Data,CustomerDBContext,0,2,3,0,1,20,2,0,0,-1,3,8,Services.Customers.Data.Basket' Services.Customers.Data.BasketItem' Services.Customers.Data.Customer,Services.Customers.Data.Migrations.CustomerDBContextModelSnapshot' Services.Customers.Controllers.BasketController' Services.Customers.Controllers.CustomerController' Services.Customers.Data.SeedData' Services.Customers.Startup' Services.Customers.Handlers.OrderCompletedHandler' Services.Customers.Handlers.CreateCustomerdHandler' Services.Customers.Handlers.AddProductToBasketHandler
Services.Customers.Data,Basket,0,0,2,0,0,5,0,0,1,-1,2,2,Shared.Models.BaseEntity' Services.Customers.Data.BasketItem,Services.Customers.Data.CustomerDBContext' Services.Customers.Handlers.CreateCustomerdHandler
Services.Customers.Data,BasketItem,0,0,5,0,0,8,0,0,1,-1,1,3,Shared.Models.BaseEntity,Services.Customers.Data.Basket' Services.Customers.Data.CustomerDBContext' Services.Customers.Handlers.AddProductToBasketHandler
Services.Customers.Data,Customer,0,0,5,0,0,8,0,0,1,-1,1,2,Shared.Models.BaseEntity,Services.Customers.Data.CustomerDBContext' Services.Customers.Handlers.CreateCustomerdHandler
Services.Customers.Data,SeedData,0,1,0,0,1,8,1,0,0,-1,1,1,Services.Customers.Data.CustomerDBContext,Services.Customers.Startup
Services.Customers.Data.Migrations,initial,0,3,0,0,0,150,3,0,0,-1,0,0,,
Services.Customers.Data.Migrations,base_entity,0,3,0,0,0,119,3,0,0,-1,0,0,,
Services.Customers.Data.Migrations,CustomerDBContextModelSnapshot,0,1,0,0,0,81,1,0,0,-1,1,0,Services.Customers.Data.CustomerDBContext,
Services.Customers.Events,OrderCompleted,0,1,1,0,1,9,1,0,1,-1,1,2,Shared.Messages.IEvent,Services.Customers.Handlers.OrderCompletedHandler' Services.Customers.Startup
Services.Customers.Events,ProductAddedToBasket,0,1,2,0,1,11,1,0,1,-1,1,0,Shared.Messages.IEvent,
Services.Customers.Handlers,AddProductToBasketHandler,4,2,0,0,2,58,5,0,1,0,7,0,Shared.MessageHandlers.ICommandHandler' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Services.Customers.Commands.AddProductToBasket' Services.Customers.Data.CustomerDBContext' Services.Customers.Data.BasketItem' Services.Customers.HttpServices.IProductHttpService,
Services.Customers.Handlers,CreateCustomerdHandler,3,2,0,0,2,35,2,0,1,0,7,0,Shared.MessageHandlers.ICommandHandler' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Services.Customers.Commands.CreateCustomer' Services.Customers.Data.CustomerDBContext' Services.Customers.Data.Basket' Services.Customers.Data.Customer,
Services.Customers.Handlers,OrderCompletedHandler,3,2,0,0,2,26,2,0,1,0,5,0,Shared.MessageHandlers.IEventHandler' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Services.Customers.Data.CustomerDBContext' Services.Customers.Events.OrderCompleted,
Services.Customers.HttpServices,IProductHttpService,0,1,0,0,0,4,1,1,0,-1,1,3,Services.Customers.Models.Product,Services.Customers.HttpServices.ProductHttpService' Services.Customers.Handlers.AddProductToBasketHandler' Services.Customers.Startup
Services.Customers.HttpServices,ProductHttpService,0,2,1,0,2,23,3,0,1,-1,2,1,Services.Customers.HttpServices.IProductHttpService' Services.Customers.Models.Product,Services.Customers.Startup
Services.Customers.Models,Product,0,0,4,0,0,7,0,0,0,-1,0,2,,Services.Customers.HttpServices.IProductHttpService' Services.Customers.HttpServices.ProductHttpService
Services.Customers,Program,0,2,0,0,2,11,2,0,0,-1,1,0,Services.Customers.Startup,
Services.Customers,Startup,0,3,1,0,3,47,4,0,0,-1,8,1,Shared.Models.HttpServiceOptions' Services.Customers.Commands.AddProductToBasket' Services.Customers.Commands.CreateCustomer' Services.Customers.Data.CustomerDBContext' Services.Customers.Data.SeedData' Services.Customers.Events.OrderCompleted' Services.Customers.HttpServices.IProductHttpService' Services.Customers.HttpServices.ProductHttpService,Services.Customers.Program
