Namespace,Type,Method,LOC,CC,PC
Services.Customers.Commands,AddProductToBasket,AddProductToBasket,4,1,2
Services.Customers.Commands,CreateCustomer,CreateCustomer,8,1,6
Services.Customers.Controllers,BasketController,BasketController,3,1,1
Services.Customers.Controllers,BasketController,Get,4,1,1
Services.Customers.Controllers,CustomerController,CustomerController,3,1,1
Services.Customers.Controllers,CustomerController,Get,4,1,1
Services.Customers.Controllers,HomeController,Get,3,1,0
Services.Customers.Data,CustomerDBContext,CustomerDBContext,2,1,1
Services.Customers.Data,CustomerDBContext,OnModelCreating,9,1,1
Services.Customers.Data,SeedData,Initialize,4,1,1
Services.Customers.Data.Migrations,initial,Up,57,1,1
Services.Customers.Data.Migrations,initial,Down,10,1,1
Services.Customers.Data.Migrations,initial,BuildTargetModel,72,1,1
Services.Customers.Data.Migrations,base_entity,Up,18,1,1
Services.Customers.Data.Migrations,base_entity,Down,14,1,1
Services.Customers.Data.Migrations,base_entity,BuildTargetModel,76,1,1
Services.Customers.Data.Migrations,CustomerDBContextModelSnapshot,BuildModel,76,1,1
Services.Customers.Events,OrderCompleted,OrderCompleted,3,1,1
Services.Customers.Events,ProductAddedToBasket,ProductAddedToBasket,4,1,2
Services.Customers.Handlers,AddProductToBasketHandler,AddProductToBasketHandler,6,1,4
Services.Customers.Handlers,AddProductToBasketHandler,HandleAsync,37,4,2
Services.Customers.Handlers,CreateCustomerdHandler,CreateCustomerdHandler,5,1,3
Services.Customers.Handlers,CreateCustomerdHandler,HandleAsync,19,1,2
Services.Customers.Handlers,OrderCompletedHandler,OrderCompletedHandler,5,1,3
Services.Customers.Handlers,OrderCompletedHandler,HandleAsync,10,1,2
Services.Customers.HttpServices,IProductHttpService,GetAsync,0,1,1
Services.Customers.HttpServices,ProductHttpService,ProductHttpService,3,1,1
Services.Customers.HttpServices,ProductHttpService,GetAsync,12,2,1
Services.Customers,Program,Main,3,1,1
Services.Customers,Program,CreateWebHostBuilder,0,1,1
Services.Customers,Startup,Startup,3,1,1
Services.Customers,Startup,ConfigureServices,16,1,1
Services.Customers,Startup,Configure,14,2,2
