Namespace,Type,Method,LOC,CC,PC
Services.Notifications.Controllers,HomeController,Get,3,1,0
Services.Notifications.Events,OrderCompleted,OrderCompleted,3,1,1
Services.Notifications.Events,OrderFailed,OrderFailed,3,1,1
Services.Notifications.Handlers,OrderCompletedHandler,OrderCompletedHandler,3,1,1
Services.Notifications.Handlers,OrderCompletedHandler,HandleAsync,5,1,2
Services.Notifications.Handlers,OrderFailedHandler,OrderFailedHandler,3,1,1
Services.Notifications.Handlers,OrderFailedHandler,HandleAsync,5,1,2
Services.Notifications,Program,Main,3,1,1
Services.Notifications,Program,CreateWebHostBuilder,0,1,1
Services.Notifications,Startup,Startup,3,1,1
Services.Notifications,Startup,ConfigureServices,5,1,1
Services.Notifications,Startup,Configure,11,2,2
