Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Services.Orders.Commands,CreateOrder,0,1,1,0,1,9,1,0,1,-1,1,2,Shared.Messages.ICommand,Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Startup
Services.Orders.Controllers,HomeController,0,1,0,0,1,10,1,0,0,-1,0,0,,
Services.Orders.Data,Order,0,0,4,0,0,7,0,0,1,-1,3,2,Shared.Models.BaseEntity' Services.Orders.Data.OrderItem' Services.Orders.Data.OrderStatus,Services.Customers.Data.OrderDBContext' Services.Orders.Handlers.CreateOrderHandler
Services.Orders.Data,OrderItem,0,0,6,0,0,9,0,0,1,-1,1,2,Shared.Models.BaseEntity,Services.Orders.Data.Order' Services.Orders.Handlers.CreateOrderHandler
Services.Orders.Data,OrderStatus,0,0,0,0,0,6,0,0,0,-1,0,4,,Services.Orders.Data.Order' Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Handlers.ProductsReservedHandler' Services.Orders.Handlers.ProductsReserveFailedHandler
Services.Orders.Data,SeedData,0,1,0,0,1,8,1,0,0,-1,1,1,Services.Customers.Data.OrderDBContext,Services.Orders.Startup
Services.Orders.Data.Migrations,initial,0,3,0,0,0,114,3,0,0,-1,0,0,,
Services.Orders.Data.Migrations,base_entity,0,3,0,0,0,91,3,0,0,-1,0,0,,
Services.Orders.Data.Migrations,OrderDBContextModelSnapshot,0,1,0,0,0,63,1,0,0,-1,1,0,Services.Customers.Data.OrderDBContext,
Services.Customers.Data,OrderDBContext,0,2,1,0,1,13,2,0,0,-1,1,6,Services.Orders.Data.Order,Services.Orders.Data.Migrations.OrderDBContextModelSnapshot' Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Startup' Services.Orders.Data.SeedData' Services.Orders.Handlers.ProductsReserveFailedHandler' Services.Orders.Handlers.ProductsReservedHandler
Services.Orders.Events,OrderCompleted,0,1,1,0,1,10,1,0,1,-1,2,1,Shared.Messages.IEvent' Shared.Messages.MessageNamespaceAttribute,Services.Orders.Handlers.ProductsReservedHandler
Services.Orders.Events,OrderCreated,0,1,2,0,1,12,1,0,1,-1,2,1,Shared.Messages.IEvent' Shared.Messages.MessageNamespaceAttribute,Services.Orders.Handlers.CreateOrderHandler
Services.Orders.Events,OrderFailed,0,1,1,0,1,9,1,0,1,-1,2,1,Shared.Messages.IEvent' Shared.Messages.MessageNamespaceAttribute,Services.Orders.Handlers.ProductsReserveFailedHandler
Services.Orders.Events,ProductsReserved,0,1,2,0,1,11,1,0,1,-1,1,2,Shared.Messages.IEvent,Services.Orders.Handlers.ProductsReservedHandler' Services.Orders.Startup
Services.Orders.Events,ProductsReserveFailed,0,1,1,0,1,8,1,0,1,-1,1,2,Shared.Messages.IEvent,Services.Orders.Startup' Services.Orders.Handlers.ProductsReserveFailedHandler
Services.Orders.Handlers,CreateOrderHandler,4,2,0,0,2,55,2,0,1,0,10,0,Shared.MessageHandlers.ICommandHandler' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Services.Orders.Commands.CreateOrder' Services.Orders.Data.Order' Services.Orders.Data.OrderItem' Services.Orders.Data.OrderStatus' Services.Customers.Data.OrderDBContext' Services.Orders.Events.OrderCreated' Services.Orders.HttpServices.ICustomerHttpService,
Services.Orders.Handlers,ProductsReservedHandler,3,2,0,0,2,24,2,0,1,0,7,0,Shared.MessageHandlers.IEventHandler' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Services.Orders.Data.OrderStatus' Services.Customers.Data.OrderDBContext' Services.Orders.Events.OrderCompleted' Services.Orders.Events.ProductsReserved,
Services.Orders.Handlers,ProductsReserveFailedHandler,3,2,0,0,2,25,2,0,1,0,7,0,Shared.MessageHandlers.IEventHandler' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Services.Orders.Data.OrderStatus' Services.Customers.Data.OrderDBContext' Services.Orders.Events.OrderFailed' Services.Orders.Events.ProductsReserveFailed,
Services.Orders.HttpServices,CustomerHttpService,0,2,1,0,2,23,3,0,1,-1,2,1,Services.Orders.HttpServices.ICustomerHttpService' Services.Orders.Models.Basket,Services.Orders.Startup
Services.Orders.HttpServices,ICustomerHttpService,0,1,0,0,0,4,1,1,0,-1,1,3,Services.Orders.Models.Basket,Services.Orders.HttpServices.CustomerHttpService' Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Startup
Services.Orders.Models,Basket,0,0,4,0,0,7,0,0,0,-1,1,2,Services.Orders.Models.BasketItem,Services.Orders.HttpServices.ICustomerHttpService' Services.Orders.HttpServices.CustomerHttpService
Services.Orders.Models,BasketItem,0,0,6,0,0,9,0,0,0,-1,0,1,,Services.Orders.Models.Basket
Services.Orders,Program,0,2,0,0,2,12,2,0,0,-1,1,0,Services.Orders.Startup,
Services.Orders,Startup,0,3,1,0,3,45,4,0,0,-1,8,1,Shared.Models.HttpServiceOptions' Services.Orders.Commands.CreateOrder' Services.Orders.Data.SeedData' Services.Customers.Data.OrderDBContext' Services.Orders.Events.ProductsReserved' Services.Orders.Events.ProductsReserveFailed' Services.Orders.HttpServices.CustomerHttpService' Services.Orders.HttpServices.ICustomerHttpService,Services.Orders.Program
