Namespace,Type,Method,LOC,CC,PC
Services.Orders.Commands,CreateOrder,CreateOrder,3,1,1
Services.Orders.Controllers,HomeController,Get,3,1,0
Services.Orders.Data,SeedData,Initialize,4,1,1
Services.Orders.Data.Migrations,initial,Up,42,1,1
Services.Orders.Data.Migrations,initial,Down,7,1,1
Services.Orders.Data.Migrations,initial,BuildTargetModel,54,1,1
Services.Orders.Data.Migrations,base_entity,Up,13,1,1
Services.Orders.Data.Migrations,base_entity,Down,9,1,1
Services.Orders.Data.Migrations,base_entity,BuildTargetModel,58,1,1
Services.Orders.Data.Migrations,OrderDBContextModelSnapshot,BuildModel,58,1,1
Services.Customers.Data,OrderDBContext,OrderDBContext,2,1,1
Services.Customers.Data,OrderDBContext,OnModelCreating,4,1,1
Services.Orders.Events,OrderCompleted,OrderCompleted,3,1,1
Services.Orders.Events,OrderCreated,OrderCreated,4,1,2
Services.Orders.Events,OrderFailed,OrderFailed,3,1,1
Services.Orders.Events,ProductsReserved,ProductsReserved,4,1,2
Services.Orders.Events,ProductsReserveFailed,ProductsReserveFailed,3,1,1
Services.Orders.Handlers,CreateOrderHandler,CreateOrderHandler,6,1,4
Services.Orders.Handlers,CreateOrderHandler,HandleAsync,35,1,2
Services.Orders.Handlers,ProductsReservedHandler,ProductsReservedHandler,5,1,3
Services.Orders.Handlers,ProductsReservedHandler,HandleAsync,8,1,2
Services.Orders.Handlers,ProductsReserveFailedHandler,ProductsReserveFailedHandler,5,1,3
Services.Orders.Handlers,ProductsReserveFailedHandler,HandleAsync,9,1,2
Services.Orders.HttpServices,CustomerHttpService,CustomerHttpService,3,1,1
Services.Orders.HttpServices,CustomerHttpService,GetBasket,12,2,1
Services.Orders.HttpServices,ICustomerHttpService,GetBasket,0,1,1
Services.Orders,Program,Main,3,1,1
Services.Orders,Program,CreateWebHostBuilder,0,1,1
Services.Orders,Startup,Startup,3,1,1
Services.Orders,Startup,ConfigureServices,16,1,1
Services.Orders,Startup,Configure,14,2,2
