Project,Namespace,Ca types,Ce types
Services.Orders,Services.Orders.Commands,Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Startup,Shared.Messages.ICommand
Services.Orders,Services.Orders.Controllers,,
Services.Orders,Services.Orders.Data,Services.Customers.Data.OrderDBContext' Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Handlers.ProductsReservedHandler' Services.Orders.Handlers.ProductsReserveFailedHandler' Services.Orders.Startup,Shared.Models.BaseEntity' Services.Customers.Data.OrderDBContext
Services.Orders,Services.Orders.Data.Migrations,,Services.Customers.Data.OrderDBContext
Services.Orders,Services.Customers.Data,Services.Orders.Data.Migrations.OrderDBContextModelSnapshot' Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Startup' Services.Orders.Data.SeedData' Services.Orders.Handlers.ProductsReserveFailedHandler' Services.Orders.Handlers.ProductsReservedHandler,Services.Orders.Data.Order
Services.Orders,Services.Orders.Events,Services.Orders.Handlers.ProductsReservedHandler' Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Handlers.ProductsReserveFailedHandler' Services.Orders.Startup,Shared.Messages.IEvent' Shared.Messages.MessageNamespaceAttribute
Services.Orders,Services.Orders.Handlers,,Shared.MessageHandlers.ICommandHandler' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Services.Orders.Commands.CreateOrder' Services.Orders.Data.Order' Services.Orders.Data.OrderItem' Services.Orders.Data.OrderStatus' Services.Customers.Data.OrderDBContext' Services.Orders.Events.OrderCreated' Services.Orders.HttpServices.ICustomerHttpService' Shared.MessageHandlers.IEventHandler' Services.Orders.Events.OrderCompleted' Services.Orders.Events.ProductsReserved' Services.Orders.Events.OrderFailed' Services.Orders.Events.ProductsReserveFailed
Services.Orders,Services.Orders.HttpServices,Services.Orders.Startup' Services.Orders.Handlers.CreateOrderHandler,Services.Orders.Models.Basket
Services.Orders,Services.Orders.Models,Services.Orders.HttpServices.ICustomerHttpService' Services.Orders.HttpServices.CustomerHttpService,
Services.Orders,Services.Orders,,Shared.Models.HttpServiceOptions' Services.Orders.Commands.CreateOrder' Services.Orders.Data.SeedData' Services.Customers.Data.OrderDBContext' Services.Orders.Events.ProductsReserved' Services.Orders.Events.ProductsReserveFailed' Services.Orders.HttpServices.CustomerHttpService' Services.Orders.HttpServices.ICustomerHttpService
