Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Services.Products.Controllers,HomeController,0,1,0,0,1,10,1,0,0,-1,0,0,,
Services.Products.Controllers,ProductController,1,3,0,0,3,22,3,0,0,0,1,0,Services.Customers.Data.ProductDBContext,
Services.Products.Data,Product,0,0,3,0,0,6,0,0,1,-1,1,2,Shared.Models.BaseEntity,Services.Customers.Data.ProductDBContext' Services.Products.Data.SeedData
Services.Products.Data,SeedData,0,1,0,0,1,20,2,0,0,-1,2,1,Services.Products.Data.Product' Services.Customers.Data.ProductDBContext,Services.Products.Startup
Services.Products.Data.Migrations,initial,0,3,0,0,0,54,3,0,0,-1,0,0,,
Services.Products.Data.Migrations,base_entity,0,3,0,0,0,49,3,0,0,-1,0,0,,
Services.Products.Data.Migrations,ProductDBContextModelSnapshot,0,1,0,0,0,29,1,0,0,-1,1,0,Services.Customers.Data.ProductDBContext,
Services.Customers.Data,ProductDBContext,0,2,1,0,1,12,2,0,0,-1,1,5,Services.Products.Data.Product,Services.Products.Data.Migrations.ProductDBContextModelSnapshot' Services.Products.Controllers.ProductController' Services.Products.Handlers.OrderCreatedHandler' Services.Products.Data.SeedData' Services.Products.Startup
Services.Products.Events,OrderCreated,0,1,2,0,1,11,1,0,1,-1,1,2,Shared.Messages.IEvent,Services.Products.Handlers.OrderCreatedHandler' Services.Products.Startup
Services.Products.Events,ProductsReserved,0,1,2,0,1,11,1,0,1,-1,2,1,Shared.Messages.IEvent' Shared.Messages.MessageNamespaceAttribute,Services.Products.Handlers.OrderCreatedHandler
Services.Products.Events,ProductsReserveFailed,0,1,1,0,1,9,1,0,1,-1,2,1,Shared.Messages.IEvent' Shared.Messages.MessageNamespaceAttribute,Services.Products.Handlers.OrderCreatedHandler
Services.Products.Handlers,OrderCreatedHandler,3,2,0,0,2,55,3,0,1,0,7,0,Shared.MessageHandlers.IEventHandler' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Services.Customers.Data.ProductDBContext' Services.Products.Events.OrderCreated' Services.Products.Events.ProductsReserved' Services.Products.Events.ProductsReserveFailed,
Services.Products,Program,0,2,0,0,2,12,2,0,0,-1,1,0,Services.Products.Startup,
Services.Products,Startup,0,3,1,0,3,35,4,0,0,-1,3,1,Services.Products.Data.SeedData' Services.Customers.Data.ProductDBContext' Services.Products.Events.OrderCreated,Services.Products.Program
