Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Services.Products.Handlers,OrderCreatedHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Handlers\OrderCreatedHandler.cs,HandleAsync,The length of the statement  "                    _logger.LogInformation($"[Local Transaction] : Product '{productId}' not found. CorrelationId: {context.CorrelationId}");" is 121.
Long Statement,Services.Products.Handlers,OrderCreatedHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Handlers\OrderCreatedHandler.cs,HandleAsync,The length of the statement  "                    _logger.LogInformation($"[Local Transaction] : Not available {product.Quantity} {product.Name}. CorrelationId: {context.CorrelationId}");" is 137.
Long Statement,Services.Products.Handlers,OrderCreatedHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Handlers\OrderCreatedHandler.cs,HandleAsync,The length of the statement  "                _logger.LogInformation($"[Local Transaction] : Products could not be reserved. CorrelationId: {context.CorrelationId}");" is 120.
Magic Number,Services.Products.Data,SeedData,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Data\SeedData.cs,Initialize,The following statement contains a magic number: var products = new List<Product>()                 {                     new Product { Name = "Printer"' Price = 200' Quantity = 500 }'                     new Product() { Name = "Mouse"' Price = 20' Quantity = 500 }'                     new Product() { Name = "Keyboard"' Price = 50' Quantity = 500 }                 };
Magic Number,Services.Products.Data,SeedData,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Data\SeedData.cs,Initialize,The following statement contains a magic number: var products = new List<Product>()                 {                     new Product { Name = "Printer"' Price = 200' Quantity = 500 }'                     new Product() { Name = "Mouse"' Price = 20' Quantity = 500 }'                     new Product() { Name = "Keyboard"' Price = 50' Quantity = 500 }                 };
Magic Number,Services.Products.Data,SeedData,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Data\SeedData.cs,Initialize,The following statement contains a magic number: var products = new List<Product>()                 {                     new Product { Name = "Printer"' Price = 200' Quantity = 500 }'                     new Product() { Name = "Mouse"' Price = 20' Quantity = 500 }'                     new Product() { Name = "Keyboard"' Price = 50' Quantity = 500 }                 };
Magic Number,Services.Products.Data,SeedData,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Data\SeedData.cs,Initialize,The following statement contains a magic number: var products = new List<Product>()                 {                     new Product { Name = "Printer"' Price = 200' Quantity = 500 }'                     new Product() { Name = "Mouse"' Price = 20' Quantity = 500 }'                     new Product() { Name = "Keyboard"' Price = 50' Quantity = 500 }                 };
Magic Number,Services.Products.Data,SeedData,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Data\SeedData.cs,Initialize,The following statement contains a magic number: var products = new List<Product>()                 {                     new Product { Name = "Printer"' Price = 200' Quantity = 500 }'                     new Product() { Name = "Mouse"' Price = 20' Quantity = 500 }'                     new Product() { Name = "Keyboard"' Price = 50' Quantity = 500 }                 };
Magic Number,Services.Products.Data,SeedData,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Data\SeedData.cs,Initialize,The following statement contains a magic number: var products = new List<Product>()                 {                     new Product { Name = "Printer"' Price = 200' Quantity = 500 }'                     new Product() { Name = "Mouse"' Price = 20' Quantity = 500 }'                     new Product() { Name = "Keyboard"' Price = 50' Quantity = 500 }                 };
Magic Number,Services.Products.Data.Migrations,initial,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Data\Migrations\20190308212022_initial.cs,BuildTargetModel,The following statement contains a magic number: modelBuilder                 .HasAnnotation("Npgsql:ValueGenerationStrategy"' NpgsqlValueGenerationStrategy.SerialColumn)                 .HasAnnotation("ProductVersion"' "2.2.1-servicing-10028")                 .HasAnnotation("Relational:MaxIdentifierLength"' 63);
Magic Number,Services.Products.Data.Migrations,base_entity,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Data\Migrations\20190308222331_base_entity.cs,BuildTargetModel,The following statement contains a magic number: modelBuilder                 .HasAnnotation("Npgsql:ValueGenerationStrategy"' NpgsqlValueGenerationStrategy.SerialColumn)                 .HasAnnotation("ProductVersion"' "2.2.1-servicing-10028")                 .HasAnnotation("Relational:MaxIdentifierLength"' 63);
Magic Number,Services.Products.Data.Migrations,ProductDBContextModelSnapshot,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Products\src\Services.Products\Data\Migrations\ProductDBContextModelSnapshot.cs,BuildModel,The following statement contains a magic number: modelBuilder                 .HasAnnotation("Npgsql:ValueGenerationStrategy"' NpgsqlValueGenerationStrategy.SerialColumn)                 .HasAnnotation("ProductVersion"' "2.2.1-servicing-10028")                 .HasAnnotation("Relational:MaxIdentifierLength"' 63);
