Namespace,Type,Method,LOC,CC,PC
Services.Products.Controllers,HomeController,Get,3,1,0
Services.Products.Controllers,ProductController,ProductController,3,1,1
Services.Products.Controllers,ProductController,Get,3,1,1
Services.Products.Controllers,ProductController,Get,3,1,0
Services.Products.Data,SeedData,Initialize,16,2,1
Services.Products.Data.Migrations,initial,Up,15,1,1
Services.Products.Data.Migrations,initial,Down,4,1,1
Services.Products.Data.Migrations,initial,BuildTargetModel,24,1,1
Services.Products.Data.Migrations,base_entity,Up,7,1,1
Services.Products.Data.Migrations,base_entity,Down,5,1,1
Services.Products.Data.Migrations,base_entity,BuildTargetModel,26,1,1
Services.Products.Data.Migrations,ProductDBContextModelSnapshot,BuildModel,24,1,1
Services.Customers.Data,ProductDBContext,ProductDBContext,2,1,1
Services.Customers.Data,ProductDBContext,OnModelCreating,3,1,1
Services.Products.Events,OrderCreated,OrderCreated,4,1,2
Services.Products.Events,ProductsReserved,ProductsReserved,4,1,2
Services.Products.Events,ProductsReserveFailed,ProductsReserveFailed,3,1,1
Services.Products.Handlers,OrderCreatedHandler,OrderCreatedHandler,5,1,3
Services.Products.Handlers,OrderCreatedHandler,HandleAsync,39,2,2
Services.Products,Program,Main,3,1,1
Services.Products,Program,CreateWebHostBuilder,0,1,1
Services.Products,Startup,Startup,3,1,1
Services.Products,Startup,ConfigureServices,8,1,1
Services.Products,Startup,Configure,12,2,2
