Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Shared,Extensions,0,3,0,0,3,22,3,0,0,-1,0,0,,
Shared.Logging,Extensions,0,1,0,0,1,20,1,0,0,-1,0,0,,
Shared.MessageHandlers,ICommandHandler,0,1,0,0,0,4,1,3,0,-1,2,5,Shared.Messages.ICommand' Shared.RabbitMq.ICorrelationContext,Shared.RabbitMq.RabbitMqExtensions' Services.Orders.Handlers.CreateOrderHandler' Services.Customers.Handlers.CreateCustomerdHandler' Services.Customers.Handlers.AddProductToBasketHandler' Shared.RabbitMq.BusSubscriber
Shared.MessageHandlers,IEventHandler,0,1,0,0,0,4,1,6,0,-1,2,8,Shared.Messages.IEvent' Shared.RabbitMq.ICorrelationContext,Shared.RabbitMq.RabbitMqExtensions' Services.Notifications.Handlers.OrderCompletedHandler' Services.Orders.Handlers.ProductsReserveFailedHandler' Services.Customers.Handlers.OrderCompletedHandler' Services.Notifications.Handlers.OrderFailedHandler' Services.Products.Handlers.OrderCreatedHandler' Services.Orders.Handlers.ProductsReservedHandler' Shared.RabbitMq.BusSubscriber
Shared.Messages,ICommand,0,0,0,0,0,4,0,6,0,-1,0,11,,Services.Customers.Commands.AddProductToBasket' Api.Commands.Baskets.AddProductToBasket' Services.Customers.Commands.CreateCustomer' Api.Commands.Customers.CreateCustomer' Shared.MessageHandlers.ICommandHandler' Services.Orders.Commands.CreateOrder' Shared.RabbitMq.BusPublisher' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.IBusSubscriber' Api.Commands.Orders.CreateOrder' Shared.RabbitMq.BusSubscriber
Shared.Messages,IEvent,0,0,0,0,0,4,0,12,0,-1,0,17,,Shared.MessageHandlers.IEventHandler' Services.Notifications.Events.OrderCompleted' Services.Products.Events.OrderCreated' Shared.RabbitMq.BusPublisher' Services.Orders.Events.ProductsReserveFailed' Shared.RabbitMq.IBusPublisher' Services.Customers.Events.ProductAddedToBasket' Shared.RabbitMq.IBusSubscriber' Services.Notifications.Events.OrderFailed' Services.Customers.Events.OrderCompleted' Services.Orders.Events.ProductsReserved' Services.Orders.Events.OrderFailed' Services.Orders.Events.OrderCreated' Services.Products.Events.ProductsReserved' Services.Orders.Events.OrderCompleted' Services.Products.Events.ProductsReserveFailed' Shared.RabbitMq.BusSubscriber
Shared.Messages,MessageNamespaceAttribute,0,1,1,0,1,9,1,0,0,-1,0,11,,Shared.RabbitMq.RabbitMqExtensions' Shared.RabbitMq.BusPublisher' Services.Notifications.Events.OrderCompleted' Services.Products.Events.ProductsReserved' Services.Products.Events.ProductsReserveFailed' Services.Orders.Events.OrderCompleted' Services.Orders.Events.OrderFailed' Services.Orders.Events.OrderCreated' Api.Commands.Baskets.AddProductToBasket' Api.Commands.Orders.CreateOrder' Api.Commands.Customers.CreateCustomer
Shared.Models,BaseEntity,0,1,3,0,1,10,1,6,0,-1,0,6,,Services.Products.Data.Product' Services.Customers.Data.BasketItem' Services.Customers.Data.Customer' Services.Customers.Data.Basket' Services.Orders.Data.OrderItem' Services.Orders.Data.Order
Shared.Models,HttpServiceOptions,0,0,2,0,0,5,0,0,0,-1,0,3,,Api.Startup' Services.Customers.Startup' Services.Orders.Startup
Shared.RabbitMq,BusPublisher,3,4,0,0,3,41,4,0,1,0,6,1,Shared.Messages.ICommand' Shared.Messages.IEvent' Shared.Messages.MessageNamespaceAttribute' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Shared.RabbitMq.RabbitMqOptions,Shared.RabbitMq.RabbitMqExtensions
Shared.RabbitMq,BusSubscriber,6,5,0,0,3,85,5,0,1,0,7,1,Shared.MessageHandlers.ICommandHandler' Shared.MessageHandlers.IEventHandler' Shared.Messages.ICommand' Shared.Messages.IEvent' Shared.RabbitMq.CorrelationContext' Shared.RabbitMq.IBusSubscriber' Shared.RabbitMq.RabbitMqOptions,Shared.RabbitMq.RabbitMqExtensions
Shared.RabbitMq,CorrelationContext,0,3,2,0,2,21,3,0,1,-1,1,3,Shared.RabbitMq.ICorrelationContext,Api.Controllers.BaseController' Shared.RabbitMq.RabbitMqExtensions' Shared.RabbitMq.BusSubscriber
Shared.RabbitMq,IBusPublisher,0,2,0,0,0,8,2,1,0,-1,3,13,Shared.Messages.ICommand' Shared.Messages.IEvent' Shared.RabbitMq.ICorrelationContext,Api.Controllers.OrderController' Api.Controllers.BasketController' Shared.RabbitMq.RabbitMqExtensions' Api.Controllers.BaseController' Api.Controllers.CustomerController' Shared.RabbitMq.BusPublisher' Services.Customers.Handlers.OrderCompletedHandler' Services.Products.Handlers.OrderCreatedHandler' Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Handlers.ProductsReserveFailedHandler' Services.Customers.Handlers.AddProductToBasketHandler' Services.Customers.Handlers.CreateCustomerdHandler' Services.Orders.Handlers.ProductsReservedHandler
Shared.RabbitMq,IBusSubscriber,0,2,0,0,0,8,2,1,0,-1,2,2,Shared.Messages.ICommand' Shared.Messages.IEvent,Shared.RabbitMq.RabbitMqExtensions' Shared.RabbitMq.BusSubscriber
Shared.RabbitMq,ICorrelationContext,0,0,2,0,0,5,0,1,0,-1,0,15,,Shared.MessageHandlers.ICommandHandler' Services.Products.Handlers.OrderCreatedHandler' Shared.RabbitMq.IBusPublisher' Services.Customers.Handlers.OrderCompletedHandler' Api.Controllers.BaseController' Services.Orders.Handlers.ProductsReserveFailedHandler' Services.Customers.Handlers.AddProductToBasketHandler' Services.Notifications.Handlers.OrderFailedHandler' Shared.MessageHandlers.IEventHandler' Services.Customers.Handlers.CreateCustomerdHandler' Shared.RabbitMq.CorrelationContext' Services.Notifications.Handlers.OrderCompletedHandler' Services.Orders.Handlers.CreateOrderHandler' Services.Orders.Handlers.ProductsReservedHandler' Shared.RabbitMq.BusPublisher
Shared.RabbitMq,RabbitMqExtensions,0,3,0,0,2,72,3,0,0,-1,10,0,Shared.MessageHandlers.ICommandHandler' Shared.MessageHandlers.IEventHandler' Shared.Messages.MessageNamespaceAttribute' Shared.RabbitMq.BusPublisher' Shared.RabbitMq.BusSubscriber' Shared.RabbitMq.CorrelationContext' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.IBusSubscriber' Shared.RabbitMq.CustomNamingConventions' Shared.RabbitMq.RabbitMqOptions,
Shared.RabbitMq,CustomNamingConventions,0,1,0,0,1,11,1,0,0,-1,0,1,,Shared.RabbitMq.RabbitMqExtensions
Shared.RabbitMq,RabbitMqOptions,0,0,3,0,0,6,0,0,0,-1,0,3,,Shared.RabbitMq.BusPublisher' Shared.RabbitMq.BusSubscriber' Shared.RabbitMq.RabbitMqExtensions
