Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Shared,Extensions,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\Extensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Shared,Extensions,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\Extensions.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: Shared.Extensions' Shared.Logging.Extensions
Unutilized Abstraction,Shared.Logging,Extensions,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\Logging\LoggingExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Shared.Messages,ICommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\Messages\ICommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,Shared.Messages,IEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\Messages\IEvent.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,Shared.Models,HttpServiceOptions,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\Models\HttpServiceOptions.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProductHttpServiceUrl' CustomerHttpServiceUrl
Unnecessary Abstraction,Shared.RabbitMq,ICorrelationContext,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\RabbitMq\ICorrelationContext.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: CorrelationId' CustomerId
Unutilized Abstraction,Shared.RabbitMq,RabbitMqExtensions,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\RabbitMq\RabbitMqExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Shared.RabbitMq,RabbitMqOptions,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\RabbitMq\RabbitMqOptions.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Namespace' Retries' RetryInterval
Wide Hierarchy,Shared.Messages,IEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Shared\src\Shared\Messages\IEvent.cs,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: Services.Customers.Events.OrderCompleted' Services.Customers.Events.ProductAddedToBasket' Services.Notifications.Events.OrderCompleted' Services.Notifications.Events.OrderFailed' Services.Orders.Events.OrderCompleted' Services.Orders.Events.OrderCreated' Services.Orders.Events.OrderFailed' Services.Orders.Events.ProductsReserved' Services.Orders.Events.ProductsReserveFailed' Services.Products.Events.OrderCreated' Services.Products.Events.ProductsReserved' Services.Products.Events.ProductsReserveFailed
