Namespace,Type,Method,LOC,CC,PC
Shared,Extensions,Underscore,0,1,1
Shared,Extensions,GetOptions,5,1,2
Shared,Extensions,BuildContainer,8,1,1
Shared.Logging,Extensions,UseLogging,16,1,2
Shared.MessageHandlers,ICommandHandler,HandleAsync,0,1,2
Shared.MessageHandlers,IEventHandler,HandleAsync,0,1,2
Shared.Messages,MessageNamespaceAttribute,MessageNamespaceAttribute,3,1,1
Shared.Models,BaseEntity,BaseEntity,3,1,0
Shared.RabbitMq,BusPublisher,BusPublisher,5,1,3
Shared.RabbitMq,BusPublisher,SendAsync,7,1,2
Shared.RabbitMq,BusPublisher,PublishAsync,7,1,2
Shared.RabbitMq,BusPublisher,GetRoutingKey,6,1,1
Shared.RabbitMq,BusSubscriber,BusSubscriber,10,1,1
Shared.RabbitMq,BusSubscriber,SubscribeCommand,13,1,1
Shared.RabbitMq,BusSubscriber,SubscribeEvent,13,1,1
Shared.RabbitMq,BusSubscriber,TryHandleAsync,20,1,3
Shared.RabbitMq,BusSubscriber,GetQueueName,7,1,1
Shared.RabbitMq,CorrelationContext,CorrelationContext,2,1,0
Shared.RabbitMq,CorrelationContext,CorrelationContext,4,1,2
Shared.RabbitMq,CorrelationContext,Create,3,1,2
Shared.RabbitMq,IBusPublisher,SendAsync,0,1,2
Shared.RabbitMq,IBusPublisher,PublishAsync,0,1,2
Shared.RabbitMq,IBusSubscriber,SubscribeCommand,0,1,1
Shared.RabbitMq,IBusSubscriber,SubscribeEvent,0,1,1
Shared.RabbitMq,RabbitMqExtensions,UseRabbitMq,0,1,1
Shared.RabbitMq,RabbitMqExtensions,AddRabbitMq,26,1,1
Shared.RabbitMq,RabbitMqExtensions,ConfigureBus,25,1,1
Shared.RabbitMq,CustomNamingConventions,CustomNamingConventions,7,1,1
