Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
API_Gateway.Contexts,ApiGatewayContext,0,1,1,0,1,5,1,0,0,-1,1,0,API_Gateway.Entities.Endpoint,
API_Gateway.Controllers,CustomersController,1,6,0,0,6,106,16,0,0,0,7,0,API_Gateway.HttpClients.CustomersHttpClient' CustomerDtoTypes.Helpers.CustomersPagedResult' CustomersDtoTypes.Helpers.CustomersPagingParameters' CustomersDtoTypes.Models.CustomerDto' CustomersDtoTypes.Models.CustomerToCreateDto' CustomersDtoTypes.Models.CustomerToUpdateDto' WebApiHelpers.ObjectResults.UnprocessableEntityObjectResult,
API_Gateway.Controllers,OrdersController,1,6,0,0,6,106,16,0,0,0,7,0,API_Gateway.HttpClients.OrdersHttpClient' OrdersDtoTypes.Helpers.OrdersPagedResult' OrdersDtoTypes.Helpers.OrdersPagingParameters' OrdersDtoTypes.Models.OrderDto' OrdersDtoTypes.Models.OrderToCreateDto' OrdersDtoTypes.Models.OrderToUpdateDto' WebApiHelpers.ObjectResults.UnprocessableEntityObjectResult,
API_Gateway.Controllers,ShipmentsController,1,6,0,0,6,107,14,0,0,0,33,7,0,API_Gateway.HttpClients.ShipmentsHttpClient' WebApiHelpers.ObjectResults.UnprocessableEntityObjectResult' ShipmentsDtoTypes.Helpers.ShipmentsPagedResult' ShipmentsDtoTypes.Helpers.ShipmentsPagingParameters' ShipmentsDtoTypes.Models.ShipmentDto' ShipmentsDtoTypes.Models.ShipmentToCreateDto' ShipmentsDtoTypes.Models.ShipmentToUpdateDto,
API_Gateway.Entities,Endpoint,0,0,5,0,0,8,0,0,0,-1,0,1,,API_Gateway.Contexts.ApiGatewayContext
API_Gateway.HttpClients,BaseMicroservicesHttpClient,0,1,0,0,1,9,1,3,0,-1,0,3,,API_Gateway.HttpClients.CustomersHttpClient' API_Gateway.HttpClients.ShipmentsHttpClient' API_Gateway.HttpClients.OrdersHttpClient
API_Gateway.HttpClients,CustomersHttpClient,0,1,0,0,1,7,1,0,1,-1,1,2,API_Gateway.HttpClients.BaseMicroservicesHttpClient,API_Gateway.Controllers.CustomersController' API_Gateway.Startup
API_Gateway.HttpClients,OrdersHttpClient,0,1,0,0,1,7,1,0,1,-1,1,2,API_Gateway.HttpClients.BaseMicroservicesHttpClient,API_Gateway.Controllers.OrdersController' API_Gateway.Startup
API_Gateway.HttpClients,ShipmentsHttpClient,0,1,0,0,1,7,1,0,1,-1,1,2,API_Gateway.HttpClients.BaseMicroservicesHttpClient,API_Gateway.Controllers.ShipmentsController' API_Gateway.Startup
API_Gateway,Program,0,2,0,0,2,13,2,0,0,-1,1,0,API_Gateway.Startup,
API_Gateway,Startup,0,3,1,0,3,38,3,0,0,-1,5,1,API_Gateway.HttpClients.CustomersHttpClient' API_Gateway.HttpClients.OrdersHttpClient' API_Gateway.HttpClients.ShipmentsHttpClient' WebApiHelpers.Formatters.ProtobufInputFormatter' WebApiHelpers.Formatters.ProtobufOutputFormatter,API_Gateway.Program
