Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,API_Gateway.Contexts,ApiGatewayContext,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Contexts\APIGatewayContext.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,API_Gateway.Controllers,CustomersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\CustomersController.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Feature Envy,API_Gateway.Controllers,CustomersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\CustomersController.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: GetCustomers which is more interested in members of the type: CustomersHttpClient
Feature Envy,API_Gateway.Controllers,CustomersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\CustomersController.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: GetCustomer which is more interested in members of the type: CustomersHttpClient
Feature Envy,API_Gateway.Controllers,CustomersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\CustomersController.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: CreateCustomer which is more interested in members of the type: CustomersHttpClient
Feature Envy,API_Gateway.Controllers,CustomersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\CustomersController.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: UpdateCustomer which is more interested in members of the type: CustomersHttpClient
Feature Envy,API_Gateway.Controllers,CustomersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\CustomersController.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: Delete which is more interested in members of the type: CustomersHttpClient
Unutilized Abstraction,API_Gateway.Controllers,OrdersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\OrdersController.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Feature Envy,API_Gateway.Controllers,OrdersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\OrdersController.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: GetOrders which is more interested in members of the type: OrdersHttpClient
Feature Envy,API_Gateway.Controllers,OrdersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\OrdersController.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: GetOrder which is more interested in members of the type: OrdersHttpClient
