Namespace,Type,Method,LOC,CC,PC
API_Gateway.Contexts,ApiGatewayContext,ApiGatewayContext,1,1,1
API_Gateway.Controllers,CustomersController,CustomersController,3,1,1
API_Gateway.Controllers,CustomersController,GetCustomers,15,3,1
API_Gateway.Controllers,CustomersController,GetCustomer,13,3,1
API_Gateway.Controllers,CustomersController,CreateCustomer,24,5,1
API_Gateway.Controllers,CustomersController,UpdateCustomer,20,3,2
API_Gateway.Controllers,CustomersController,Delete,7,1,1
API_Gateway.Controllers,OrdersController,OrdersController,3,1,1
API_Gateway.Controllers,OrdersController,GetOrders,15,3,1
API_Gateway.Controllers,OrdersController,GetOrder,13,3,1
API_Gateway.Controllers,OrdersController,CreateOrder,24,5,1
API_Gateway.Controllers,OrdersController,UpdateOrder,20,3,2
API_Gateway.Controllers,OrdersController,Delete,7,1,1
API_Gateway.Controllers,ShipmentsController,ShipmentsController,3,1,1
API_Gateway.Controllers,ShipmentsController,GetShipments,15,3,1
API_Gateway.Controllers,ShipmentsController,GetShipment,13,3,1
API_Gateway.Controllers,ShipmentsController,CreateShipment,24,5,1
API_Gateway.Controllers,ShipmentsController,UpdateShipment,21,1,2
API_Gateway.Controllers,ShipmentsController,Delete,7,1,1
API_Gateway.HttpClients,BaseMicroservicesHttpClient,BaseMicroservicesHttpClient,5,1,0
API_Gateway.HttpClients,CustomersHttpClient,CustomersHttpClient,3,1,0
API_Gateway.HttpClients,OrdersHttpClient,OrdersHttpClient,3,1,0
API_Gateway.HttpClients,ShipmentsHttpClient,ShipmentsHttpClient,3,1,0
API_Gateway,Program,Main,3,1,1
API_Gateway,Program,BuildWebHost,0,1,1
API_Gateway,Startup,Startup,3,1,1
API_Gateway,Startup,ConfigureServices,15,1,1
API_Gateway,Startup,Configure,8,1,3
