Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,CustomerDtoTypes.Helpers,CustomersPagedResult,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Helpers\CustomersPagedResult.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TotalResultCount' data
Unnecessary Abstraction,CustomersDtoTypes.Helpers,CustomersPagingParameters,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Helpers\CustomersPagingParameters.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name' Address' Business
Unnecessary Abstraction,CustomersDtoTypes.Models,CustomerBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerBaseDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name' Address' Business
Unnecessary Abstraction,CustomersDtoTypes.Models,CustomerDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id
Unnecessary Abstraction,CustomersDtoTypes.Models,CustomerToCreateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerToCreateDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,CustomersDtoTypes.Models,CustomerToUpdateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerToUpdateDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Cyclically-dependent Modularization,CustomersDtoTypes.Models,CustomerBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerBaseDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CustomersDtoTypes.Models.CustomerBaseDto' CustomersDtoTypes.Models.CustomerDto
Cyclically-dependent Modularization,CustomersDtoTypes.Models,CustomerToCreateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerToCreateDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CustomersDtoTypes.Models.CustomerToCreateDto' CustomersDtoTypes.Models.CustomerBaseDto
Cyclically-dependent Modularization,CustomersDtoTypes.Models,CustomerToUpdateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerToUpdateDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CustomersDtoTypes.Models.CustomerToUpdateDto' CustomersDtoTypes.Models.CustomerBaseDto
Cyclically-dependent Modularization,CustomersDtoTypes.Models,CustomerDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CustomersDtoTypes.Models.CustomerDto' CustomersDtoTypes.Models.CustomerToCreateDto' CustomersDtoTypes.Models.CustomerBaseDto
Cyclically-dependent Modularization,CustomersDtoTypes.Models,CustomerToUpdateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerToUpdateDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CustomersDtoTypes.Models.CustomerToUpdateDto' CustomersDtoTypes.Models.CustomerDto' CustomersDtoTypes.Models.CustomerBaseDto
Cyclic Hierarchy,CustomersDtoTypes.Models,CustomerBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerBaseDto.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: CustomerDto
Cyclic Hierarchy,CustomersDtoTypes.Models,CustomerBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerBaseDto.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: CustomerToCreateDto
Cyclic Hierarchy,CustomersDtoTypes.Models,CustomerBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\CustomerDtoTypes\Models\CustomerBaseDto.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: CustomerToUpdateDto
