Namespace,Type,Method,LOC,CC,PC
Customers.Contexts,CustomersDbContext,CustomersDbContext,1,1,1
Customers.Contexts,CustomersDbSeeder,SeedInMemoryDatabase,10,1,1
Customers.Controllers,CustomersController,CustomersController,3,1,1
Customers.Controllers,CustomersController,GetCustomers,17,1,1
Customers.Controllers,CustomersController,GetCustomer,12,2,1
Customers.Controllers,CustomersController,CreateCustomer,24,4,1
Customers.Controllers,CustomersController,UpdateCustomer,22,4,2
Customers.Controllers,CustomersController,DeleteCustomer,11,3,1
Customers,Program,Main,3,1,1
Customers,Program,BuildWebHost,0,1,1
Customers,Startup,Startup,3,1,1
Customers,Startup,ConfigureServices,12,1,1
Customers,Startup,Configure,26,1,3
Customers.Repositories,CustomerRepository,CustomerRepository,3,1,1
Customers.Repositories,CustomerRepository,AddCustomer,3,1,1
Customers.Repositories,CustomerRepository,CustomerExists,3,1,1
Customers.Repositories,CustomerRepository,DeleteCustomer,3,1,1
Customers.Repositories,CustomerRepository,GetCustomer,3,1,1
Customers.Repositories,CustomerRepository,GetCustomers,8,1,1
Customers.Repositories,CustomerRepository,GetResultCount,3,1,0
Customers.Repositories,CustomerRepository,GetCustomers,3,1,1
Customers.Repositories,CustomerRepository,Save,3,1,0
Customers.Repositories,CustomerRepository,UpdateCustomer,4,1,1
Customers.Repositories,ICustomerRepository,GetCustomers,0,1,1
Customers.Repositories,ICustomerRepository,GetCustomer,0,1,1
Customers.Repositories,ICustomerRepository,GetCustomers,0,1,1
Customers.Repositories,ICustomerRepository,GetResultCount,0,1,0
Customers.Repositories,ICustomerRepository,AddCustomer,0,1,1
Customers.Repositories,ICustomerRepository,DeleteCustomer,0,1,1
Customers.Repositories,ICustomerRepository,UpdateCustomer,0,1,1
Customers.Repositories,ICustomerRepository,CustomerExists,0,1,1
Customers.Repositories,ICustomerRepository,Save,0,1,0
