Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
EnterprisePlanner.Messaging.Models.Abstractions,IEventBus,0,3,0,0,0,12,3,1,0,-1,2,3,EnterprisePlanner.Messaging.Models.Abstractions.IIntegrationEventHandler' EnterprisePlanner.Messaging.Models.IntegrationEvent,Orders.Controllers.OrdersController' Orders.Startup' EnterprisePlanner.Messaging.RabbitMQ.RabbitMQEventBus
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,0,9,1,0,0,21,9,1,0,-1,3,3,EnterprisePlanner.Messaging.Models.Abstractions.IIntegrationEventHandler' EnterprisePlanner.Messaging.Models.IntegrationEvent' EnterprisePlanner.Messaging.Models.SubscriptionInfo,EnterprisePlanner.Messaging.Models.InMemoryEventBusSubscriptionsManager' EnterprisePlanner.Messaging.RabbitMQ.RabbitMQEventBus' Orders.Startup
EnterprisePlanner.Messaging.Models.Abstractions,IEventHandler,0,1,0,0,0,4,1,0,0,-1,0,0,,
EnterprisePlanner.Messaging.Models.Abstractions,IIntegrationEventHandler,0,1,0,0,0,7,1,0,0,-1,1,4,EnterprisePlanner.Messaging.Models.IntegrationEvent,EnterprisePlanner.Messaging.Models.Abstractions.IEventBus' EnterprisePlanner.Messaging.Models.Abstractions.IEventBusSubscriptionsManager' EnterprisePlanner.Messaging.Models.InMemoryEventBusSubscriptionsManager' EnterprisePlanner.Messaging.RabbitMQ.RabbitMQEventBus
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,2,15,1,0,10,135,22,0,1,0,4,2,EnterprisePlanner.Messaging.Models.Abstractions.IEventBusSubscriptionsManager' EnterprisePlanner.Messaging.Models.Abstractions.IIntegrationEventHandler' EnterprisePlanner.Messaging.Models.IntegrationEvent' EnterprisePlanner.Messaging.Models.SubscriptionInfo,Orders.Startup' EnterprisePlanner.Messaging.RabbitMQ.RabbitMQEventBus
EnterprisePlanner.Messaging.Models,IntegrationEvent,0,1,2,0,1,11,1,1,0,-1,0,6,,EnterprisePlanner.Messaging.Models.Abstractions.IIntegrationEventHandler' EnterprisePlanner.Messaging.Models.Abstractions.IEventBusSubscriptionsManager' EnterprisePlanner.Messaging.Models.Abstractions.IEventBus' Orders.IntegrationEvents.OrderCreatedIntegrationEvent' EnterprisePlanner.Messaging.RabbitMQ.RabbitMQEventBus' EnterprisePlanner.Messaging.Models.InMemoryEventBusSubscriptionsManager
EnterprisePlanner.Messaging.Models,SubscriptionInfo,0,2,1,0,1,13,2,0,0,-1,0,2,,EnterprisePlanner.Messaging.Models.Abstractions.IEventBusSubscriptionsManager' EnterprisePlanner.Messaging.Models.InMemoryEventBusSubscriptionsManager
EnterprisePlanner.Messaging.RabbitMQ.Abstractions,IRabbitMQConnection,0,2,1,0,0,6,2,1,0,-1,0,3,,EnterprisePlanner.Messaging.RabbitMQ.RabbitMQConnection' EnterprisePlanner.Messaging.RabbitMQ.RabbitMQEventBus' Orders.Startup
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQConnection,5,7,2,0,4,113,13,0,1,0,1,1,EnterprisePlanner.Messaging.RabbitMQ.Abstractions.IRabbitMQConnection,Orders.Startup
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,9,9,0,0,5,188,18,0,1,0,6,1,EnterprisePlanner.Messaging.Models.Abstractions.IEventBus' EnterprisePlanner.Messaging.Models.Abstractions.IEventBusSubscriptionsManager' EnterprisePlanner.Messaging.Models.Abstractions.IIntegrationEventHandler' EnterprisePlanner.Messaging.Models.InMemoryEventBusSubscriptionsManager' EnterprisePlanner.Messaging.Models.IntegrationEvent' EnterprisePlanner.Messaging.RabbitMQ.Abstractions.IRabbitMQConnection,Orders.Startup
