Namespace,Type,Method,LOC,CC,PC
EnterprisePlanner.Messaging.Models.Abstractions,IEventBus,Publish,0,1,1
EnterprisePlanner.Messaging.Models.Abstractions,IEventBus,Subscribe,0,1,0
EnterprisePlanner.Messaging.Models.Abstractions,IEventBus,Unsubscribe,0,1,0
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,AddSubscription,0,1,0
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,RemoveSubscription,0,1,0
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,HasSubscriptionsForEvent,0,1,0
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,HasSubscriptionsForEvent,0,1,1
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,GetEventTypeByName,0,1,1
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,Clear,0,1,0
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,GetHandlersForEvent,0,1,0
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,GetHandlersForEvent,0,1,1
EnterprisePlanner.Messaging.Models.Abstractions,IEventBusSubscriptionsManager,GetEventKey,0,1,0
EnterprisePlanner.Messaging.Models.Abstractions,IEventHandler,Handle,0,1,0
EnterprisePlanner.Messaging.Models.Abstractions,IIntegrationEventHandler,Handle,0,1,1
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,InMemoryEventBusSubscriptionsManager,4,1,0
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,Clear,0,1,0
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,AddSubscription,5,1,0
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,DoAddSubscription,16,3,2
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,RemoveSubscription,5,1,0
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,DoRemoveHandler,17,4,2
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,GetHandlersForEvent,4,1,0
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,GetHandlersForEvent,0,1,1
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,RaiseOnEventRemoved,7,2,1
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,FindSubscriptionToRemove,4,1,0
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,DoFindSubscriptionToRemove,9,2,2
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,HasSubscriptionsForEvent,4,1,0
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,HasSubscriptionsForEvent,0,1,1
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,GetEventTypeByName,0,1,1
EnterprisePlanner.Messaging.Models,InMemoryEventBusSubscriptionsManager,GetEventKey,3,1,0
EnterprisePlanner.Messaging.Models,IntegrationEvent,IntegrationEvent,4,1,0
EnterprisePlanner.Messaging.Models,SubscriptionInfo,SubscriptionInfo,3,1,1
EnterprisePlanner.Messaging.Models,SubscriptionInfo,Typed,3,1,1
EnterprisePlanner.Messaging.RabbitMQ.Abstractions,IRabbitMQConnection,TryConnect,0,1,0
EnterprisePlanner.Messaging.RabbitMQ.Abstractions,IRabbitMQConnection,CreateModel,0,1,0
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQConnection,RabbitMQConnection,5,1,3
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQConnection,TryConnect,33,2,0
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQConnection,CreateModel,8,2,0
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQConnection,Dispose,14,2,0
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQConnection,OnConnectionBlocked,7,2,2
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQConnection,OnCallbackException,7,2,2
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQConnection,OnConnectionShutdown,7,2,2
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,RabbitMQEventBus,9,1,6
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,SubsManager_OnEventRemoved,19,3,2
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,Publish,36,2,1
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,Subscribe,5,1,0
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,DoInternalSubscription,15,3,1
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,Unsubscribe,3,1,0
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,Dispose,7,2,0
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,CreateConsumerChannel,38,2,0
EnterprisePlanner.Messaging.RabbitMQ,RabbitMQEventBus,ProcessEvent,18,3,2
