Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,OrdersDtoTypes.Helpers,OrdersPagedResult,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Helpers\OrdersPagedResult.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TotalResultCount' data
Unnecessary Abstraction,OrdersDtoTypes.Helpers,OrdersPagingParameters,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Helpers\OrdersPagingParameters.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' DatePlaced' CustomerId
Unnecessary Abstraction,OrdersDtoTypes.Models,OrderBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderBaseDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: DatePlaced' CustomerId
Unnecessary Abstraction,OrdersDtoTypes.Models,OrderDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id
Unnecessary Abstraction,OrdersDtoTypes.Models,OrderToCreateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderToCreateDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,OrdersDtoTypes.Models,OrderToUpdateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderToUpdateDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Cyclically-dependent Modularization,OrdersDtoTypes.Models,OrderBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderBaseDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OrdersDtoTypes.Models.OrderBaseDto' OrdersDtoTypes.Models.OrderDto
Cyclically-dependent Modularization,OrdersDtoTypes.Models,OrderToCreateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderToCreateDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OrdersDtoTypes.Models.OrderToCreateDto' OrdersDtoTypes.Models.OrderBaseDto
Cyclically-dependent Modularization,OrdersDtoTypes.Models,OrderToUpdateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderToUpdateDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OrdersDtoTypes.Models.OrderToUpdateDto' OrdersDtoTypes.Models.OrderBaseDto
Cyclically-dependent Modularization,OrdersDtoTypes.Models,OrderDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OrdersDtoTypes.Models.OrderDto' OrdersDtoTypes.Models.OrderToCreateDto' OrdersDtoTypes.Models.OrderBaseDto
Cyclically-dependent Modularization,OrdersDtoTypes.Models,OrderToUpdateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderToUpdateDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OrdersDtoTypes.Models.OrderToUpdateDto' OrdersDtoTypes.Models.OrderDto' OrdersDtoTypes.Models.OrderBaseDto
Cyclic Hierarchy,OrdersDtoTypes.Models,OrderBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderBaseDto.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: OrderDto
Cyclic Hierarchy,OrdersDtoTypes.Models,OrderBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderBaseDto.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: OrderToCreateDto
Cyclic Hierarchy,OrdersDtoTypes.Models,OrderBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\OrdersDtoTypes\Models\OrderBaseDto.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: OrderToUpdateDto
