Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Orders.Contexts,OrdersDbContext,0,1,1,0,1,5,1,0,0,-1,1,4,Orders.Entities.Order,Orders.Contexts.OrdersDbContextSeeder' Orders.Migrations.OrdersDbContextModelSnapshot' Orders.Repositories.OrderRepository' Orders.Startup
Orders.Contexts,OrdersDbContextSeeder,0,1,0,0,1,17,1,0,0,-1,2,1,Orders.Contexts.OrdersDbContext' Orders.Entities.Order,Orders.Startup
Orders.Controllers,OrdersController,2,6,0,0,6,115,15,0,0,0,10,0,Orders.Entities.Order' Orders.IntegrationEvents.OrderCreatedIntegrationEvent' Orders.Repositories.IOrderRepository' OrdersDtoTypes.Helpers.OrdersPagedResult' OrdersDtoTypes.Helpers.OrdersPagingParameters' OrdersDtoTypes.Models.OrderDto' OrdersDtoTypes.Models.OrderToCreateDto' OrdersDtoTypes.Models.OrderToUpdateDto' WebApiHelpers.ObjectResults.UnprocessableEntityObjectResult' EnterprisePlanner.Messaging.Models.Abstractions.IEventBus,
Orders.Entities,Order,0,0,3,0,0,6,0,0,0,-1,0,7,,Orders.Contexts.OrdersDbContext' Orders.IntegrationEvents.OrderCreatedIntegrationEvent' Orders.Controllers.OrdersController' Orders.Startup' Orders.Repositories.IOrderRepository' Orders.Repositories.OrderRepository' Orders.Contexts.OrdersDbContextSeeder
Orders.IntegrationEvents,OrderCreatedIntegrationEvent,0,1,1,0,1,6,1,0,1,-1,2,1,Orders.Entities.Order' EnterprisePlanner.Messaging.Models.IntegrationEvent,Orders.Controllers.OrdersController
Orders.Migrations,OrdersInit,0,3,0,0,0,49,3,0,0,-1,0,0,,
Orders.Migrations,OrdersDbContextModelSnapshot,0,1,0,0,0,24,1,0,0,-1,1,0,Orders.Contexts.OrdersDbContext,
Orders,Program,0,2,0,0,2,13,2,0,0,-1,1,0,Orders.Startup,
Orders,Startup,0,5,1,0,3,97,5,0,0,-1,16,1,Orders.Contexts.OrdersDbContext' Orders.Contexts.OrdersDbContextSeeder' Orders.Entities.Order' Orders.Repositories.IOrderRepository' Orders.Repositories.OrderRepository' OrdersDtoTypes.Models.OrderDto' OrdersDtoTypes.Models.OrderToCreateDto' OrdersDtoTypes.Models.OrderToUpdateDto' WebApiHelpers.Formatters.ProtobufInputFormatter' WebApiHelpers.Formatters.ProtobufOutputFormatter' EnterprisePlanner.Messaging.Models.Abstractions.IEventBus' EnterprisePlanner.Messaging.Models.Abstractions.IEventBusSubscriptionsManager' EnterprisePlanner.Messaging.Models.InMemoryEventBusSubscriptionsManager' EnterprisePlanner.Messaging.RabbitMQ.Abstractions.IRabbitMQConnection' EnterprisePlanner.Messaging.RabbitMQ.RabbitMQConnection' EnterprisePlanner.Messaging.RabbitMQ.RabbitMQEventBus,Orders.Program
Orders.Repositories,IOrderRepository,0,9,0,0,0,12,9,1,0,-1,2,3,Orders.Entities.Order' OrdersDtoTypes.Helpers.OrdersPagingParameters,Orders.Repositories.OrderRepository' Orders.Controllers.OrdersController' Orders.Startup
Orders.Repositories,OrderRepository,1,10,0,0,10,60,10,0,1,0,4,1,Orders.Contexts.OrdersDbContext' Orders.Entities.Order' Orders.Repositories.IOrderRepository' OrdersDtoTypes.Helpers.OrdersPagingParameters,Orders.Startup
