Namespace,Type,Method,LOC,CC,PC
Orders.Contexts,OrdersDbContext,OrdersDbContext,1,1,1
Orders.Contexts,OrdersDbContextSeeder,SeedInMemoryDatabase,13,1,1
Orders.Controllers,OrdersController,OrdersController,4,1,2
Orders.Controllers,OrdersController,GetOrders,16,1,1
Orders.Controllers,OrdersController,GetOrder,12,2,1
Orders.Controllers,OrdersController,CreateOrder,28,4,1
Orders.Controllers,OrdersController,UpdateOrder,22,4,2
Orders.Controllers,OrdersController,DeleteOrder,11,3,1
Orders.IntegrationEvents,OrderCreatedIntegrationEvent,OrderCreatedIntegrationEvent,0,1,1
Orders.Migrations,OrdersInit,Up,15,1,1
Orders.Migrations,OrdersInit,Down,4,1,1
Orders.Migrations,OrdersInit,BuildTargetModel,19,1,1
Orders.Migrations,OrdersDbContextModelSnapshot,BuildModel,19,1,1
Orders,Program,Main,3,1,1
Orders,Program,BuildWebHost,0,1,1
Orders,Startup,Startup,3,1,1
Orders,Startup,ConfigureServices,32,1,1
Orders,Startup,Configure,27,1,3
Orders,Startup,RegisterEventBus,16,1,1
Orders,Startup,ConfigureEventBus,3,1,1
Orders.Repositories,IOrderRepository,GetOrders,0,1,1
Orders.Repositories,IOrderRepository,GetOrder,0,1,1
Orders.Repositories,IOrderRepository,GetOrders,0,1,1
Orders.Repositories,IOrderRepository,GetOrdersCount,0,1,0
Orders.Repositories,IOrderRepository,AddOrder,0,1,1
Orders.Repositories,IOrderRepository,DeleteOrder,0,1,1
Orders.Repositories,IOrderRepository,UpdateOrder,0,1,1
Orders.Repositories,IOrderRepository,OrderExists,0,1,1
Orders.Repositories,IOrderRepository,Save,0,1,0
Orders.Repositories,OrderRepository,OrderRepository,3,1,1
Orders.Repositories,OrderRepository,AddOrder,3,1,1
Orders.Repositories,OrderRepository,DeleteOrder,3,1,1
Orders.Repositories,OrderRepository,GetOrder,3,1,1
Orders.Repositories,OrderRepository,GetOrders,8,1,1
Orders.Repositories,OrderRepository,GetOrders,3,1,1
Orders.Repositories,OrderRepository,GetOrdersCount,3,1,0
Orders.Repositories,OrderRepository,OrderExists,3,1,1
Orders.Repositories,OrderRepository,Save,3,1,0
Orders.Repositories,OrderRepository,UpdateOrder,4,1,1
