Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,ShipmentsDtoTypes.Helpers,ShipmentsPagedResult,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Helpers\ShipmentsPagedResult.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TotalResultCount' data
Unnecessary Abstraction,ShipmentsDtoTypes.Helpers,ShipmentsPagingParameters,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Helpers\ShipmentsPagingParameters.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' CustomerId' OrderId' Status
Unnecessary Abstraction,ShipmentsDtoTypes.Models,ShipmentBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Models\ShipmentBaseDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: OrderId' CustomerId' Status
Unnecessary Abstraction,ShipmentsDtoTypes.Models,ShipmentDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Models\ShipmentDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id
Unnecessary Abstraction,ShipmentsDtoTypes.Models,ShipmentToCreateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Models\ShipmentToCreateDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,ShipmentsDtoTypes.Models,ShipmentToUpdateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Models\ShipmentToUpdateDto.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Cyclically-dependent Modularization,ShipmentsDtoTypes.Models,ShipmentBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Models\ShipmentBaseDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ShipmentsDtoTypes.Models.ShipmentBaseDto' ShipmentsDtoTypes.Models.ShipmentDto
Cyclically-dependent Modularization,ShipmentsDtoTypes.Models,ShipmentToCreateDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Models\ShipmentToCreateDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ShipmentsDtoTypes.Models.ShipmentToCreateDto' ShipmentsDtoTypes.Models.ShipmentBaseDto
Cyclically-dependent Modularization,ShipmentsDtoTypes.Models,ShipmentDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Models\ShipmentDto.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ShipmentsDtoTypes.Models.ShipmentDto' ShipmentsDtoTypes.Models.ShipmentToCreateDto' ShipmentsDtoTypes.Models.ShipmentBaseDto
Cyclic Hierarchy,ShipmentsDtoTypes.Models,ShipmentBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Models\ShipmentBaseDto.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: ShipmentDto
Cyclic Hierarchy,ShipmentsDtoTypes.Models,ShipmentBaseDto,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\ShipmentsDtoTypes\Models\ShipmentBaseDto.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: ShipmentToCreateDto
