Namespace,Type,Method,LOC,CC,PC
Shipments.Contexts,ShipmentsDbContext,ShipmentsDbContext,1,1,1
Shipments.Controllers,ShipmentsController,ShipmentsController,3,1,1
Shipments.Controllers,ShipmentsController,GetShipments,16,1,1
Shipments.Controllers,ShipmentsController,GetShipment,12,2,1
Shipments.Controllers,ShipmentsController,CreateShipment,24,4,1
Shipments.Controllers,ShipmentsController,DeleteShipment,11,3,1
Shipments,Program,Main,3,1,1
Shipments,Program,BuildWebHost,0,1,1
Shipments,Startup,Startup,3,1,1
Shipments,Startup,ConfigureServices,10,1,1
Shipments,Startup,Configure,20,1,3
Shipments.Repositories,IShipmentRepository,GetShipments,0,1,1
Shipments.Repositories,IShipmentRepository,GetShipment,0,1,1
Shipments.Repositories,IShipmentRepository,GetShipments,0,1,1
Shipments.Repositories,IShipmentRepository,GetShipmentsCount,0,1,0
Shipments.Repositories,IShipmentRepository,AddShipment,0,1,1
Shipments.Repositories,IShipmentRepository,DeleteShipment,0,1,1
Shipments.Repositories,IShipmentRepository,UpdateShipment,0,1,1
Shipments.Repositories,IShipmentRepository,ShipmentExists,0,1,1
Shipments.Repositories,IShipmentRepository,Save,0,1,0
Shipments.Repositories,ShipmentRepository,ShipmentRepository,3,1,1
Shipments.Repositories,ShipmentRepository,AddShipment,3,1,1
Shipments.Repositories,ShipmentRepository,DeleteShipment,3,1,1
Shipments.Repositories,ShipmentRepository,GetShipment,3,1,1
Shipments.Repositories,ShipmentRepository,GetShipments,9,1,1
Shipments.Repositories,ShipmentRepository,GetShipments,3,1,1
Shipments.Repositories,ShipmentRepository,GetShipmentsCount,3,1,0
Shipments.Repositories,ShipmentRepository,ShipmentExists,3,1,1
Shipments.Repositories,ShipmentRepository,Save,3,1,0
Shipments.Repositories,ShipmentRepository,UpdateShipment,4,1,1
