Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Gigya.Common.Contracts.Attributes,CachedAttribute,0,1,16,0,1,129,3,0,1,-1,9,2,Gigya.Common.Contracts.Attributes.IMethodCachingSettings' Gigya.Common.Contracts.Attributes.ResponseKinds' Gigya.Common.Contracts.Attributes.RefreshMode' Gigya.Common.Contracts.Attributes.RequestGroupingBehavior' Gigya.Common.Contracts.Attributes.RefreshBehavior' Gigya.Common.Contracts.Attributes.RevokedResponseBehavior' Gigya.Common.Contracts.Attributes.ExpirationBehavior' Gigya.Common.Contracts.Attributes.CacheResponsesWhenSupressedBehavior' Gigya.Common.Contracts.Attributes.NotIgnoredResponseBehavior,Gigya.Common.Contracts.Attributes.RefreshMode' Gigya.Common.Contracts.Attributes.RefreshBehavior
Gigya.Common.Contracts.Attributes,IMethodCachingSettings,0,0,13,0,0,16,0,1,0,-1,8,1,Gigya.Common.Contracts.Attributes.ResponseKinds' Gigya.Common.Contracts.Attributes.RefreshMode' Gigya.Common.Contracts.Attributes.RequestGroupingBehavior' Gigya.Common.Contracts.Attributes.RefreshBehavior' Gigya.Common.Contracts.Attributes.RevokedResponseBehavior' Gigya.Common.Contracts.Attributes.ExpirationBehavior' Gigya.Common.Contracts.Attributes.CacheResponsesWhenSupressedBehavior' Gigya.Common.Contracts.Attributes.NotIgnoredResponseBehavior,Gigya.Common.Contracts.Attributes.CachedAttribute
Gigya.Common.Contracts.Attributes,ResponseKinds,0,0,0,0,0,21,0,0,0,-1,2,4,Gigya.Common.Contracts.Exceptions.EnvironmentException' Gigya.Common.Contracts.Exceptions.RequestException,Gigya.Common.Contracts.Attributes.CachedAttribute' Gigya.Common.Contracts.Attributes.IMethodCachingSettings' Gigya.Common.Contracts.Attributes.RefreshBehavior' Gigya.Common.Contracts.Attributes.RevokedResponseBehavior
Gigya.Common.Contracts.Attributes,RefreshMode,0,0,0,0,0,16,0,0,0,-1,1,3,Gigya.Common.Contracts.Attributes.CachedAttribute,Gigya.Common.Contracts.Attributes.CachedAttribute' Gigya.Common.Contracts.Attributes.IMethodCachingSettings' Gigya.Common.Contracts.Attributes.ExpirationBehavior
Gigya.Common.Contracts.Attributes,RequestGroupingBehavior,0,0,0,0,0,5,0,0,0,-1,0,2,,Gigya.Common.Contracts.Attributes.CachedAttribute' Gigya.Common.Contracts.Attributes.IMethodCachingSettings
Gigya.Common.Contracts.Attributes,RefreshBehavior,0,0,0,0,0,22,0,0,0,-1,2,2,Gigya.Common.Contracts.Attributes.CachedAttribute' Gigya.Common.Contracts.Attributes.ResponseKinds,Gigya.Common.Contracts.Attributes.CachedAttribute' Gigya.Common.Contracts.Attributes.IMethodCachingSettings
Gigya.Common.Contracts.Attributes,RevokedResponseBehavior,0,0,0,0,0,45,0,0,0,-1,1,2,Gigya.Common.Contracts.Attributes.ResponseKinds,Gigya.Common.Contracts.Attributes.CachedAttribute' Gigya.Common.Contracts.Attributes.IMethodCachingSettings
Gigya.Common.Contracts.Attributes,ExpirationBehavior,0,0,0,0,0,17,0,0,0,-1,1,2,Gigya.Common.Contracts.Attributes.RefreshMode,Gigya.Common.Contracts.Attributes.CachedAttribute' Gigya.Common.Contracts.Attributes.IMethodCachingSettings
Gigya.Common.Contracts.Attributes,CacheResponsesWhenSupressedBehavior,0,0,0,0,0,5,0,0,0,-1,0,2,,Gigya.Common.Contracts.Attributes.CachedAttribute' Gigya.Common.Contracts.Attributes.IMethodCachingSettings
Gigya.Common.Contracts.Attributes,NotIgnoredResponseBehavior,0,0,0,0,0,5,0,0,0,-1,0,2,,Gigya.Common.Contracts.Attributes.CachedAttribute' Gigya.Common.Contracts.Attributes.IMethodCachingSettings
Gigya.ServiceContract.Attributes,SensitiveAttribute,0,0,1,0,0,9,0,0,0,-1,0,0,,
Gigya.ServiceContract.Attributes,NonSensitiveAttribute,0,0,0,0,0,2,0,0,0,-1,0,0,,
Gigya.ServiceContract.Attributes,LogFieldsAttribute,0,0,0,0,0,2,0,0,0,-1,0,0,,
Gigya.Common.Contracts.HttpService,HttpServiceAttribute,0,1,3,0,1,19,1,0,0,-1,0,0,,
Gigya.Common.Contracts.HttpService,PublicEndpointAttribute,0,3,8,0,2,83,3,0,0,-1,0,0,,
Gigya.Common.Contracts.HttpService,ServiceSchema,0,3,2,0,2,27,3,0,0,-1,1,0,Gigya.Common.Contracts.HttpService.InterfaceSchema,
Gigya.Common.Contracts.HttpService,InterfaceSchema,0,2,3,0,2,24,3,0,0,-1,2,1,Gigya.Common.Contracts.HttpService.MethodSchema' Gigya.Common.Contracts.HttpService.AttributeSchema,Gigya.Common.Contracts.HttpService.ServiceSchema
Gigya.Common.Contracts.HttpService,MethodSchema,0,2,6,0,2,51,5,0,0,-1,4,1,Gigya.Common.Contracts.HttpService.TypeSchema' Gigya.Common.Contracts.HttpService.ParameterSchema' Gigya.Common.Contracts.HttpService.AttributeSchema' Gigya.ServiceContract.HttpService.Revocable<T>,Gigya.Common.Contracts.HttpService.InterfaceSchema
Gigya.Common.Contracts.HttpService,SimpleTypeSchema,0,3,3,0,2,31,3,2,0,-1,1,2,Gigya.Common.Contracts.HttpService.AttributeSchema,Gigya.Common.Contracts.HttpService.TypeSchema' Gigya.Common.Contracts.HttpService.FieldSchema
Gigya.Common.Contracts.HttpService,TypeSchema,0,4,1,0,2,26,5,1,1,-1,2,2,Gigya.Common.Contracts.HttpService.SimpleTypeSchema' Gigya.Common.Contracts.HttpService.FieldSchema,Gigya.Common.Contracts.HttpService.MethodSchema' Gigya.Common.Contracts.HttpService.ParameterSchema
Gigya.Common.Contracts.HttpService,ParameterSchema,0,3,1,0,2,15,3,0,2,-1,1,1,Gigya.Common.Contracts.HttpService.TypeSchema,Gigya.Common.Contracts.HttpService.MethodSchema
Gigya.Common.Contracts.HttpService,FieldSchema,0,3,1,0,3,16,3,0,1,-1,1,1,Gigya.Common.Contracts.HttpService.SimpleTypeSchema,Gigya.Common.Contracts.HttpService.TypeSchema
Gigya.Common.Contracts.HttpService,AttributeSchema,0,4,3,0,2,36,5,0,0,-1,0,3,,Gigya.Common.Contracts.HttpService.InterfaceSchema' Gigya.Common.Contracts.HttpService.MethodSchema' Gigya.Common.Contracts.HttpService.SimpleTypeSchema
Gigya.ServiceContract.Exceptions,Breadcrumb,0,1,5,0,1,14,1,0,0,-1,0,1,,Gigya.Common.Contracts.Exceptions.SerializableException
Gigya.ServiceContract.Exceptions,InvalidParameterValueException,0,2,3,0,2,43,2,0,1,-1,2,1,Gigya.Common.Contracts.Exceptions.RequestException' Gigya.Common.Contracts.Exceptions.Tags,Gigya.Common.Contracts.JsonHelper
Gigya.Common.Contracts.Exceptions,EnvironmentException,0,2,0,0,1,19,2,1,1,-1,2,2,Gigya.Common.Contracts.Exceptions.SerializableException' Gigya.Common.Contracts.Exceptions.Tags,Gigya.Common.Application.HttpService.Client.RemoteServiceException' Gigya.Common.Contracts.Attributes.ResponseKinds
Gigya.Common.Contracts.Exceptions,ProgrammaticException,0,2,0,0,1,29,2,1,1,-1,2,1,Gigya.Common.Contracts.Exceptions.SerializableException' Gigya.Common.Contracts.Exceptions.Tags,Gigya.Common.Contracts.Exceptions.UnhandledException
Gigya.Common.Contracts.Exceptions,UnhandledException,0,2,0,0,1,28,2,0,2,-1,2,0,Gigya.Common.Contracts.Exceptions.ProgrammaticException' Gigya.Common.Contracts.Exceptions.Tags,
Gigya.Common.Contracts.Exceptions,RequestException,0,3,1,0,2,41,3,2,1,-1,2,3,Gigya.Common.Contracts.Exceptions.SerializableException' Gigya.Common.Contracts.Exceptions.Tags,Gigya.ServiceContract.Exceptions.InvalidParameterValueException' Gigya.Common.Contracts.Attributes.ResponseKinds' Gigya.Common.Contracts.Exceptions.SecureRequestException
Gigya.Common.Contracts.Exceptions,SecureRequestException,0,2,0,0,1,21,2,0,2,-1,2,0,Gigya.Common.Contracts.Exceptions.RequestException' Gigya.Common.Contracts.Exceptions.Tags,
Gigya.Common.Contracts.Exceptions,SerializableException,5,7,6,0,2,204,17,3,0,0,29,3,3,Gigya.ServiceContract.Exceptions.Breadcrumb' Gigya.Common.Contracts.Exceptions.Tags' Gigya.Common.Contracts.JsonHelper,Gigya.Common.Contracts.Exceptions.RequestException' Gigya.Common.Contracts.Exceptions.EnvironmentException' Gigya.Common.Contracts.Exceptions.ProgrammaticException
Gigya.Common.Contracts.Exceptions,Tags,0,2,0,0,1,13,2,0,0,-1,0,8,,Gigya.Common.Contracts.Exceptions.EnvironmentException' Gigya.Common.Application.HttpService.Client.RemoteServiceException' Gigya.ServiceContract.Exceptions.InvalidParameterValueException' Gigya.Common.Contracts.Exceptions.SerializableException' Gigya.Common.Contracts.Exceptions.ProgrammaticException' Gigya.Common.Contracts.Exceptions.UnhandledException' Gigya.Common.Contracts.Exceptions.RequestException' Gigya.Common.Contracts.Exceptions.SecureRequestException
Gigya.Common.Application.HttpService.Client,RemoteServiceException,0,2,1,0,1,28,2,0,2,-1,2,0,Gigya.Common.Contracts.Exceptions.EnvironmentException' Gigya.Common.Contracts.Exceptions.Tags,
Gigya.ServiceContract.HttpService,IRevocable,0,0,1,0,0,4,0,1,0,-1,0,1,,Gigya.ServiceContract.HttpService.Revocable<T>
Gigya.ServiceContract.HttpService,Revocable<T>,0,0,2,0,0,6,0,0,1,-1,1,1,Gigya.ServiceContract.HttpService.IRevocable,Gigya.Common.Contracts.HttpService.MethodSchema
Gigya.Common.Contracts,JsonHelper,2,1,1,0,1,65,6,0,0,0,1,1,Gigya.ServiceContract.Exceptions.InvalidParameterValueException,Gigya.Common.Contracts.Exceptions.SerializableException
