Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,Gigya.Common.Contracts.Attributes,CachedAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\CachedAttribute.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CachedAttribute (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\CachedAttribute.cs' [1' 24])' HttpServiceAttribute (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\HttpServiceAttribute.cs' [1' 24])' PublicEndpointAttribute (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\PublicEndpointAttribute.cs' [1' 24])' ServiceSchema (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\HttpService\ServiceSchema.cs' [1' 24])' SerializableException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\SerializableException.cs' [1' 24])' EnvironmentException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\EnvironmentException.cs' [1' 24])' RemoteServiceException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\RemoteServiceException.cs' [1' 24])' ProgrammaticException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\ProgrammaticException.cs' [1' 24])' RequestException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\RequestException.cs' [1' 24])
Duplicate Abstraction,Gigya.Common.Contracts.Attributes,CachedAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\CachedAttribute.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CachedAttribute (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\CachedAttribute.cs' [1' 23])' ServiceSchema (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\HttpService\ServiceSchema.cs' [1' 23])' EnvironmentException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\EnvironmentException.cs' [1' 23])' ProgrammaticException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\ProgrammaticException.cs' [1' 23])' RequestException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\RequestException.cs' [1' 23])' SerializableException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\SerializableException.cs' [1' 23])' RemoteServiceException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\RemoteServiceException.cs' [1' 23])' JsonHelper (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\JsonHelper.cs' [1' 23])' HttpServiceAttribute (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\HttpServiceAttribute.cs' [1' 23])' PublicEndpointAttribute (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\PublicEndpointAttribute.cs' [1' 23])
Duplicate Abstraction,Gigya.Common.Contracts.Attributes,CachedAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\CachedAttribute.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CachedAttribute (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\CachedAttribute.cs' [1' 22])' IRevocable (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\HttpService\IRevocable.cs' [1' 22])' HttpServiceAttribute (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\HttpServiceAttribute.cs' [1' 22])' PublicEndpointAttribute (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\PublicEndpointAttribute.cs' [1' 22])' ServiceSchema (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\HttpService\ServiceSchema.cs' [1' 22])' EnvironmentException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\EnvironmentException.cs' [1' 22])' ProgrammaticException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\ProgrammaticException.cs' [1' 22])' RequestException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\RequestException.cs' [1' 22])' SerializableException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\SerializableException.cs' [1' 22])' RemoteServiceException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\RemoteServiceException.cs' [1' 22])' JsonHelper (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\JsonHelper.cs' [1' 22])
Unnecessary Abstraction,Gigya.ServiceContract.Attributes,SensitiveAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\EventAttrubute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Secretive
Unutilized Abstraction,Gigya.ServiceContract.Attributes,SensitiveAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\EventAttrubute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Gigya.ServiceContract.Attributes,NonSensitiveAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\EventAttrubute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Gigya.ServiceContract.Attributes,NonSensitiveAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\EventAttrubute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Gigya.ServiceContract.Attributes,LogFieldsAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\LogFieldsAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Gigya.ServiceContract.Attributes,LogFieldsAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\LogFieldsAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Gigya.Common.Contracts.HttpService,HttpServiceAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Attributes\HttpServiceAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
