Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Gigya.ServiceContract.Exceptions,InvalidParameterValueException,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\InvalidParameterValueException.cs,InvalidParameterValueException,The method has 6 parameters. Parameters: paramName' errorPath' message' innerException' encrypted' unencrypted
Long Parameter List,Gigya.Common.Contracts.Exceptions,RequestException,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\RequestException.cs,RequestException,The method has 5 parameters. Parameters: message' errorCode' innerException' encrypted' unencrypted
Long Parameter List,Gigya.Common.Application.HttpService.Client,RemoteServiceException,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\RemoteServiceException.cs,RemoteServiceException,The method has 6 parameters. Parameters: message' requestedUri' innerException' encrypted' unencrypted' details
Long Identifier,Gigya.Common.Contracts.Exceptions,SerializableException,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\SerializableException.cs,,The length of the parameter EXTENDED_PROPERTIES_VALUES_KEY is 30.
Long Statement,Gigya.Common.Contracts.HttpService,AttributeSchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\HttpService\ServiceSchema.cs,FilterAttributes,The length of the statement  "            return a.GetType().Namespace?.StartsWith("System.Diagnostics") == false && a.GetType().Namespace?.StartsWith("System.Security") == false;" is 137.
Long Statement,Gigya.Common.Contracts.Exceptions,SerializableException,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\SerializableException.cs,GetObjectData,The length of the statement  "			info.AddValue("_Messages"' string.Join(" --> "' GetAllExceptions(this).Reverse().Select(e => $"[{e.GetType().Name}] {e.Message}")));" is 132.
Long Statement,Gigya.Common.Contracts,JsonHelper,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\JsonHelper.cs,ConvertWeaklyTypedValue,The length of the statement  "                throw new InvalidParameterValueException(null' parameterPathStr?.Split('.') ?? new string[0]' serException.Message' innerException: serException);" is 146.
Complex Conditional,Gigya.Common.Contracts,JsonHelper,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\JsonHelper.cs,ConvertWeaklyTypedValue,The conditional expression  "value is string && Type.GetTypeCode(paramType) == TypeCode.Object &&                     paramType != typeof(DateTimeOffset) && paramType != typeof(TimeSpan) && paramType != typeof(Guid) &&                     paramType != typeof(byte[])"  is complex.
Empty Catch Block,Gigya.Common.Contracts.HttpService,SimpleTypeSchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\HttpService\ServiceSchema.cs,OnDeserialized,The method has an empty catch block.
Empty Catch Block,Gigya.Common.Contracts.HttpService,AttributeSchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\HttpService\ServiceSchema.cs,OnDeserialized,The method has an empty catch block.
Empty Catch Block,Gigya.Common.Contracts.Exceptions,SerializableException,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\microdot-develop\microdot-develop\Gigya.ServiceContract\Exceptions\SerializableException.cs,GetCustomAndExtendedProperties,The method has an empty catch block.
