Namespace,Type,Method,LOC,CC,PC
Gigya.Common.Contracts.Attributes,CachedAttribute,CachedAttribute,7,3,0
Gigya.Common.Contracts.HttpService,HttpServiceAttribute,HttpServiceAttribute,3,1,1
Gigya.Common.Contracts.HttpService,PublicEndpointAttribute,PublicEndpointAttribute,5,1,3
Gigya.Common.Contracts.HttpService,PublicEndpointAttribute,PublicEndpointAttribute,3,1,1
Gigya.Common.Contracts.HttpService,PublicEndpointAttribute,PublicEndpointAttribute,3,1,0
Gigya.Common.Contracts.HttpService,ServiceSchema,ServiceSchema,1,1,0
Gigya.Common.Contracts.HttpService,ServiceSchema,ServiceSchema,4,1,1
Gigya.Common.Contracts.HttpService,ServiceSchema,SetHashCode,10,1,0
Gigya.Common.Contracts.HttpService,InterfaceSchema,InterfaceSchema,1,1,0
Gigya.Common.Contracts.HttpService,InterfaceSchema,InterfaceSchema,12,2,1
Gigya.Common.Contracts.HttpService,MethodSchema,MethodSchema,1,1,0
Gigya.Common.Contracts.HttpService,MethodSchema,MethodSchema,32,4,1
Gigya.Common.Contracts.HttpService,SimpleTypeSchema,SimpleTypeSchema,1,1,0
Gigya.Common.Contracts.HttpService,SimpleTypeSchema,SimpleTypeSchema,8,1,2
Gigya.Common.Contracts.HttpService,SimpleTypeSchema,OnDeserialized,7,1,1
Gigya.Common.Contracts.HttpService,TypeSchema,TypeSchema,1,1,0
Gigya.Common.Contracts.HttpService,TypeSchema,TypeSchema,5,2,2
Gigya.Common.Contracts.HttpService,TypeSchema,GetFields,5,1,1
Gigya.Common.Contracts.HttpService,TypeSchema,IsCompositeType,4,1,1
Gigya.Common.Contracts.HttpService,ParameterSchema,ParameterSchema,1,1,0
Gigya.Common.Contracts.HttpService,ParameterSchema,ParameterSchema,2,1,1
Gigya.Common.Contracts.HttpService,ParameterSchema,ParameterSchema,3,1,3
Gigya.Common.Contracts.HttpService,FieldSchema,FieldSchema,1,1,0
Gigya.Common.Contracts.HttpService,FieldSchema,FieldSchema,3,1,1
Gigya.Common.Contracts.HttpService,FieldSchema,FieldSchema,3,1,1
Gigya.Common.Contracts.HttpService,AttributeSchema,AttributeSchema,1,1,0
Gigya.Common.Contracts.HttpService,AttributeSchema,AttributeSchema,5,1,1
Gigya.Common.Contracts.HttpService,AttributeSchema,OnDeserialized,10,2,1
Gigya.Common.Contracts.HttpService,AttributeSchema,FilterAttributes,3,1,1
Gigya.ServiceContract.Exceptions,Breadcrumb,ToString,3,1,0
Gigya.ServiceContract.Exceptions,InvalidParameterValueException,InvalidParameterValueException,4,1,6
Gigya.ServiceContract.Exceptions,InvalidParameterValueException,InvalidParameterValueException,2,1,2
Gigya.Common.Contracts.Exceptions,EnvironmentException,EnvironmentException,1,1,4
Gigya.Common.Contracts.Exceptions,EnvironmentException,EnvironmentException,1,1,2
Gigya.Common.Contracts.Exceptions,ProgrammaticException,ProgrammaticException,1,1,4
Gigya.Common.Contracts.Exceptions,ProgrammaticException,ProgrammaticException,1,1,2
Gigya.Common.Contracts.Exceptions,UnhandledException,UnhandledException,1,1,3
Gigya.Common.Contracts.Exceptions,UnhandledException,UnhandledException,1,1,2
Gigya.Common.Contracts.Exceptions,RequestException,RequestException,2,1,4
Gigya.Common.Contracts.Exceptions,RequestException,RequestException,3,1,5
Gigya.Common.Contracts.Exceptions,RequestException,RequestException,1,1,2
Gigya.Common.Contracts.Exceptions,SecureRequestException,SecureRequestException,1,1,4
Gigya.Common.Contracts.Exceptions,SecureRequestException,SecureRequestException,1,1,2
Gigya.Common.Contracts.Exceptions,SerializableException,SerializableException,10,3,4
Gigya.Common.Contracts.Exceptions,SerializableException,SerializableException,52,6,2
Gigya.Common.Contracts.Exceptions,SerializableException,GetObjectData,17,1,2
Gigya.Common.Contracts.Exceptions,SerializableException,GetAllExceptions,7,2,1
Gigya.Common.Contracts.Exceptions,SerializableException,GetCustomAndExtendedProperties,19,3,0
Gigya.Common.Contracts.Exceptions,SerializableException,GetProperties,6,1,0
Gigya.Common.Contracts.Exceptions,SerializableException,AddBreadcrumb,3,1,1
Gigya.Common.Contracts.Exceptions,Tags,Tags,3,1,0
Gigya.Common.Contracts.Exceptions,Tags,Tags,3,1,2
Gigya.Common.Application.HttpService.Client,RemoteServiceException,RemoteServiceException,3,1,6
Gigya.Common.Application.HttpService.Client,RemoteServiceException,RemoteServiceException,1,1,2
Gigya.Common.Contracts,JsonHelper,ConvertWeaklyTypedValue,48,6,2
