Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
IdentityServer.Areas.Identity,IdentityHostingStartup,0,1,0,0,1,8,1,0,0,-1,0,0,,
IdentityServer.Areas.Identity.Pages.Account,AccessDeniedModel,0,1,0,0,1,7,1,0,0,-1,0,0,,
IdentityServer.Areas.Identity.Pages.Account,ConfirmEmailModel,1,2,1,0,2,32,4,0,0,0,0,0,,
IdentityServer.Areas.Identity.Pages.Account,ConfirmEmailChangeModel,2,2,1,0,2,50,6,0,0,0,0,0,,
IdentityServer.Areas.Identity.Pages.Account,ExternalLoginModel,4,5,4,0,5,149,16,0,0,0,4,1,0,IdentityServer.Areas.Identity.Pages.Account.InputModel,
IdentityServer.Areas.Identity.Pages.Account,InputModel,0,0,15,0,0,74,0,0,0,-1,0,7,,IdentityServer.Areas.Identity.Pages.Account.ExternalLoginModel' IdentityServer.Areas.Identity.Pages.Account.ForgotPasswordModel' IdentityServer.Areas.Identity.Pages.Account.LoginModel' IdentityServer.Areas.Identity.Pages.Account.LoginWith2faModel' IdentityServer.Areas.Identity.Pages.Account.LoginWithRecoveryCodeModel' IdentityServer.Areas.Identity.Pages.Account.RegisterModel' IdentityServer.Areas.Identity.Pages.Account.ResetPasswordModel
IdentityServer.Areas.Identity.Pages.Account,ForgotPasswordModel,2,2,1,0,2,54,4,0,0,0,1,0,IdentityServer.Areas.Identity.Pages.Account.InputModel,
IdentityServer.Areas.Identity.Pages.Account,ForgotPasswordConfirmation,0,1,0,0,1,7,1,0,0,-1,0,0,,
IdentityServer.Areas.Identity.Pages.Account,LockoutModel,0,1,0,0,1,8,1,0,0,-1,0,0,,
IdentityServer.Areas.Identity.Pages.Account,LoginModel,3,3,4,0,3,91,8,0,0,0,1,0,IdentityServer.Areas.Identity.Pages.Account.InputModel,
IdentityServer.Areas.Identity.Pages.Account,LoginWith2faModel,2,3,3,0,3,84,8,0,0,0,1,0,IdentityServer.Areas.Identity.Pages.Account.InputModel,
IdentityServer.Areas.Identity.Pages.Account,LoginWithRecoveryCodeModel,2,3,2,0,3,75,8,0,0,0,1,0,IdentityServer.Areas.Identity.Pages.Account.InputModel,
IdentityServer.Areas.Identity.Pages.Account,LogoutModel,2,3,0,0,3,30,4,0,0,0,67,0,0,,
IdentityServer.Areas.Identity.Pages.Account,RegisterModel,4,3,3,0,3,95,7,0,0,0,1,0,IdentityServer.Areas.Identity.Pages.Account.InputModel,
IdentityServer.Areas.Identity.Pages.Account,RegisterConfirmationModel,2,2,3,0,2,49,5,0,0,0,0,0,,
IdentityServer.Areas.Identity.Pages.Account,ResetPasswordModel,1,3,1,0,3,75,8,0,0,0,67,1,0,IdentityServer.Areas.Identity.Pages.Account.InputModel,
IdentityServer.Areas.Identity.Pages.Account,ResetPasswordConfirmationModel,0,1,0,0,1,8,1,0,0,-1,0,0,,
IdentityServer.Areas.Identity.Pages.Account.Manage,ChangePasswordModel,3,3,2,0,3,88,9,0,0,0,1,0,IdentityServer.Areas.Identity.Pages.Account.Manage.InputModel,
IdentityServer.Areas.Identity.Pages.Account.Manage,InputModel,0,0,9,0,0,53,0,0,0,-1,0,6,,IdentityServer.Areas.Identity.Pages.Account.Manage.ChangePasswordModel' IdentityServer.Areas.Identity.Pages.Account.Manage.DeletePersonalDataModel' IdentityServer.Areas.Identity.Pages.Account.Manage.EmailModel' IdentityServer.Areas.Identity.Pages.Account.Manage.EnableAuthenticatorModel' IdentityServer.Areas.Identity.Pages.Account.Manage.IndexModel' IdentityServer.Areas.Identity.Pages.Account.Manage.SetPasswordModel
IdentityServer.Areas.Identity.Pages.Account.Manage,DeletePersonalDataModel,3,3,2,0,3,72,8,0,0,0,1,0,IdentityServer.Areas.Identity.Pages.Account.Manage.InputModel,
IdentityServer.Areas.Identity.Pages.Account.Manage,Disable2faModel,2,3,1,0,3,51,7,0,0,0,0,0,,
IdentityServer.Areas.Identity.Pages.Account.Manage,DownloadPersonalDataModel,2,2,0,0,2,42,5,0,0,0,0,0,,
IdentityServer.Areas.Identity.Pages.Account.Manage,EmailModel,3,5,5,0,4,130,11,0,0,0,1,0,IdentityServer.Areas.Identity.Pages.Account.Manage.InputModel,
IdentityServer.Areas.Identity.Pages.Account.Manage,EnableAuthenticatorModel,4,6,5,0,3,140,14,0,0,0,33,1,0,IdentityServer.Areas.Identity.Pages.Account.Manage.InputModel,
IdentityServer.Areas.Identity.Pages.Account.Manage,ExternalLoginsModel,2,5,4,0,5,96,11,0,0,0,0,0,,
IdentityServer.Areas.Identity.Pages.Account.Manage,GenerateRecoveryCodesModel,2,3,2,0,3,60,7,0,0,0,0,0,,
IdentityServer.Areas.Identity.Pages.Account.Manage,IndexModel,2,4,3,0,3,83,9,0,0,0,1,0,IdentityServer.Areas.Identity.Pages.Account.Manage.InputModel,
IdentityServer.Areas.Identity.Pages.Account.Manage,ManageNavPages,0,9,8,0,8,41,9,0,0,-1,0,0,,
IdentityServer.Areas.Identity.Pages.Account.Manage,PersonalDataModel,2,2,0,0,2,24,3,0,0,0,0,0,,
