Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,IdentityServer.Areas.Identity,IdentityHostingStartup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\IdentityHostingStartup.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IdentityServer.Areas.Identity.Pages.Account,AccessDeniedModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\AccessDenied.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IdentityServer.Areas.Identity.Pages.Account,ConfirmEmailModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\ConfirmEmail.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IdentityServer.Areas.Identity.Pages.Account,ConfirmEmailChangeModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\ConfirmEmailChange.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IdentityServer.Areas.Identity.Pages.Account,ExternalLoginModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,IdentityServer.Areas.Identity.Pages.Account,InputModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: IdentityServer.Areas.Identity.Pages.Account.InputModel' IdentityServer.Areas.Identity.Pages.Account.Manage.InputModel
Unutilized Abstraction,IdentityServer.Areas.Identity.Pages.Account,ForgotPasswordModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\ForgotPassword.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IdentityServer.Areas.Identity.Pages.Account,ForgotPasswordConfirmation,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\ForgotPasswordConfirmation.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IdentityServer.Areas.Identity.Pages.Account,LockoutModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Lockout.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IdentityServer.Areas.Identity.Pages.Account,LoginModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Login.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
