Implementation smell,Namespace,Class,File,Method,Description
Long Method,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The method has 185 lines of code.
Long Method,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,BuildTargetModel,The method has 259 lines of code.
Long Method,IdentityServer.Data.Migrations,ApplicationDbContextModelSnapshot,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\ApplicationDbContextModelSnapshot.cs,BuildModel,The method has 259 lines of code.
Complex Method,IdentityServer,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Account\AccountController.cs,Login,Cyclomatic complexity of the method is 11
Long Parameter List,IdentityServer,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Account\AccountController.cs,AccountController,The method has 5 parameters. Parameters: interaction' clientStore' schemeProvider' events' users
Long Parameter List,IdentityServer,ExternalController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Account\ExternalController.cs,ExternalController,The method has 5 parameters. Parameters: interaction' clientStore' events' logger' users
Long Parameter List,IdentityServer,ConsentController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Consent\ConsentController.cs,ConsentController,The method has 5 parameters. Parameters: interaction' clientStore' resourceStore' events' logger
Long Parameter List,IdentityServer,ConsentController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Consent\ConsentController.cs,CreateConsentViewModel,The method has 5 parameters. Parameters: model' returnUrl' request' client' resources
Long Parameter List,IdentityServer.Device,DeviceController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Device\DeviceController.cs,DeviceController,The method has 5 parameters. Parameters: interaction' clientStore' resourceStore' eventService' logger
Long Identifier,IdentityServer,AccountOptions,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Account\AccountOptions.cs,,The length of the parameter WindowsAuthenticationSchemeName is 31.
Long Identifier,IdentityServer,AccountOptions,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Account\AccountOptions.cs,,The length of the parameter InvalidCredentialsErrorMessage is 30.
Long Statement,IdentityServer.Areas.Identity.Pages.Account,ExternalLoginModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs,OnGetCallbackAsync,The length of the statement  "            var result = await _signInManager.ExternalLoginSignInAsync(info.LoginProvider' info.ProviderKey' isPersistent: false' bypassTwoFactor : true);" is 142.
Long Statement,IdentityServer.Areas.Identity.Pages.Account,ExternalLoginModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs,OnGetCallbackAsync,The length of the statement  "                _logger.LogInformation("{Name} logged in with {LoginProvider} provider."' info.Principal.Identity.Name' info.LoginProvider);" is 124.
Long Statement,IdentityServer.Areas.Identity.Pages.Account,LoginModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Login.cshtml.cs,OnPostAsync,The length of the statement  "                var result = await _signInManager.PasswordSignInAsync(Input.Email' Input.Password' Input.RememberMe' lockoutOnFailure: false);" is 126.
Long Statement,IdentityServer.Areas.Identity.Pages.Account,LoginWith2faModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\LoginWith2fa.cshtml.cs,OnPostAsync,The length of the statement  "            var result = await _signInManager.TwoFactorAuthenticatorSignInAsync(authenticatorCode' rememberMe' Input.RememberMachine);" is 122.
Long Statement,IdentityServer.Areas.Identity.Pages.Account.Manage,Disable2faModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\Disable2fa.cshtml.cs,OnGet,The length of the statement  "                throw new InvalidOperationException($"Cannot disable 2FA for user with ID '{_userManager.GetUserId(User)}' as it's not currently enabled.");" is 140.
Long Statement,IdentityServer.Areas.Identity.Pages.Account.Manage,Disable2faModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\Disable2fa.cshtml.cs,OnPostAsync,The length of the statement  "                throw new InvalidOperationException($"Unexpected error occurred disabling 2FA for user with ID '{_userManager.GetUserId(User)}'.");" is 131.
Long Statement,IdentityServer.Areas.Identity.Pages.Account.Manage,ExternalLoginsModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\ExternalLogins.cshtml.cs,OnPostLinkLoginAsync,The length of the statement  "            var properties = _signInManager.ConfigureExternalAuthenticationProperties(provider' redirectUrl'  _userManager.GetUserId(User));" is 128.
Long Statement,IdentityServer.Areas.Identity.Pages.Account.Manage,ExternalLoginsModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\ExternalLogins.cshtml.cs,OnGetLinkLoginCallbackAsync,The length of the statement  "                throw new InvalidOperationException($"Unexpected error occurred loading external login info for user with ID '{user.Id}'.");" is 124.
Long Statement,IdentityServer.Areas.Identity.Pages.Account.Manage,GenerateRecoveryCodesModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\GenerateRecoveryCodes.cshtml.cs,OnGetAsync,The length of the statement  "                throw new InvalidOperationException($"Cannot generate recovery codes for user with ID '{userId}' because they do not have 2FA enabled.");" is 137.
Long Statement,IdentityServer.Areas.Identity.Pages.Account.Manage,GenerateRecoveryCodesModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\GenerateRecoveryCodes.cshtml.cs,OnPostAsync,The length of the statement  "                throw new InvalidOperationException($"Cannot generate recovery codes for user with ID '{userId}' as they do not have 2FA enabled.");" is 132.
Long Statement,IdentityServer.Areas.Identity.Pages.Account.Manage,ResetAuthenticatorModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\ResetAuthenticator.cshtml.cs,OnPostAsync,The length of the statement  "            StatusMessage = "Your authenticator app key has been reset' you will need to configure your authenticator app using the new key.";" is 130.
Long Statement,IdentityServer.Areas.Identity.Pages.Account.Manage,TwoFactorAuthenticationModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\TwoFactorAuthentication.cshtml.cs,OnPost,The length of the statement  "            StatusMessage = "The current browser has been forgotten. When you login again from this browser you will be prompted for your 2fa code.";" is 137.
Long Statement,IdentityServer,Program,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Program.cs,Main,The length of the statement  "                .WriteTo.Console(outputTemplate: "[{Timestamp:HH:mm:ss} {Level}] {SourceContext}{NewLine}{Message:lj}{NewLine}{Exception}{NewLine}"' theme: AnsiConsoleTheme.Code)" is 162.
Long Statement,IdentityServer,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Account\AccountController.cs,Login,The length of the statement  "                    await _events.RaiseAsync(new UserLoginSuccessEvent(user.Username' user.SubjectId' user.Username' clientId: context?.ClientId));" is 127.
Long Statement,IdentityServer,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Account\AccountController.cs,BuildLoginViewModelAsync,The length of the statement  "                        providers = providers.Where(provider => client.IdentityProviderRestrictions.Contains(provider.AuthenticationScheme)).ToList();" is 126.
Long Statement,IdentityServer,ExternalController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Account\ExternalController.cs,Callback,The length of the statement  "            var result = await HttpContext.AuthenticateAsync(IdentityServer4.IdentityServerConstants.ExternalCookieAuthenticationScheme);" is 125.
