Namespace,Type,Method,LOC,CC,PC
IdentityServer.Areas.Identity,IdentityHostingStartup,Configure,4,1,1
IdentityServer.Areas.Identity.Pages.Account,AccessDeniedModel,OnGet,3,1,0
IdentityServer.Areas.Identity.Pages.Account,ConfirmEmailModel,ConfirmEmailModel,3,1,1
IdentityServer.Areas.Identity.Pages.Account,ConfirmEmailModel,OnGetAsync,17,3,2
IdentityServer.Areas.Identity.Pages.Account,ConfirmEmailChangeModel,ConfirmEmailChangeModel,4,1,2
IdentityServer.Areas.Identity.Pages.Account,ConfirmEmailChangeModel,OnGetAsync,33,5,3
IdentityServer.Areas.Identity.Pages.Account,ExternalLoginModel,ExternalLoginModel,6,1,4
IdentityServer.Areas.Identity.Pages.Account,ExternalLoginModel,OnGetAsync,3,1,0
IdentityServer.Areas.Identity.Pages.Account,ExternalLoginModel,OnPost,6,1,2
IdentityServer.Areas.Identity.Pages.Account,ExternalLoginModel,OnGetCallbackAsync,40,6,2
IdentityServer.Areas.Identity.Pages.Account,ExternalLoginModel,OnPostConfirmationAsync,55,7,1
IdentityServer.Areas.Identity.Pages.Account,ForgotPasswordModel,ForgotPasswordModel,4,1,2
IdentityServer.Areas.Identity.Pages.Account,ForgotPasswordModel,OnPostAsync,30,3,0
IdentityServer.Areas.Identity.Pages.Account,ForgotPasswordConfirmation,OnGet,2,1,0
IdentityServer.Areas.Identity.Pages.Account,LockoutModel,OnGet,3,1,0
IdentityServer.Areas.Identity.Pages.Account,LoginModel,LoginModel,5,1,3
IdentityServer.Areas.Identity.Pages.Account,LoginModel,OnGetAsync,15,2,1
IdentityServer.Areas.Identity.Pages.Account,LoginModel,OnPostAsync,32,5,1
IdentityServer.Areas.Identity.Pages.Account,LoginWith2faModel,LoginWith2faModel,4,1,2
IdentityServer.Areas.Identity.Pages.Account,LoginWith2faModel,OnGetAsync,14,2,2
IdentityServer.Areas.Identity.Pages.Account,LoginWith2faModel,OnPostAsync,35,5,2
IdentityServer.Areas.Identity.Pages.Account,LoginWithRecoveryCodeModel,LoginWithRecoveryCodeModel,4,1,2
IdentityServer.Areas.Identity.Pages.Account,LoginWithRecoveryCodeModel,OnGetAsync,12,2,1
IdentityServer.Areas.Identity.Pages.Account,LoginWithRecoveryCodeModel,OnPostAsync,33,5,1
IdentityServer.Areas.Identity.Pages.Account,LogoutModel,LogoutModel,4,1,2
IdentityServer.Areas.Identity.Pages.Account,LogoutModel,OnGet,2,1,0
IdentityServer.Areas.Identity.Pages.Account,LogoutModel,OnPost,12,2,1
IdentityServer.Areas.Identity.Pages.Account,RegisterModel,RegisterModel,6,1,4
IdentityServer.Areas.Identity.Pages.Account,RegisterModel,OnGetAsync,4,1,1
IdentityServer.Areas.Identity.Pages.Account,RegisterModel,OnPostAsync,41,5,1
IdentityServer.Areas.Identity.Pages.Account,RegisterConfirmationModel,RegisterConfirmationModel,4,1,2
IdentityServer.Areas.Identity.Pages.Account,RegisterConfirmationModel,OnGetAsync,29,4,2
IdentityServer.Areas.Identity.Pages.Account,ResetPasswordModel,ResetPasswordModel,3,1,1
IdentityServer.Areas.Identity.Pages.Account,ResetPasswordModel,OnGet,14,2,1
