Namespace,Type,Method,LOC,CC,PC
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,CreateDatabase,0,1,0
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,Remove,0,1,1
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,Update,0,1,1
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,SaveChangesAsync,0,1,1
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,GetBasketSingeOrDefault,0,1,2
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,AddAsync,0,1,2
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,GetAsync,0,1,4
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,TotalCountAsync,0,1,2
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,TotalPriceAsync,0,1,2
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,CreateDatabase,0,1,0
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,Remove,0,1,1
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,Update,0,1,1
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,SaveChangesAsync,0,1,1
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,GetSingleOrDefault,0,1,2
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,AddAsync,0,1,2
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,GetAsync,0,1,2
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,GetPageAsync,0,1,4
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,TotalCountAsync,0,1,2
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,TotalPriceAsync,0,1,2
