Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways,DaprBasketGateway,4,1,0,0,1,15,1,0,0,0,0,1,,ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions
ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts,GetProductsByIdsRequest,0,0,1,0,0,4,0,0,0,-1,0,0,,
ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts,GetProductsByIdsResponse,0,0,1,0,0,21,0,0,0,-1,2,0,ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts.ProductResult' ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts.ProductStoreResult,
ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts,ProductResult,0,0,6,0,0,13,0,0,0,-1,0,2,,ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts.GetProductsByIdsResponse' ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts.GetProductsResponse
ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts,ProductStoreResult,0,0,10,0,0,15,0,0,0,-1,0,2,,ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts.GetProductsByIdsResponse' ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts.GetProductsResponse
ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts,GetProductsResponse,0,0,1,0,0,21,0,0,0,-1,2,0,ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts.ProductResult' ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts.ProductStoreResult,
ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers,BasketItemDomainMessage,0,0,1,0,0,4,0,0,0,-1,1,0,ModernArchitectureShop.Basket.Domain.Events.IDomainEvent,
ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers,BasketItemNotificationHandler,2,4,0,0,4,32,4,0,0,0,3,3,ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages.BasketItemDeletedMessage' ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages.ItemCreatedMessage' ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages.ItemUpdatedMessage,ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions' ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteItemHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler
ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages,BasketItemDeletedMessage,0,0,1,0,0,4,0,0,0,-1,0,1,,ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler
ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages,ItemCreatedMessage,0,0,0,0,0,3,0,0,1,-1,1,1,ModernArchitectureShop.Basket.Domain.Item,ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler
ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages,ItemUpdatedMessage,0,0,0,0,0,3,0,0,1,-1,1,1,ModernArchitectureShop.Basket.Domain.Item,ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler
ModernArchitectureShop.Basket.Infrastructure.Dto,BasketDto,0,1,4,0,1,15,1,0,0,-1,2,1,ModernArchitectureShop.Basket.Domain.Item' ModernArchitectureShop.Basket.Domain.State,ModernArchitectureShop.Basket.Infrastructure.Dto.BasketMappingProfile
ModernArchitectureShop.Basket.Infrastructure.Dto,BasketMappingProfile,0,1,0,0,1,8,1,0,0,-1,4,0,ModernArchitectureShop.Basket.Infrastructure.Dto.BasketDto' ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Basket.Domain.Basket' ModernArchitectureShop.Basket.Domain.Item,
ModernArchitectureShop.Basket.Infrastructure.Dto,ItemDto,0,1,8,0,1,23,1,0,0,-1,0,10,,ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand' ModernArchitectureShop.Basket.Infrastructure.Dto.ItemMappingProfile' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageResponse' ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsResponse' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler' ModernArchitectureShop.Basket.Infrastructure.Dto.BasketMappingProfile
ModernArchitectureShop.Basket.Infrastructure.Dto,ItemMappingProfile,0,1,0,0,1,8,1,0,0,-1,3,0,ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand' ModernArchitectureShop.Basket.Domain.Item,
ModernArchitectureShop.Basket.Infrastructure.Persistence,CustomServiceCollectionExtenstion,0,1,0,0,1,11,1,0,0,-1,1,0,ModernArchitectureShop.Basket.Infrastructure.Persistence.BasketDbContext,
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketDbContext,0,2,2,0,1,17,2,0,0,-1,2,3,ModernArchitectureShop.Basket.Domain.Basket' ModernArchitectureShop.Basket.Domain.Item,ModernArchitectureShop.Basket.Infrastructure.Persistence.BasketRepository' ModernArchitectureShop.Basket.Infrastructure.Persistence.ItemRepository' ModernArchitectureShop.Basket.Infrastructure.Persistence.CustomServiceCollectionExtenstion
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,2,11,0,0,11,71,11,0,1,0,4,1,ModernArchitectureShop.Basket.Infrastructure.Persistence.BasketDbContext' ModernArchitectureShop.Basket.Domain.Basket' ModernArchitectureShop.Basket.Domain.State' ModernArchitectureShop.Basket.Application.Persistence.IBasketRepository,ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,2,12,0,0,12,76,12,0,1,0,3,1,ModernArchitectureShop.Basket.Infrastructure.Persistence.BasketDbContext' ModernArchitectureShop.Basket.Domain.Item' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository,ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions
ModernArchitectureShop.Basket.Infrastructure.ServiceCollection,CustomRequestValidationExtenstion,0,1,0,0,1,8,1,0,0,-1,1,0,ModernArchitectureShop.Basket.Infrastructure.Validation.RequestValidationBehavior<TRequest;TResponse>,
ModernArchitectureShop.Basket.Infrastructure.ServiceCollection,DaprServiceCollectionExtenstion,0,1,0,0,1,18,1,0,0,-1,0,0,,
ModernArchitectureShop.Basket.Infrastructure.ServiceCollection,DatabaseExtensions,0,1,0,0,1,12,1,0,0,-1,1,0,ModernArchitectureShop.Basket.Application.Persistence.IItemRepository,
ModernArchitectureShop.Basket.Infrastructure.ServiceCollection,ServiceCollectionExtensions,0,1,0,0,1,21,1,0,0,-1,6,0,ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.DaprBasketGateway' ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler' ModernArchitectureShop.Basket.Infrastructure.Persistence.BasketRepository' ModernArchitectureShop.Basket.Infrastructure.Persistence.ItemRepository' ModernArchitectureShop.Basket.Application.Persistence.IBasketRepository' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository,
ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem,AddItemCommand,0,0,9,0,0,12,0,0,1,-1,2,4,ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Basket.Application.UseCases.AddItem.IAddItem,ModernArchitectureShop.BasketApi.Controllers.ItemController' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemValidator' ModernArchitectureShop.Basket.Infrastructure.Dto.ItemMappingProfile' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler
ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem,AddItemHandler,5,2,0,0,2,61,4,0,0,0,8,0,ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler' ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand' ModernArchitectureShop.Basket.Domain.Basket' ModernArchitectureShop.Basket.Domain.Item' ModernArchitectureShop.Basket.Domain.State' ModernArchitectureShop.Basket.Application.Persistence.IBasketRepository' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository,
ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem,AddItemValidator,0,1,0,0,1,15,1,0,0,-1,1,0,ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand,
ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem,DeleteItemCommand,0,0,1,0,0,4,0,0,1,-1,1,3,ModernArchitectureShop.Basket.Application.UseCases.DeleteItem.IDeleteItem,ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteProductRequestValidator' ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteItemHandler' ModernArchitectureShop.BasketApi.Controllers.ItemController
ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem,DeleteItemHandler,2,2,0,0,2,25,2,0,0,0,4,0,ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteItemCommand' ModernArchitectureShop.Basket.Domain.Item' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository,
ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem,DeleteProductRequestValidator,0,1,0,0,1,10,1,0,0,-1,1,0,ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteItemCommand,
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice,GetBasketTotalPriceCommand,0,0,1,0,0,4,0,0,1,-1,2,3,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceResponse' ModernArchitectureShop.Basket.Application.UseCases.GetBasketTotalPrice.IBasketTotalPrice,ModernArchitectureShop.BasketApi.Controllers.ItemsController' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceValidator' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceHandler
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice,GetBasketTotalPriceHandler,2,2,0,0,2,21,2,0,0,0,3,0,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceResponse' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository,
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice,GetBasketTotalPriceResponse,0,0,1,0,0,4,0,0,0,-1,0,2,,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceHandler
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice,GetBasketTotalPriceValidator,0,1,0,0,1,8,1,0,0,-1,1,0,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceCommand,
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage,GetItemsPageCommand,0,0,3,0,0,6,0,0,1,-1,2,3,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageResponse' ModernArchitectureShop.Basket.Application.UseCases.GetItemsInPage.IGetItemsPage,ModernArchitectureShop.BasketApi.Controllers.ItemsController' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageValidator' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageHandler
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage,GetItemsPageHandler,2,2,0,0,2,22,2,0,0,0,4,0,ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageResponse' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository,
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage,GetItemsPageResponse,0,0,4,0,0,7,0,0,0,-1,1,2,ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageHandler
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage,GetItemsPageValidator,0,1,0,0,1,13,1,0,0,-1,1,0,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageCommand,
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems,GetItemsCommand,0,0,1,0,0,4,0,0,1,-1,2,3,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsResponse' ModernArchitectureShop.Basket.Application.UseCases.GetItems.IGetItems,ModernArchitectureShop.BasketApi.Controllers.ItemsController' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsValidator' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsHandler
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems,GetItemsHandler,2,2,0,0,2,21,2,0,0,0,4,0,ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsResponse' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository,
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems,GetItemsResponse,0,0,1,0,0,4,0,0,0,-1,1,2,ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsHandler
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems,GetItemsValidator,0,1,0,0,1,9,1,0,0,-1,1,0,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsCommand,
ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem,UpdateItemCommand,0,0,2,0,0,5,0,0,1,-1,2,2,ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Basket.Application.UseCases.UpdateItem.IUpdateItem,ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemValidator' ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemHandler
ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem,UpdateItemHandler,2,2,0,0,2,21,2,0,0,0,4,0,ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemCommand' ModernArchitectureShop.Basket.Domain.Item' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository,
ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem,UpdateItemValidator,0,1,0,0,1,13,1,0,0,-1,1,0,ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemCommand,
ModernArchitectureShop.Basket.Infrastructure.Validation.Models,ValidationError,0,1,2,0,1,12,1,0,0,-1,0,1,,ModernArchitectureShop.Basket.Infrastructure.Validation.Models.ValidationResultModel
