Namespace,Type,Method,LOC,CC,PC
ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways,DaprBasketGateway,DaprBasketGateway,5,1,3
ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers,BasketItemNotificationHandler,BasketItemNotificationHandler,4,1,2
ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers,BasketItemNotificationHandler,Handle,4,1,2
ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers,BasketItemNotificationHandler,Handle,4,1,2
ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers,BasketItemNotificationHandler,Handle,4,1,2
ModernArchitectureShop.Basket.Infrastructure.Dto,BasketDto,BasketDto,6,1,4
ModernArchitectureShop.Basket.Infrastructure.Dto,BasketMappingProfile,BasketMappingProfile,4,1,0
ModernArchitectureShop.Basket.Infrastructure.Dto,ItemDto,ItemDto,10,1,8
ModernArchitectureShop.Basket.Infrastructure.Dto,ItemMappingProfile,ItemMappingProfile,4,1,0
ModernArchitectureShop.Basket.Infrastructure.Persistence,CustomServiceCollectionExtenstion,AddCustomDbContext,7,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketDbContext,BasketDbContext,2,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketDbContext,OnConfiguring,5,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,BasketRepository,4,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,CreateDatabase,3,1,0
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,SaveChangesAsync,3,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,GetBasketSingeOrDefault,5,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,AddAsync,3,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,Remove,3,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,Update,3,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,GetAsync,8,1,4
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,TotalCountAsync,3,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,TotalPriceAsync,5,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,BasketRepository,Dispose,3,1,0
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,ItemRepository,4,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,CreateDatabase,3,1,0
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,SaveChangesAsync,3,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,GetSingleOrDefault,3,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,AddAsync,3,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,Remove,3,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,Update,3,1,1
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,GetAsync,7,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,GetPageAsync,9,1,4
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,TotalCountAsync,3,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,TotalPriceAsync,3,1,2
ModernArchitectureShop.Basket.Infrastructure.Persistence,ItemRepository,Dispose,3,1,0
ModernArchitectureShop.Basket.Infrastructure.ServiceCollection,CustomRequestValidationExtenstion,AddCustomRequestValidation,4,1,1
ModernArchitectureShop.Basket.Infrastructure.ServiceCollection,DaprServiceCollectionExtenstion,AddCustomDapr,14,1,1
ModernArchitectureShop.Basket.Infrastructure.ServiceCollection,DatabaseExtensions,CreateDatabase,8,1,1
ModernArchitectureShop.Basket.Infrastructure.ServiceCollection,ServiceCollectionExtensions,AddInfrastructure,16,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem,AddItemHandler,AddItemHandler,7,1,5
ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem,AddItemHandler,Handle,37,3,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem,AddItemValidator,AddItemValidator,11,1,0
ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem,DeleteItemHandler,DeleteItemHandler,4,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem,DeleteItemHandler,Handle,12,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem,DeleteProductRequestValidator,DeleteProductRequestValidator,6,1,0
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice,GetBasketTotalPriceHandler,GetBasketTotalPriceHandler,4,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice,GetBasketTotalPriceHandler,Handle,8,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice,GetBasketTotalPriceValidator,GetBasketTotalPriceValidator,4,1,0
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage,GetItemsPageHandler,GetItemsPageHandler,4,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage,GetItemsPageHandler,Handle,9,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage,GetItemsPageValidator,GetItemsPageValidator,9,1,0
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems,GetItemsHandler,GetItemsHandler,4,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems,GetItemsHandler,Handle,8,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems,GetItemsValidator,GetItemsValidator,5,1,0
ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem,UpdateItemHandler,UpdateItemHandler,4,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem,UpdateItemHandler,Handle,7,1,2
ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem,UpdateItemValidator,UpdateItemValidator,9,1,0
ModernArchitectureShop.Basket.Infrastructure.Validation.Models,ValidationError,ValidationError,4,1,2
ModernArchitectureShop.Basket.Infrastructure.Validation.Models,ValidationException,ValidationException,3,1,1
ModernArchitectureShop.Basket.Infrastructure.Validation.Models,ValidationModelExtensions,ToValidationResultModel,3,1,1
ModernArchitectureShop.Basket.Infrastructure.Validation.Models,ValidationModelExtensions,HandleValidation,7,2,2
ModernArchitectureShop.Basket.Infrastructure.Validation.Models,ValidationResultModel,ValidationResultModel,5,1,1
ModernArchitectureShop.Basket.Infrastructure.Validation.Models,ValidationResultModel,ToString,3,1,0
ModernArchitectureShop.Basket.Infrastructure.Validation,RequestValidationBehavior<TRequest;TResponse>,RequestValidationBehavior,4,1,2
ModernArchitectureShop.Basket.Infrastructure.Validation,RequestValidationBehavior<TRequest;TResponse>,Handle,5,1,3
