Project,Namespace,Ca types,Ce types
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways,ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions,
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.UseCases.GetProducts,,
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers,ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions' ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteItemHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler,ModernArchitectureShop.Basket.Domain.Events.IDomainEvent' ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages.BasketItemDeletedMessage' ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages.ItemCreatedMessage' ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages.ItemUpdatedMessage
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.Messages,ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler,ModernArchitectureShop.Basket.Domain.Item
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.Dto,ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageResponse' ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsResponse' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler,ModernArchitectureShop.Basket.Domain.Item' ModernArchitectureShop.Basket.Domain.State' ModernArchitectureShop.Basket.Domain.Basket' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.Persistence,ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions,ModernArchitectureShop.Basket.Domain.Basket' ModernArchitectureShop.Basket.Domain.Item' ModernArchitectureShop.Basket.Domain.State' ModernArchitectureShop.Basket.Application.Persistence.IBasketRepository' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.ServiceCollection,,ModernArchitectureShop.Basket.Infrastructure.Validation.RequestValidationBehavior<TRequest;TResponse>' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository' ModernArchitectureShop.Basket.Infrastructure.Dapr.Gateways.DaprBasketGateway' ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler' ModernArchitectureShop.Basket.Infrastructure.Persistence.BasketRepository' ModernArchitectureShop.Basket.Infrastructure.Persistence.ItemRepository' ModernArchitectureShop.Basket.Application.Persistence.IBasketRepository
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem,ModernArchitectureShop.BasketApi.Controllers.ItemController' ModernArchitectureShop.Basket.Infrastructure.Dto.ItemMappingProfile,ModernArchitectureShop.Basket.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Basket.Application.UseCases.AddItem.IAddItem' ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler' ModernArchitectureShop.Basket.Domain.Basket' ModernArchitectureShop.Basket.Domain.Item' ModernArchitectureShop.Basket.Domain.State' ModernArchitectureShop.Basket.Application.Persistence.IBasketRepository' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem,ModernArchitectureShop.BasketApi.Controllers.ItemController,ModernArchitectureShop.Basket.Application.UseCases.DeleteItem.IDeleteItem' ModernArchitectureShop.Basket.Infrastructure.Dapr.Publishers.BasketItemNotificationHandler' ModernArchitectureShop.Basket.Domain.Item' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository
ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice,ModernArchitectureShop.BasketApi.Controllers.ItemsController,ModernArchitectureShop.Basket.Application.UseCases.GetBasketTotalPrice.IBasketTotalPrice' ModernArchitectureShop.Basket.Application.Persistence.IItemRepository
