Namespace,Type,Method,LOC,CC,PC
ModernArchitectureShop.BasketApi.Controllers,ItemController,CreateItem,4,1,2
ModernArchitectureShop.BasketApi.Controllers,ItemController,DeleteItem,4,1,2
ModernArchitectureShop.BasketApi.Controllers,ItemsController,Get,4,1,2
ModernArchitectureShop.BasketApi.Controllers,ItemsController,GetItemsPage,4,1,2
ModernArchitectureShop.BasketApi.Controllers,ItemsController,GetTotalPrice,4,1,2
ModernArchitectureShop.BasketApi,Program,Main,21,1,1
ModernArchitectureShop.BasketApi,Program,CreateHostBuilder,0,1,1
ModernArchitectureShop.BasketApi,Startup,Startup,3,1,1
ModernArchitectureShop.BasketApi,Startup,ConfigureServices,36,1,1
ModernArchitectureShop.BasketApi,Startup,Configure,32,2,2
