Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,ModernArchitectureShop.Order.Application.UseCases.AddOrder,IAddOrder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\AddOrder\IAddOrder.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,ModernArchitectureShop.Order.Application.UseCases.AddOrder,IAddOrder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\AddOrder\IAddOrder.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.Order.Application.UseCases.EmailNotify,IEmailNotify,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\EmailNotify\IEmailNotify.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,ModernArchitectureShop.Order.Application.UseCases.EmailNotify,IEmailNotify,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\EmailNotify\IEmailNotify.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.Order.Application.UseCases.GetOrder,IGetCompletedOrders,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\GetOrder\IGetCompletedOrders.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Username
Unnecessary Abstraction,ModernArchitectureShop.Order.Application.UseCases.GetOrder,IGetOrder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\GetOrder\IGetOrder.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,ModernArchitectureShop.Order.Application.UseCases.GetOrder,IGetOrder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\GetOrder\IGetOrder.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.Order.Application.UseCases.OrderManagement,IPlaceOrder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\OrderManagement\IPlaceOrder.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Username' Items' CreationDate
Unnecessary Abstraction,ModernArchitectureShop.Order.Application.UseCases.RemoveOrder,IRemoveOrder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\RemoveOrder\IRemoveOrder.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,ModernArchitectureShop.Order.Application.UseCases.RemoveOrder,IRemoveOrder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Order\ModernArchitectureShop.Order.Application\UseCases\RemoveOrder\IRemoveOrder.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
