Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
ModernArchitectureShop.Order.Infrastructure.Dto,ItemDto,0,1,5,0,1,17,1,0,0,-1,0,1,,ModernArchitectureShop.Order.Infrastructure.Dto.OrderMappingProfile
ModernArchitectureShop.Order.Infrastructure.Dto,OrderMappingProfile,0,1,0,0,1,8,1,0,0,-1,2,0,ModernArchitectureShop.Order.Infrastructure.Dto.ItemDto' ModernArchitectureShop.Order.Infrastructure.Dto.OrderDto,
ModernArchitectureShop.Order.Infrastructure.Dto,OrderDto,0,1,6,0,1,19,1,0,0,-1,0,3,,ModernArchitectureShop.Order.Infrastructure.Dto.OrderMappingProfile' ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersResponse' ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersHandler
ModernArchitectureShop.Order.Infrastructure.Dto,PlaceOrderMappingProfile,0,1,0,0,1,7,1,0,0,-1,1,0,ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder.PlaceOrderCommand,
ModernArchitectureShop.Order.Infrastructure.Persistence,CustomServiceCollectionExtenstion,0,1,0,0,1,13,1,0,0,-1,1,0,ModernArchitectureShop.Order.Infrastructure.Persistence.OrderDbContext,
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderDbContext,0,2,2,0,1,17,2,0,0,-1,0,2,,ModernArchitectureShop.Order.Infrastructure.Persistence.OrderRepository' ModernArchitectureShop.Order.Infrastructure.Persistence.CustomServiceCollectionExtenstion
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,2,10,0,0,10,70,10,0,1,0,2,1,ModernArchitectureShop.Order.Application.Persistence.IOrderRepository' ModernArchitectureShop.Order.Infrastructure.Persistence.OrderDbContext,ModernArchitectureShop.Order.Infrastructure.ServiceCollection.ServiceCollectionExtensions
ModernArchitectureShop.Order.Infrastructure.ServiceCollection,CustomRequestValidationExtenstion,0,1,0,0,1,8,1,0,0,-1,1,0,ModernArchitectureShop.Order.Infrastructure.Validation.RequestValidationBehavior<TRequest;TResponse>,
ModernArchitectureShop.Order.Infrastructure.ServiceCollection,DaprServiceCollectionExtenstion,0,1,0,0,1,18,1,0,0,-1,0,0,,
ModernArchitectureShop.Order.Infrastructure.ServiceCollection,DatabaseExtensions,0,1,0,0,1,12,1,0,0,-1,1,0,ModernArchitectureShop.Order.Application.Persistence.IOrderRepository,
ModernArchitectureShop.Order.Infrastructure.ServiceCollection,ServiceCollectionExtensions,0,1,0,0,1,18,1,0,0,-1,2,0,ModernArchitectureShop.Order.Application.Persistence.IOrderRepository' ModernArchitectureShop.Order.Infrastructure.Persistence.OrderRepository,
ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder,PlaceOrderCommand,0,0,3,0,0,6,0,0,1,-1,1,4,ModernArchitectureShop.Order.Application.UseCases.OrderManagement.IPlaceOrder,ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder.AddItemValidator' ModernArchitectureShop.Order.Infrastructure.Dto.PlaceOrderMappingProfile' ModernArchitectureShop.OrderApi.Controllers.OrderController' ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder.PlaceOrderHandler
ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder,PlaceOrderHandler,3,2,0,0,2,35,3,0,0,0,2,0,ModernArchitectureShop.Order.Application.Persistence.IOrderRepository' ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder.PlaceOrderCommand,
ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder,AddItemValidator,0,1,0,0,1,15,1,0,0,-1,1,0,ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder.PlaceOrderCommand,
ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders,GetCompletedOrdersCommand,0,0,1,0,0,4,0,0,1,-1,2,3,ModernArchitectureShop.Order.Application.UseCases.GetOrder.IGetCompletedOrders' ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersResponse,ModernArchitectureShop.OrderApi.Controllers.OrdersController' ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersValidator' ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersHandler
ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders,GetCompletedOrdersHandler,2,2,0,0,2,21,2,0,0,0,4,0,ModernArchitectureShop.Order.Application.Persistence.IOrderRepository' ModernArchitectureShop.Order.Infrastructure.Dto.OrderDto' ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersCommand' ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersResponse,
ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders,GetCompletedOrdersResponse,0,0,1,0,0,4,0,0,0,-1,1,2,ModernArchitectureShop.Order.Infrastructure.Dto.OrderDto,ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersCommand' ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersHandler
ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders,GetCompletedOrdersValidator,0,1,0,0,1,9,1,0,0,-1,1,0,ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders.GetCompletedOrdersCommand,
ModernArchitectureShop.Order.Infrastructure.Validation.Models,ValidationError,0,1,2,0,1,12,1,0,0,-1,0,1,,ModernArchitectureShop.Order.Infrastructure.Validation.Models.ValidationResultModel
ModernArchitectureShop.Order.Infrastructure.Validation.Models,ValidationException,0,1,1,0,1,9,1,0,0,-1,1,1,ModernArchitectureShop.Order.Infrastructure.Validation.Models.ValidationResultModel,ModernArchitectureShop.Order.Infrastructure.Validation.Models.ValidationModelExtensions
ModernArchitectureShop.Order.Infrastructure.Validation.Models,ValidationModelExtensions,0,2,0,0,1,16,3,0,0,-1,2,0,ModernArchitectureShop.Order.Infrastructure.Validation.Models.ValidationException' ModernArchitectureShop.Order.Infrastructure.Validation.Models.ValidationResultModel,
