Namespace,Type,Method,LOC,CC,PC
ModernArchitectureShop.Order.Infrastructure.Dto,ItemDto,ItemDto,7,1,5
ModernArchitectureShop.Order.Infrastructure.Dto,OrderMappingProfile,OrderMappingProfile,4,1,0
ModernArchitectureShop.Order.Infrastructure.Dto,OrderDto,OrderDto,7,1,5
ModernArchitectureShop.Order.Infrastructure.Dto,PlaceOrderMappingProfile,PlaceOrderMappingProfile,3,1,0
ModernArchitectureShop.Order.Infrastructure.Persistence,CustomServiceCollectionExtenstion,AddCustomDbContext,9,1,2
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderDbContext,OrderDbContext,2,1,1
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderDbContext,OnConfiguring,5,1,1
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,OrderRepository,4,1,1
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,CreateDatabase,3,1,0
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,SaveChangesAsync,3,1,1
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,AddAsync,3,1,2
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,Remove,3,1,1
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,Update,3,1,1
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,GetAsync,8,1,4
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,GetProcessingAsync,6,1,2
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,GetCompletedAsync,9,1,2
ModernArchitectureShop.Order.Infrastructure.Persistence,OrderRepository,CountAsync,3,1,2
ModernArchitectureShop.Order.Infrastructure.ServiceCollection,CustomRequestValidationExtenstion,AddCustomRequestValidation,4,1,1
ModernArchitectureShop.Order.Infrastructure.ServiceCollection,DaprServiceCollectionExtenstion,AddCustomDapr,14,1,1
ModernArchitectureShop.Order.Infrastructure.ServiceCollection,DatabaseExtensions,CreateDatabase,8,1,1
ModernArchitectureShop.Order.Infrastructure.ServiceCollection,ServiceCollectionExtensions,AddInfrastructure,13,1,2
ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder,PlaceOrderHandler,PlaceOrderHandler,5,1,3
ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder,PlaceOrderHandler,Handle,19,2,2
ModernArchitectureShop.Order.Infrastructure.UseCases.AddOrder,AddItemValidator,AddItemValidator,11,1,0
ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders,GetCompletedOrdersHandler,GetCompletedOrdersHandler,4,1,2
ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders,GetCompletedOrdersHandler,Handle,8,1,2
ModernArchitectureShop.Order.Infrastructure.UseCases.GetCompletedOrders,GetCompletedOrdersValidator,GetCompletedOrdersValidator,5,1,0
ModernArchitectureShop.Order.Infrastructure.Validation.Models,ValidationError,ValidationError,4,1,2
ModernArchitectureShop.Order.Infrastructure.Validation.Models,ValidationException,ValidationException,3,1,1
ModernArchitectureShop.Order.Infrastructure.Validation.Models,ValidationModelExtensions,ToValidationResultModel,3,1,1
ModernArchitectureShop.Order.Infrastructure.Validation.Models,ValidationModelExtensions,HandleValidation,7,2,2
ModernArchitectureShop.Order.Infrastructure.Validation.Models,ValidationResultModel,ValidationResultModel,5,1,1
ModernArchitectureShop.Order.Infrastructure.Validation.Models,ValidationResultModel,ToString,3,1,0
ModernArchitectureShop.Order.Infrastructure.Validation,RequestValidationBehavior<TRequest;TResponse>,RequestValidationBehavior,4,1,2
ModernArchitectureShop.Order.Infrastructure.Validation,RequestValidationBehavior<TRequest;TResponse>,Handle,5,1,3
