Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,ModernArchitectureShop.OrderDomainEvents,IOrderEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\IOrderEvent.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Order' CreationDate
Unutilized Abstraction,ModernArchitectureShop.OrderDomainEvents,IOrderEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\IOrderEvent.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.OrderDomainEvents,UpdateProductAvailabilityEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\UpdateProductAvailabilityEvent.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Order' CreationDate
Unutilized Abstraction,ModernArchitectureShop.OrderDomainEvents,UpdateProductAvailabilityEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\UpdateProductAvailabilityEvent.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.DomainEvents,IOrderFailedEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\IOrderFailedEvent.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Order' CreationDate
Unutilized Abstraction,ModernArchitectureShop.DomainEvents,IOrderFailedEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\IOrderFailedEvent.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.DomainEvents,IPaymentPlacementEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\IPaymentPlacementEvent.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Order' CreationDate
Unutilized Abstraction,ModernArchitectureShop.DomainEvents,IPaymentPlacementEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\IPaymentPlacementEvent.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.DomainEvents,IPaymentSuccessEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\IPaymentSuccessEvent.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Order' CreationDate
Unutilized Abstraction,ModernArchitectureShop.DomainEvents,IPaymentSuccessEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\DomainEvents\ModernArchitectureShop.OrderDomainEvents\IPaymentSuccessEvent.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
