Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
ModernArchitectureShop.ShopUI.Components,Basket,5,5,3,0,0,93,8,0,0,0,3,0,ModernArchitectureShop.ShopUI.Models.ItemModel' ModernArchitectureShop.ShopUI.Models.ItemsModel' ModernArchitectureShop.ShopUI.Services.BasketHttpClientService,
ModernArchitectureShop.ShopUI.Components,Order,3,4,3,0,0,69,6,0,0,0,4,0,ModernArchitectureShop.ShopUI.Models.ItemModel' ModernArchitectureShop.ShopUI.Models.ItemsModel' ModernArchitectureShop.ShopUI.Services.BasketHttpClientService' ModernArchitectureShop.ShopUI.Services.OrderHttpClientService,
ModernArchitectureShop.ShopUI.Components,OrderHistory,2,2,3,0,0,43,3,0,0,0,2,0,ModernArchitectureShop.ShopUI.Models.OrdersModel' ModernArchitectureShop.ShopUI.Services.OrderHttpClientService,
ModernArchitectureShop.ShopUI.Components,Products,5,5,6,0,0,137,8,0,0,0,4,5,0,ModernArchitectureShop.ShopUI.DaprClients.ProductsDaprClient' ModernArchitectureShop.ShopUI.Models.ItemModel' ModernArchitectureShop.ShopUI.Models.ProductsModel' ModernArchitectureShop.ShopUI.Services.BasketHttpClientService' ModernArchitectureShop.ShopUI.Services.ProductHttpClientService,
ModernArchitectureShop.ShopUI.DaprClients,ProductsDaprClient,1,3,0,0,3,60,3,0,0,0,4,2,ModernArchitectureShop.ShopUI.DaprClients.GetProductsCommand' ModernArchitectureShop.ShopUI.DaprClients.GetProductsResponse' ModernArchitectureShop.ShopUI.DaprClients.SearchProductsCommand' ModernArchitectureShop.ShopUI.Models.ProductModel,ModernArchitectureShop.ShopUI.Components.Products' ModernArchitectureShop.ShopUI.Startup
ModernArchitectureShop.ShopUI.DaprClients,GetProductsCommand,0,0,2,0,0,6,0,0,0,-1,0,1,,ModernArchitectureShop.ShopUI.DaprClients.ProductsDaprClient
ModernArchitectureShop.ShopUI.DaprClients,GetProductsResponse,0,0,2,0,0,5,0,0,0,-1,0,1,,ModernArchitectureShop.ShopUI.DaprClients.ProductsDaprClient
ModernArchitectureShop.ShopUI.DaprClients,SearchProductsCommand,0,0,3,0,0,8,0,0,0,-1,0,1,,ModernArchitectureShop.ShopUI.DaprClients.ProductsDaprClient
ModernArchitectureShop.ShopUI,DaprServiceCollectionExtenstion,0,1,0,0,1,18,1,0,0,-1,0,0,,
ModernArchitectureShop.ShopUI,Program,0,2,0,0,2,32,2,0,0,-1,1,0,ModernArchitectureShop.ShopUI.Startup,
ModernArchitectureShop.ShopUI,Startup,0,3,1,0,3,151,4,0,0,-1,5,1,ModernArchitectureShop.ShopUI.DaprClients.ProductsDaprClient' ModernArchitectureShop.ShopUI.Services.BasketHttpClientService' ModernArchitectureShop.ShopUI.Services.IdentityService' ModernArchitectureShop.ShopUI.Services.OrderHttpClientService' ModernArchitectureShop.ShopUI.Services.ProductHttpClientService,ModernArchitectureShop.ShopUI.Program
ModernArchitectureShop.ShopUI,TokenProvider,0,1,0,0,1,15,3,0,0,-1,0,2,,ModernArchitectureShop.ShopUI.Services.OrderHttpClientService' ModernArchitectureShop.ShopUI.Services.HttpClientServiceBase
ModernArchitectureShop.ShopUI.Models,ItemModel,0,0,8,0,0,11,0,0,0,-1,0,7,,ModernArchitectureShop.ShopUI.Components.Basket' ModernArchitectureShop.ShopUI.Components.Order' ModernArchitectureShop.ShopUI.Components.Products' ModernArchitectureShop.ShopUI.Services.HttpClientServiceBase' ModernArchitectureShop.ShopUI.Services.OrderHttpClientService' ModernArchitectureShop.ShopUI.Models.OrderModel' ModernArchitectureShop.ShopUI.Models.ItemsModel
