Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,ModernArchitectureShop.ShopUI.Components,Basket,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Components\Basket.razor.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,ModernArchitectureShop.ShopUI.Components,Basket,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Components\Basket.razor.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  Basket (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Components\Basket.razor.cs' [57' 76])' Order (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Components\Order.razor.cs' [44' 63])
Unutilized Abstraction,ModernArchitectureShop.ShopUI.Components,Order,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Components\Order.razor.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernArchitectureShop.ShopUI.Components,OrderHistory,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Components\OrderHistory.razor.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernArchitectureShop.ShopUI.Components,Products,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Components\Products.razor.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.DaprClients,GetProductsCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\DaprClients\ProductsDaprClient.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: PageIndex' PageSize
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.DaprClients,GetProductsResponse,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\DaprClients\ProductsDaprClient.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TotalOfProducts' Products
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.DaprClients,SearchProductsCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\DaprClients\ProductsDaprClient.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Filter' PageIndex' PageSize
Unutilized Abstraction,ModernArchitectureShop.ShopUI,DaprServiceCollectionExtenstion,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\DaprServiceCollectionExtenstion.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.Models,ItemsModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Models\ItemsModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TotalOfItems' Items
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.Models,KeyValueModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Models\Models.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Key' Value
Unutilized Abstraction,ModernArchitectureShop.ShopUI.Models,KeyValueModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Models\Models.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.Models,OrdersModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Models\OrdersModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Orders
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.Models,ProductsModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Models\ProductsModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TotalOfProducts' Products
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.Models,ProductStoreModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Models\ProductStoreModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProductId' StoreId' Quantity' CanPurchase
Unutilized Abstraction,ModernArchitectureShop.ShopUI.Pages,LoginModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Pages\Login.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernArchitectureShop.ShopUI.Pages,LogoutModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Pages\Logout.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernArchitectureShop.ShopUI.Pages,RegisterModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Pages\Register.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,ModernArchitectureShop.ShopUI.Services,HttpClientServiceBase,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\HttpClientServiceBase.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  HttpClientServiceBase (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\HttpClientServiceBase.cs' [36' 56])' HttpClientServiceBase (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\HttpClientServiceBase.cs' [65' 85])
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.Services,HttpClientServiceResult<T>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\HttpClientServiceResult.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: StatusCode' Error' Content
Unnecessary Abstraction,ModernArchitectureShop.ShopUI.Services,IHttpClientService,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\IHttpClientService.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: HttpClient' HttpContextAccessor
Broken Modularization,ModernArchitectureShop.ShopUI.Models,ItemModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Models\ItemModel.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: ItemId' StoreId' ProductId' Code' Name' Price' ImageUrl' Username
Broken Modularization,ModernArchitectureShop.ShopUI.Models,OrderModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Models\OrderModel.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: OrderId' StoreId' Username' State' CreationDate' Items
Broken Modularization,ModernArchitectureShop.ShopUI.Models,ProductModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Models\ProductModel.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: ProductId' Code' Name' Price' ImageUrl' Quantity' ProductStores
Broken Hierarchy,ModernArchitectureShop.ShopUI.Services,BasketHttpClientService,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\BasketHttpClientService.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModernArchitectureShop.ShopUI.Services.HttpClientServiceBase
Unfactored Hierarchy,ModernArchitectureShop.ShopUI.Services,HttpClientServiceBase,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\HttpClientServiceBase.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  HttpClientServiceBase (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\HttpClientServiceBase.cs' [31' 55])' OrderHttpClientService (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\OrderHttpClientService.cs' [31' 55])
Unfactored Hierarchy,ModernArchitectureShop.ShopUI.Services,HttpClientServiceBase,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\HttpClientServiceBase.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  HttpClientServiceBase (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\HttpClientServiceBase.cs' [65' 84])' OrderHttpClientService (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\OrderHttpClientService.cs' [36' 55])
Broken Hierarchy,ModernArchitectureShop.ShopUI.Services,OrderHttpClientService,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\OrderHttpClientService.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModernArchitectureShop.ShopUI.Services.HttpClientServiceBase
Broken Hierarchy,ModernArchitectureShop.ShopUI.Services,ProductHttpClientService,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\UI\Services\ProductHttpClientService.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModernArchitectureShop.ShopUI.Services.HttpClientServiceBase
