Namespace,Type,Method,LOC,CC,PC
ModernArchitectureShop.ShopUI.Components,Basket,OnInitializedAsync,13,1,0
ModernArchitectureShop.ShopUI.Components,Basket,OnParametersSetAsync,4,1,0
ModernArchitectureShop.ShopUI.Components,Basket,BasketItemsPage,18,2,0
ModernArchitectureShop.ShopUI.Components,Basket,RemoveProductFromBasketAsync,16,2,1
ModernArchitectureShop.ShopUI.Components,Basket,TotalPriceAsync,14,2,0
ModernArchitectureShop.ShopUI.Components,Order,OnInitializedAsync,12,1,0
ModernArchitectureShop.ShopUI.Components,Order,BasketItems,18,2,0
ModernArchitectureShop.ShopUI.Components,Order,RemoveProductFromBasketAsync,13,2,1
ModernArchitectureShop.ShopUI.Components,Order,BuyItemsAsync,3,1,0
ModernArchitectureShop.ShopUI.Components,OrderHistory,OnInitializedAsync,12,1,0
ModernArchitectureShop.ShopUI.Components,OrderHistory,CompletedOrders,17,2,0
ModernArchitectureShop.ShopUI.Components,Products,OnInitializedAsync,12,1,0
ModernArchitectureShop.ShopUI.Components,Products,OnParametersSetAsync,36,2,0
ModernArchitectureShop.ShopUI.Components,Products,AddProductToBasketAsync,9,2,1
ModernArchitectureShop.ShopUI.Components,Products,Search,37,1,1
ModernArchitectureShop.ShopUI.Components,Products,ProcessUrl,7,2,0
ModernArchitectureShop.ShopUI.DaprClients,ProductsDaprClient,ProductsDaprClient,3,1,1
ModernArchitectureShop.ShopUI.DaprClients,ProductsDaprClient,GetProductsAsync,9,1,3
ModernArchitectureShop.ShopUI.DaprClients,ProductsDaprClient,SearchProductsAsync,9,1,3
ModernArchitectureShop.ShopUI,DaprServiceCollectionExtenstion,AddCustomDapr,14,1,1
ModernArchitectureShop.ShopUI,Program,Main,20,1,1
ModernArchitectureShop.ShopUI,Program,CreateHostBuilder,0,1,1
ModernArchitectureShop.ShopUI,Startup,Startup,3,1,1
ModernArchitectureShop.ShopUI,Startup,ConfigureServices,103,1,1
ModernArchitectureShop.ShopUI,Startup,Configure,34,2,2
ModernArchitectureShop.ShopUI,TokenProvider,AttachAccessTokenToHeader,11,3,2
ModernArchitectureShop.ShopUI.Pages,LoginModel,OnGet,10,2,0
ModernArchitectureShop.ShopUI.Pages,LogoutModel,OnGet,11,2,0
ModernArchitectureShop.ShopUI.Pages,RegisterModel,RegisterModel,3,1,1
ModernArchitectureShop.ShopUI.Pages,RegisterModel,OnGet,6,1,0
ModernArchitectureShop.ShopUI.Services,BasketHttpClientService,BasketHttpClientService,2,1,2
ModernArchitectureShop.ShopUI.Services,HttpClientServiceBase,HttpClientServiceBase,4,1,2
ModernArchitectureShop.ShopUI.Services,HttpClientServiceBase,AddAsync,32,1,2
ModernArchitectureShop.ShopUI.Services,HttpClientServiceBase,RemoveAsync,27,1,1
ModernArchitectureShop.ShopUI.Services,HttpClientServiceBase,GetAsync,26,1,1
ModernArchitectureShop.ShopUI.Services,IdentityService,IdentityService,3,1,1
ModernArchitectureShop.ShopUI.Services,IdentityService,GetApiUserClaimsJson,18,2,0
ModernArchitectureShop.ShopUI.Services,IdentityService,GetAppUserClaimsJson,18,2,0
ModernArchitectureShop.ShopUI.Services,OrderHttpClientService,OrderHttpClientService,2,1,2
ModernArchitectureShop.ShopUI.Services,OrderHttpClientService,PlaceOrderAsync,34,1,3
ModernArchitectureShop.ShopUI.Services,ProductHttpClientService,ProductHttpClientService,2,1,2
