Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,0,10,0,0,0,22,10,1,0,-1,1,8,ModernArchitectureShop.Store.Domain.Product,ModernArchitectureShop.Store.Infrastructure.Persistence.ProductRepository' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds.GetProductsByIdsHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.AddOrUpdateProductStore.AddOrUpdateProductStoreHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct.DeleteProductHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.CreateProduct.CreateProductHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.SearchProducts.SearchProductsHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsHandler' ModernArchitectureShop.Store.Infrastructure.ServiceCollection.ServiceCollectionExtensions
ModernArchitectureShop.Store.Application.Persistence,IStoreRepository,0,8,0,0,0,17,8,1,0,-1,1,8,ModernArchitectureShop.Store.Domain.Store,ModernArchitectureShop.Store.Infrastructure.Persistence.DatabaseExtensions' ModernArchitectureShop.Store.Infrastructure.ServiceCollection.DatabaseExtensions' ModernArchitectureShop.Store.Infrastructure.Persistence.StoreRepository' ModernArchitectureShop.Store.Infrastructure.UseCases.AddOrUpdateProductStore.AddOrUpdateProductStoreHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore.CreateStoreHandler' ModernArchitectureShop.Store.Infrastructure.ServiceCollection.ServiceCollectionExtensions' ModernArchitectureShop.StoreApi.Program' ModernArchitectureShop.Store.Infrastructure.UseCases.GetStores.GetStoresHandler
ModernArchitectureShop.Store.Application.UseCases.AddOrUpdateProductStore,IAddOrdUpdateProductStore,0,0,4,0,0,7,0,1,0,-1,0,1,,ModernArchitectureShop.Store.Infrastructure.UseCases.AddOrUpdateProductStore.AddOrdUpdateProductStoreCommand
ModernArchitectureShop.Store.Application.UseCases.CreateProduct,ICreateProduct,0,0,5,0,0,8,0,1,0,-1,0,1,,ModernArchitectureShop.Store.Infrastructure.UseCases.CreateProduct.CreateProductCommand
ModernArchitectureShop.Store.Application.UseCases.CreateStore,ICreateStore,0,0,2,0,0,5,0,1,0,-1,0,1,,ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore.CreateStoreCommand
ModernArchitectureShop.Store.Application.UseCases.DeleteProduct,IDeleteProduct,0,0,1,0,0,4,0,1,0,-1,0,1,,ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct.DeleteProduct
ModernArchitectureShop.Store.Application.UseCases.GetProductsByIds,IGetProductsByIds,0,0,1,0,0,4,0,1,0,-1,0,1,,ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds.GetProductsByIdsCommand
ModernArchitectureShop.Store.Application.UseCases.GetProducts,IGetProducts,0,0,2,0,0,5,0,1,0,-1,0,1,,ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsCommand
ModernArchitectureShop.Store.Application.UseCases.GetStores,IGetStore,0,0,0,0,0,3,0,1,0,-1,0,1,,ModernArchitectureShop.Store.Infrastructure.UseCases.GetStores.GetStoreCommand
ModernArchitectureShop.Store.Application.UseCases.SearchProducts,ISearchProducts,0,0,3,0,0,8,0,1,0,-1,0,1,,ModernArchitectureShop.Store.Infrastructure.UseCases.SearchProducts.SearchProductsCommand
