Namespace,Type,Method,LOC,CC,PC
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,Remove,0,1,1
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,Update,0,1,1
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,SaveChangesAsync,0,1,1
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,GetAsync,0,1,2
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,AddAsync,0,1,2
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,CountAsync,0,1,1
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,GetProductsAsync,0,1,3
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,SearchProductsAsync,0,1,4
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,SearchProductsCountAsync,0,1,1
ModernArchitectureShop.Store.Application.Persistence,IProductRepository,GetByIdsAsync,0,1,2
ModernArchitectureShop.Store.Application.Persistence,IStoreRepository,SeedDatabase,0,1,0
ModernArchitectureShop.Store.Application.Persistence,IStoreRepository,Remove,0,1,1
ModernArchitectureShop.Store.Application.Persistence,IStoreRepository,Update,0,1,1
ModernArchitectureShop.Store.Application.Persistence,IStoreRepository,SaveChangesAsync,0,1,1
ModernArchitectureShop.Store.Application.Persistence,IStoreRepository,GetAsync,0,1,2
ModernArchitectureShop.Store.Application.Persistence,IStoreRepository,AddAsync,0,1,2
ModernArchitectureShop.Store.Application.Persistence,IStoreRepository,CountAsync,0,1,1
ModernArchitectureShop.Store.Application.Persistence,IStoreRepository,GetStoreQuery,0,1,0
