Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways,DaprStoresGateway,4,2,0,0,2,30,2,0,0,0,2,1,ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsCommand' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsResponse,ModernArchitectureShop.Store.Infrastructure.ServiceCollection.ServiceCollectionExtensions
ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts,GetProductsByIdsRequest,0,0,1,0,0,4,0,0,0,-1,0,0,,
ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts,GetProductsByIdsResponse,0,0,1,0,0,21,0,0,0,-1,2,0,ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts.ProductResult' ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts.ProductStoreResult,
ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts,ProductResult,0,0,6,0,0,13,0,0,0,-1,0,2,,ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts.GetProductsByIdsResponse' ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts.GetProductsResponse
ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts,ProductStoreResult,0,0,10,0,0,15,0,0,0,-1,0,2,,ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts.GetProductsByIdsResponse' ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts.GetProductsResponse
ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts,GetProductsResponse,0,0,1,0,0,21,0,0,0,-1,2,0,ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts.ProductResult' ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts.ProductStoreResult,
ModernArchitectureShop.Store.Infrastructure.Dto,AddressDto,0,1,5,0,1,17,1,0,0,-1,0,2,,ModernArchitectureShop.Store.Infrastructure.Dto.StoreDto' ModernArchitectureShop.Store.Infrastructure.Dto.StoreMappingProfile
ModernArchitectureShop.Store.Infrastructure.Dto,ProductDto,0,1,8,0,1,23,1,0,0,-1,0,7,,ModernArchitectureShop.Store.Infrastructure.UseCases.SearchProducts.SearchProductsResponse' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsResponse' ModernArchitectureShop.Store.Infrastructure.Dto.ProductMappingProfile' ModernArchitectureShop.Store.Infrastructure.Dto.StoreDto' ModernArchitectureShop.Store.Infrastructure.Dto.StoreMappingProfile' ModernArchitectureShop.Store.Infrastructure.UseCases.SearchProducts.SearchProductsHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsHandler
ModernArchitectureShop.Store.Infrastructure.Dto,ProductMappingProfile,0,1,0,0,1,9,1,0,0,-1,4,0,ModernArchitectureShop.Store.Infrastructure.Dto.ProductDto' ModernArchitectureShop.Store.Infrastructure.Dto.StoreDto' ModernArchitectureShop.Store.Domain.Product' ModernArchitectureShop.Store.Domain.Store,
ModernArchitectureShop.Store.Infrastructure.Dto,StoreDto,0,0,4,0,0,7,0,0,0,-1,2,7,ModernArchitectureShop.Store.Infrastructure.Dto.AddressDto' ModernArchitectureShop.Store.Infrastructure.Dto.ProductDto,ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore.CreateStoreCommand' ModernArchitectureShop.Store.Infrastructure.Dto.ProductMappingProfile' ModernArchitectureShop.Store.Infrastructure.UseCases.GetStores.GetStoreResponse' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds.GetProductsByIdsResponse' ModernArchitectureShop.Store.Infrastructure.UseCases.GetStores.GetStoresHandler' ModernArchitectureShop.Store.Infrastructure.Dto.StoreMappingProfile' ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore.CreateStoreHandler
ModernArchitectureShop.Store.Infrastructure.Dto,StoreMappingProfile,0,1,0,0,1,14,1,0,0,-1,6,0,ModernArchitectureShop.Store.Infrastructure.Dto.AddressDto' ModernArchitectureShop.Store.Infrastructure.Dto.ProductDto' ModernArchitectureShop.Store.Infrastructure.Dto.StoreDto' ModernArchitectureShop.Store.Domain.Address' ModernArchitectureShop.Store.Domain.Product' ModernArchitectureShop.Store.Domain.Store,
ModernArchitectureShop.Store.Infrastructure.Events,IDomainEvent,0,0,1,0,0,4,0,2,0,-1,0,5,,ModernArchitectureShop.Store.Infrastructure.Events.ProductCreated' ModernArchitectureShop.Store.Infrastructure.Events.DomainEventBase' ModernArchitectureShop.Store.Infrastructure.Events.DomainEventNotification' ModernArchitectureShop.Store.Infrastructure.Events.IDomainEventDispatcher' ModernArchitectureShop.Store.Infrastructure.Events.DomainEventDispatcher
ModernArchitectureShop.Store.Infrastructure.Events,IDomainEventContext,0,1,0,0,0,4,1,0,0,-1,1,0,ModernArchitectureShop.Store.Infrastructure.Events.DomainEventBase,
ModernArchitectureShop.Store.Infrastructure.Events,DomainEventBase,0,0,1,0,0,4,0,0,1,-1,1,1,ModernArchitectureShop.Store.Infrastructure.Events.IDomainEvent,ModernArchitectureShop.Store.Infrastructure.Events.IDomainEventContext
ModernArchitectureShop.Store.Infrastructure.Events,DomainEventDispatcher,2,2,0,0,2,22,2,0,1,0,3,1,ModernArchitectureShop.Store.Infrastructure.Events.IDomainEvent' ModernArchitectureShop.Store.Infrastructure.Events.DomainEventNotification' ModernArchitectureShop.Store.Infrastructure.Events.IDomainEventDispatcher,ModernArchitectureShop.Store.Infrastructure.ServiceCollection.ServiceCollectionExtensions
ModernArchitectureShop.Store.Infrastructure.Events,DomainEventNotification,0,0,1,0,0,4,0,0,0,-1,1,1,ModernArchitectureShop.Store.Infrastructure.Events.IDomainEvent,ModernArchitectureShop.Store.Infrastructure.Events.DomainEventDispatcher
