Project,Namespace,Ca types,Ce types
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways,ModernArchitectureShop.Store.Infrastructure.ServiceCollection.ServiceCollectionExtensions,ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsCommand' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsResponse
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.UseCases.GetProducts,,
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.Dto,ModernArchitectureShop.Store.Infrastructure.UseCases.SearchProducts.SearchProductsResponse' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsResponse' ModernArchitectureShop.Store.Infrastructure.UseCases.SearchProducts.SearchProductsHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts.GetProductsHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore.CreateStoreCommand' ModernArchitectureShop.Store.Infrastructure.UseCases.GetStores.GetStoreResponse' ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds.GetProductsByIdsResponse' ModernArchitectureShop.Store.Infrastructure.UseCases.GetStores.GetStoresHandler' ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore.CreateStoreHandler,ModernArchitectureShop.Store.Domain.Product' ModernArchitectureShop.Store.Domain.Store' ModernArchitectureShop.Store.Domain.Address
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.Events,ModernArchitectureShop.Store.Infrastructure.ServiceCollection.ServiceCollectionExtensions,
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.Persistence,ModernArchitectureShop.Store.Infrastructure.ServiceCollection.ServiceCollectionExtensions' ModernArchitectureShop.Store.Infrastructure.ServiceCollection.CustomServiceCollectionExtenstion,ModernArchitectureShop.Store.Application.Persistence.IStoreRepository' ModernArchitectureShop.Store.Domain.Product' ModernArchitectureShop.Store.Application.Persistence.IProductRepository' ModernArchitectureShop.Store.Domain.Address' ModernArchitectureShop.Store.Domain.Store
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.ServiceCollection,,ModernArchitectureShop.Store.Infrastructure.Persistence.StoreDbContext' ModernArchitectureShop.Store.Infrastructure.Validation.RequestValidationBehavior<TRequest;TResponse>' ModernArchitectureShop.Store.Application.Persistence.IStoreRepository' ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways.DaprStoresGateway' ModernArchitectureShop.Store.Infrastructure.Events.DomainEventDispatcher' ModernArchitectureShop.Store.Infrastructure.Events.IDomainEventDispatcher' ModernArchitectureShop.Store.Infrastructure.Persistence.ProductRepository' ModernArchitectureShop.Store.Infrastructure.Persistence.StoreRepository' ModernArchitectureShop.Store.Application.Persistence.IProductRepository
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.UseCases.AddOrUpdateProductStore,ModernArchitectureShop.StoreApi.Controllers.StoreController,ModernArchitectureShop.Store.Application.UseCases.AddOrUpdateProductStore.IAddOrdUpdateProductStore' ModernArchitectureShop.Store.Application.Persistence.IProductRepository' ModernArchitectureShop.Store.Application.Persistence.IStoreRepository
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.UseCases.CreateProduct,ModernArchitectureShop.StoreApi.Controllers.StoreSubscriberController' ModernArchitectureShop.StoreApi.Controllers.ProductSubscriberController,ModernArchitectureShop.Store.Application.UseCases.CreateProduct.ICreateProduct' ModernArchitectureShop.Store.Domain.Product' ModernArchitectureShop.Store.Application.Persistence.IProductRepository
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore,ModernArchitectureShop.StoreApi.Controllers.StoreController,ModernArchitectureShop.Store.Infrastructure.Dto.StoreDto' ModernArchitectureShop.Store.Application.UseCases.CreateStore.ICreateStore' ModernArchitectureShop.Store.Domain.Store' ModernArchitectureShop.Store.Application.Persistence.IStoreRepository
ModernArchitectureShop.Store.Infrastructure,ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct,ModernArchitectureShop.StoreApi.Controllers.ProductSubscriberController,ModernArchitectureShop.Store.Application.UseCases.DeleteProduct.IDeleteProduct' ModernArchitectureShop.Store.Domain.Product' ModernArchitectureShop.Store.Application.Persistence.IProductRepository
