Namespace,Type,Method,LOC,CC,PC
ModernArchitectureShop.StoreApi.Controllers,ProductsController,ProductsController,0,1,1
ModernArchitectureShop.StoreApi.Controllers,ProductsController,GetProducts,4,1,1
ModernArchitectureShop.StoreApi.Controllers,ProductsController,SearchProducts,4,1,1
ModernArchitectureShop.StoreApi.Controllers,ProductsController,GetProductsByIds,4,1,1
ModernArchitectureShop.StoreApi.Controllers,ProductSubscriberController,SubcribeProductCreated,3,1,2
ModernArchitectureShop.StoreApi.Controllers,ProductSubscriberController,SubcribeProductDeleted,3,1,3
ModernArchitectureShop.StoreApi.Controllers,StoreController,StoreController,0,1,1
ModernArchitectureShop.StoreApi.Controllers,StoreController,CreateStore,4,1,1
ModernArchitectureShop.StoreApi.Controllers,StoreController,AddOrUpdateProduct,4,1,1
ModernArchitectureShop.StoreApi.Controllers,StoresController,GetStore,4,1,2
ModernArchitectureShop.StoreApi.Controllers,StoreSubscriberController,StoreSubscriberController,4,1,2
ModernArchitectureShop.StoreApi.Controllers,StoreSubscriberController,CreateProduct,9,1,1
ModernArchitectureShop.StoreApi,Program,Main,21,1,1
ModernArchitectureShop.StoreApi,Program,CreateHostBuilder,0,1,1
ModernArchitectureShop.StoreApi,Startup,Startup,3,1,1
ModernArchitectureShop.StoreApi,Startup,ConfigureServices,35,1,1
ModernArchitectureShop.StoreApi,Startup,Configure,33,2,2
