Implementation smell,Namespace,Class,File,Method,Description
Long Method,Ordering.Infrastructure.Data.Migrations,InitialCreate,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\20240216090112_InitialCreate.cs,Up,The method has 131 lines of code.
Long Method,Ordering.Infrastructure.Data.Migrations,InitialCreate,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\20240216090112_InitialCreate.cs,BuildTargetModel,The method has 293 lines of code.
Long Method,Ordering.Infrastructure.Data.Migrations,ApplicationDbContextModelSnapshot,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\ApplicationDbContextModelSnapshot.cs,BuildModel,The method has 293 lines of code.
Long Statement,Ordering.Infrastructure.Data.Migrations,InitialCreate,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\20240216090112_InitialCreate.cs,BuildTargetModel,The length of the statement  "                    b.ComplexProperty<Dictionary<string' object>>("BillingAddress"' "Ordering.Domain.Models.Order.BillingAddress#Address"' b1 =>" is 124.
Long Statement,Ordering.Infrastructure.Data.Migrations,InitialCreate,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\20240216090112_InitialCreate.cs,BuildTargetModel,The length of the statement  "                    b.ComplexProperty<Dictionary<string' object>>("ShippingAddress"' "Ordering.Domain.Models.Order.ShippingAddress#Address"' b1 =>" is 126.
Long Statement,Ordering.Infrastructure.Data.Migrations,ApplicationDbContextModelSnapshot,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\ApplicationDbContextModelSnapshot.cs,BuildModel,The length of the statement  "                    b.ComplexProperty<Dictionary<string' object>>("BillingAddress"' "Ordering.Domain.Models.Order.BillingAddress#Address"' b1 =>" is 124.
Long Statement,Ordering.Infrastructure.Data.Migrations,ApplicationDbContextModelSnapshot,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\ApplicationDbContextModelSnapshot.cs,BuildModel,The length of the statement  "                    b.ComplexProperty<Dictionary<string' object>>("ShippingAddress"' "Ordering.Domain.Models.Order.ShippingAddress#Address"' b1 =>" is 126.
Magic Number,Ordering.Infrastructure.Data.Migrations,InitialCreate,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\20240216090112_InitialCreate.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(                 name: "Customers"'                 columns: table => new                 {                     Id = table.Column<Guid>(type: "uniqueidentifier"' nullable: false)'                     Name = table.Column<string>(type: "nvarchar(100)"' maxLength: 100' nullable: false)'                     Email = table.Column<string>(type: "nvarchar(255)"' maxLength: 255' nullable: false)'                     CreatedAt = table.Column<DateTime>(type: "datetime2"' nullable: true)'                     CreatedBy = table.Column<string>(type: "nvarchar(max)"' nullable: true)'                     LastModified = table.Column<DateTime>(type: "datetime2"' nullable: true)'                     LastModifiedBy = table.Column<string>(type: "nvarchar(max)"' nullable: true)                 }'                 constraints: table =>                 {                     table.PrimaryKey("PK_Customers"' x => x.Id);                 });
Magic Number,Ordering.Infrastructure.Data.Migrations,InitialCreate,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\20240216090112_InitialCreate.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(                 name: "Customers"'                 columns: table => new                 {                     Id = table.Column<Guid>(type: "uniqueidentifier"' nullable: false)'                     Name = table.Column<string>(type: "nvarchar(100)"' maxLength: 100' nullable: false)'                     Email = table.Column<string>(type: "nvarchar(255)"' maxLength: 255' nullable: false)'                     CreatedAt = table.Column<DateTime>(type: "datetime2"' nullable: true)'                     CreatedBy = table.Column<string>(type: "nvarchar(max)"' nullable: true)'                     LastModified = table.Column<DateTime>(type: "datetime2"' nullable: true)'                     LastModifiedBy = table.Column<string>(type: "nvarchar(max)"' nullable: true)                 }'                 constraints: table =>                 {                     table.PrimaryKey("PK_Customers"' x => x.Id);                 });
Magic Number,Ordering.Infrastructure.Data.Migrations,InitialCreate,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\Services\Ordering\Ordering.Infrastructure\Data\Migrations\20240216090112_InitialCreate.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(                 name: "Products"'                 columns: table => new                 {                     Id = table.Column<Guid>(type: "uniqueidentifier"' nullable: false)'                     Name = table.Column<string>(type: "nvarchar(100)"' maxLength: 100' nullable: false)'                     Price = table.Column<decimal>(type: "decimal(18'2)"' nullable: false)'                     CreatedAt = table.Column<DateTime>(type: "datetime2"' nullable: true)'                     CreatedBy = table.Column<string>(type: "nvarchar(max)"' nullable: true)'                     LastModified = table.Column<DateTime>(type: "datetime2"' nullable: true)'                     LastModifiedBy = table.Column<string>(type: "nvarchar(max)"' nullable: true)                 }'                 constraints: table =>                 {                     table.PrimaryKey("PK_Products"' x => x.Id);                 });
