Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,Shopping.Web.Pages,CartModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\Cart.cshtml.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Shopping.Web.Pages,CartModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\Cart.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Shopping.Web.Pages,CheckoutModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\Checkout.cshtml.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Shopping.Web.Pages,CheckoutModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\Checkout.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Shopping.Web.Pages,ConfirmationModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\Confirmation.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Shopping.Web.Pages,ContactModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\Contact.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Shopping.Web.Pages,OrderListModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\OrderList.cshtml.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Shopping.Web.Pages,OrderListModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\OrderList.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Shopping.Web.Pages,ProductDetailModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\ProductDetail.cshtml.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Shopping.Web.Pages,ProductDetailModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\ProductDetail.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Shopping.Web.Pages,ProductListModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\ProductList.cshtml.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Shopping.Web.Pages,ProductListModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\run-aspnetcore-microservices-master\run-aspnetcore-microservices-master\src\WebApps\Shopping.Web\Pages\ProductList.cshtml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
